block,eig_index,eig_value
full,1,4.8024933120430155
full,2,4.802493312043011
full,3,4.8024933120430005
full,4,4.8024933120430005
full,5,4.770531255977426
full,6,4.770531255977424
full,7,4.770531255977422
full,8,4.770531255977392
full,9,4.70407266832751
full,10,4.704072668327499
even,1,4.80249331204302
even,2,4.770531255977417
even,3,4.7705312559774145
even,4,4.704072668327512
even,5,4.704072668327491
even,6,4.669576639044025
even,7,-4.547719917050898
even,8,-4.61124772757984
even,9,-4.6112477275798485
even,10,-4.641975938161362
odd,1,4.760840134134206
odd,2,4.694167216068666
odd,3,4.631375280910043
odd,4,4.4561605683629155
odd,5,4.329654240221623
odd,6,4.3296542402216085
odd,7,-4.453025843257064
odd,8,-4.4537721618004396
odd,9,-4.534237649724466
odd,10,-4.599353808176562
