edge_elem_2T,idx27,src_quartet,dst_quartet,dst_in_hyperplane27,dst_idx27
(0 1 2),0,sec0_m0 sec1_m0 sec2_m0 sec3_m1,sec0_m1 sec1_m1 sec2_m2 sec3_m1,0,
(0 1 2),1,sec0_m0 sec1_m0 sec2_m1 sec3_m0,sec0_m1 sec1_m2 sec2_m1 sec3_m1,0,
(0 1 2),2,sec0_m0 sec1_m0 sec2_m2 sec3_m2,sec0_m1 sec1_m0 sec2_m0 sec3_m1,0,
(0 1 2),3,sec0_m0 sec1_m1 sec2_m0 sec3_m0,sec0_m1 sec1_m1 sec2_m1 sec3_m2,0,
(0 1 2),4,sec0_m0 sec1_m1 sec2_m1 sec3_m2,sec0_m1 sec1_m2 sec2_m0 sec3_m2,0,
(0 1 2),5,sec0_m0 sec1_m1 sec2_m2 sec3_m1,sec0_m1 sec1_m0 sec2_m2 sec3_m2,0,
(0 1 2),6,sec0_m0 sec1_m2 sec2_m0 sec3_m2,sec0_m1 sec1_m1 sec2_m0 sec3_m0,0,
(0 1 2),7,sec0_m0 sec1_m2 sec2_m1 sec3_m1,sec0_m1 sec1_m2 sec2_m2 sec3_m0,0,
(0 1 2),8,sec0_m0 sec1_m2 sec2_m2 sec3_m0,sec0_m1 sec1_m0 sec2_m1 sec3_m0,0,
(0 1 2),9,sec0_m1 sec1_m1 sec2_m1 sec3_m1,sec0_m2 sec1_m2 sec2_m2 sec3_m2,0,
(0 1 2),10,sec0_m1 sec1_m1 sec2_m2 sec3_m0,sec0_m2 sec1_m0 sec2_m1 sec3_m2,0,
(0 1 2),11,sec0_m1 sec1_m1 sec2_m0 sec3_m2,sec0_m2 sec1_m1 sec2_m0 sec3_m2,0,
(0 1 2),12,sec0_m1 sec1_m2 sec2_m1 sec3_m0,sec0_m2 sec1_m2 sec2_m1 sec3_m0,0,
(0 1 2),13,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m2 sec1_m0 sec2_m0 sec3_m0,0,
(0 1 2),14,sec0_m1 sec1_m2 sec2_m0 sec3_m1,sec0_m2 sec1_m1 sec2_m2 sec3_m0,0,
(0 1 2),15,sec0_m1 sec1_m0 sec2_m1 sec3_m2,sec0_m2 sec1_m2 sec2_m0 sec3_m1,0,
(0 1 2),16,sec0_m1 sec1_m0 sec2_m2 sec3_m1,sec0_m2 sec1_m0 sec2_m2 sec3_m1,0,
(0 1 2),17,sec0_m1 sec1_m0 sec2_m0 sec3_m0,sec0_m2 sec1_m1 sec2_m1 sec3_m1,0,
(0 1 2),18,sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m0 sec1_m0 sec2_m2 sec3_m0,0,
(0 1 2),19,sec0_m2 sec1_m2 sec2_m0 sec3_m0,sec0_m0 sec1_m1 sec2_m1 sec3_m0,0,
(0 1 2),20,sec0_m2 sec1_m2 sec2_m1 sec3_m2,sec0_m0 sec1_m2 sec2_m0 sec3_m0,0,
(0 1 2),21,sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m0 sec1_m0 sec2_m1 sec3_m1,0,
(0 1 2),22,sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m0 sec1_m1 sec2_m0 sec3_m1,0,
(0 1 2),23,sec0_m2 sec1_m0 sec2_m1 sec3_m1,sec0_m0 sec1_m2 sec2_m2 sec3_m1,0,
