quartet_str,m_tuple,sum_m_mod3,z3_orbit_id,orbit_size,orbit_members,is_w33_rainbow,w33_line_id,mean_abs_delta,rank_by_mean_abs_delta,pred_mean_abs_delta
sec0_m0 sec1_m0 sec2_m0 sec3_m0,"(0, 0, 0, 0)",0,0,3,sec0_m0 sec1_m0 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m2,False,,,,0.0050283449269142525
sec0_m0 sec1_m0 sec2_m0 sec3_m1,"(0, 0, 0, 1)",1,1,3,sec0_m0 sec1_m0 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m2,True,2,0.0016091061982513451,33,0.0066714254826026834
sec0_m0 sec1_m0 sec2_m0 sec3_m2,"(0, 0, 0, 2)",2,2,3,sec0_m0 sec1_m0 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m2,False,,,,0.011978796766160801
sec0_m0 sec1_m0 sec2_m1 sec3_m0,"(0, 0, 1, 0)",1,3,3,sec0_m0 sec1_m0 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m0,True,11,0.003458812317412455,22,0.000462076342117137
sec0_m0 sec1_m0 sec2_m1 sec3_m1,"(0, 0, 1, 1)",2,4,3,sec0_m0 sec1_m0 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m0,False,,,,0.0012544209708088656
sec0_m0 sec1_m0 sec2_m1 sec3_m2,"(0, 0, 1, 2)",0,5,3,sec0_m0 sec1_m0 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m0,False,,,,0.004893703364332061
sec0_m0 sec1_m0 sec2_m2 sec3_m0,"(0, 0, 2, 0)",2,6,3,sec0_m0 sec1_m0 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m1,False,,,,0.0030566119821392405
sec0_m0 sec1_m0 sec2_m2 sec3_m1,"(0, 0, 2, 1)",0,7,3,sec0_m0 sec1_m0 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m1,False,,,,0.002180867720796046
sec0_m0 sec1_m0 sec2_m2 sec3_m2,"(0, 0, 2, 2)",1,8,3,sec0_m0 sec1_m0 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m1,True,18,0.011371733133028266,7,0.007062871040855812
sec0_m0 sec1_m1 sec2_m0 sec3_m0,"(0, 1, 0, 0)",1,9,3,sec0_m0 sec1_m1 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m2,True,15,0.010631870193550426,10,0.0038038257973238526
sec0_m0 sec1_m1 sec2_m0 sec3_m1,"(0, 1, 0, 1)",2,10,3,sec0_m0 sec1_m1 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m2,False,,,,0.004157470706886125
