orbit_id,orbit_size,quartet_str,orbit_members
0,3,sec0_m0 sec1_m0 sec2_m0 sec3_m0,sec0_m0 sec1_m0 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m2
0,3,sec0_m1 sec1_m1 sec2_m1 sec3_m1,sec0_m0 sec1_m0 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m2
0,3,sec0_m2 sec1_m2 sec2_m2 sec3_m2,sec0_m0 sec1_m0 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m2
1,3,sec0_m0 sec1_m0 sec2_m0 sec3_m1,sec0_m0 sec1_m0 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m2
1,3,sec0_m1 sec1_m1 sec2_m2 sec3_m1,sec0_m0 sec1_m0 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m2
1,3,sec0_m2 sec1_m0 sec2_m2 sec3_m2,sec0_m0 sec1_m0 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m2
2,3,sec0_m0 sec1_m0 sec2_m0 sec3_m2,sec0_m0 sec1_m0 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m2
2,3,sec0_m1 sec1_m1 sec2_m0 sec3_m1,sec0_m0 sec1_m0 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m2
2,3,sec0_m2 sec1_m1 sec2_m2 sec3_m2,sec0_m0 sec1_m0 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m2
3,3,sec0_m0 sec1_m0 sec2_m1 sec3_m0,sec0_m0 sec1_m0 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m0
3,3,sec0_m1 sec1_m2 sec2_m1 sec3_m1,sec0_m0 sec1_m0 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m0
