w33_line_id,sum1_quartet,sum1_m_tuple,sum1_mean_abs_delta,sum1_rank,sum2_quartet,sum2_m_tuple,sum2_pred_mean_abs_delta,sum0_quartet,sum0_m_tuple,sum0_pred_mean_abs_delta
1,sec0_m1 sec1_m0 sec2_m0 sec3_m0,"(1, 0, 0, 0)",0.00825534969123644,15,sec0_m2 sec1_m1 sec2_m1 sec3_m1,"(2, 1, 1, 1)",0.007684902923754404,sec0_m0 sec1_m2 sec2_m2 sec3_m2,"(0, 2, 2, 2)",0.01676870106043437
2,sec0_m0 sec1_m0 sec2_m0 sec3_m1,"(0, 0, 0, 1)",0.0016091061982513451,33,sec0_m1 sec1_m1 sec2_m2 sec3_m1,"(1, 1, 2, 1)",0.00419786783717644,sec0_m2 sec1_m0 sec2_m2 sec3_m2,"(2, 0, 2, 2)",0.007361991217334888
3,sec0_m0 sec1_m2 sec2_m1 sec3_m1,"(0, 2, 1, 1)",0.012527663677193357,6,sec0_m1 sec1_m2 sec2_m2 sec3_m0,"(1, 2, 2, 0)",0.016590754130129705,sec0_m2 sec1_m0 sec2_m1 sec3_m0,"(2, 0, 1, 0)",0.002710927891857614
4,sec0_m1 sec1_m0 sec2_m1 sec3_m2,"(1, 0, 1, 2)",0.002976508362919793,28,sec0_m2 sec1_m2 sec2_m0 sec3_m1,"(2, 2, 0, 1)",0.00872919354005384,sec0_m0 sec1_m1 sec2_m2 sec3_m0,"(0, 1, 2, 0)",0.00439313262910726
5,sec0_m1 sec1_m1 sec2_m1 sec3_m1,"(1, 1, 1, 1)",0.003458812317412455,21,sec0_m2 sec1_m2 sec2_m2 sec3_m2,"(2, 2, 2, 2)",0.014032482205960633,sec0_m0 sec1_m0 sec2_m0 sec3_m0,"(0, 0, 0, 0)",0.0050283449269142525
6,sec0_m2 sec1_m1 sec2_m1 sec3_m0,"(2, 1, 1, 0)",0.0028638058953718904,29,sec0_m0 sec1_m2 sec2_m1 sec3_m2,"(0, 2, 1, 2)",0.012038493607352202,sec0_m1 sec1_m2 sec2_m0 sec3_m0,"(1, 2, 0, 0)",0.011105204909945291
7,sec0_m0 sec1_m2 sec2_m0 sec3_m2,"(0, 2, 0, 2)",0.01126903239649422,8,sec0_m1 sec1_m1 sec2_m0 sec3_m0,"(1, 1, 0, 0)",0.005630015432590514,sec0_m2 sec1_m1 sec2_m1 sec3_m2,"(2, 1, 1, 2)",0.01191989300132196
8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,"(2, 0, 0, 2)",0.02892248524455424,1,sec0_m0 sec1_m1 sec2_m0 sec3_m1,"(0, 1, 0, 1)",0.004157470706886125,sec0_m1 sec1_m1 sec2_m2 sec3_m2,"(1, 1, 2, 2)",0.007680142265784732
11,sec0_m0 sec1_m0 sec2_m1 sec3_m0,"(0, 0, 1, 0)",0.003458812317412455,22,sec0_m1 sec1_m2 sec2_m1 sec3_m1,"(1, 2, 1, 1)",0.007539617292383156,sec0_m2 sec1_m2 sec2_m2 sec3_m0,"(2, 2, 2, 0)",0.009320222217874385
13,sec0_m0 sec1_m2 sec2_m2 sec3_m0,"(0, 2, 2, 0)",0.0038460383048055614,20,sec0_m1 sec1_m0 sec2_m1 sec3_m0,"(1, 0, 1, 0)",0.0037136396714219666,sec0_m2 sec1_m2 sec2_m1 sec3_m1,"(2, 2, 1, 1)",0.004021517709594478
