base_idx27,shift_mult,sum_class,a0,a1,a2,a3,m0,m1,m2,m3,sum_m_mod3,pred_mean_abs_delta
0,0,sum1,0,0,0,1,0,0,0,1,1,0.0066714254826026834
0,1,sum2,1,0,0,1,1,1,1,2,2,0.010407216977661986
0,2,sum0,2,0,0,1,2,2,2,0,0,0.009320222217874385
1,0,sum1,0,0,1,2,0,0,1,0,1,0.000462076342117137
1,1,sum2,1,0,1,2,1,1,2,1,2,0.00419786783717644
1,2,sum0,2,0,1,2,2,2,0,2,0,0.011249380007996882
2,0,sum1,0,0,2,0,0,0,2,2,1,0.007062871040855812
2,1,sum2,1,0,2,0,1,1,0,0,2,0.005630015432590514
2,2,sum0,2,0,2,0,2,2,1,1,0,0.004021517709594478
3,0,sum1,0,1,0,2,0,1,0,0,1,0.0038038257973238526
3,1,sum2,1,1,0,2,1,2,1,1,2,0.007539617292383156
3,2,sum0,2,1,0,2,2,0,2,2,0,0.007361991217334888
4,0,sum1,0,1,1,0,0,1,1,2,1,0.012333459671861969
4,1,sum2,1,1,1,0,1,2,2,0,2,0.016590754130129705
4,2,sum0,2,1,1,0,2,0,0,1,0,0.010722977988548403
5,0,sum1,0,1,2,1,0,1,2,1,1,0.00432140957517118
5,1,sum2,1,1,2,1,1,2,0,2,2,0.01671721096404696
5,2,sum0,2,1,2,1,2,0,1,0,0,0.002710927891857614
6,0,sum1,0,2,0,0,0,2,0,2,1,0.012375633525555974
6,1,sum2,1,2,0,0,1,0,1,0,2,0.0037136396714219666
6,2,sum0,2,2,0,0,2,1,2,1,0,0.0021051419484259307
7,0,sum1,0,2,1,1,0,2,1,1,1,0.006950472183358812
7,1,sum2,1,2,1,1,1,0,2,2,2,0.012117135326365883
7,2,sum0,2,2,1,1,2,1,0,0,0,0.005339990500045246
8,0,sum1,0,2,2,2,0,2,2,0,1,0.01405187764784396
8,1,sum2,1,2,2,2,1,0,0,1,2,0.013528390724317996
8,2,sum0,2,2,2,2,2,1,1,2,0,0.01191989300132196
9,0,sum1,1,0,0,0,1,1,1,1,1,0.003980749768523717
9,1,sum2,2,0,0,0,2,2,2,2,2,0.014032482205960633
9,2,sum0,0,0,0,0,0,0,0,0,0,0.0050283449269142525
10,0,sum1,1,0,1,1,1,1,2,0,1,0.00436761116914996
10,1,sum2,2,0,1,1,2,2,0,1,2,0.00872919354005384
10,2,sum0,0,0,1,1,0,0,1,2,0,0.004893703364332061
11,0,sum1,1,0,2,2,1,1,0,2,1,0.00979328245622199
11,1,sum2,2,0,2,2,2,2,1,0,2,0.006016357896517824
11,2,sum0,0,0,2,2,0,0,2,1,0,0.002180867720796046
12,0,sum1,1,1,0,1,1,2,1,0,1,0.007490010764791948
12,1,sum2,2,1,0,1,2,0,2,1,2,0.004622454889827116
12,2,sum0,0,1,0,1,0,1,0,2,0,0.008016102959974049
13,0,sum1,1,1,1,2,1,2,2,2,1,0.019258567403701396
13,1,sum2,2,1,1,2,2,0,0,0,2,0.011222364425411965
13,2,sum0,0,1,1,2,0,1,1,1,0,0.005956002601742418
14,0,sum1,1,1,2,0,1,2,0,1,1,0.012005547364533204
14,1,sum2,2,1,2,0,2,0,1,2,2,0.009137991489568374
14,2,sum0,0,1,2,0,0,1,2,0,0,0.00439313262910726
15,0,sum1,1,2,0,2,1,0,1,2,1,0.00809625655461817
15,1,sum2,2,2,0,2,2,1,2,0,2,0.004319331994914005
15,2,sum0,0,2,0,2,0,2,0,1,0,0.007712980065060937
16,0,sum1,1,2,1,0,1,0,2,1,1,0.0071861218672873975
16,1,sum2,2,2,1,0,2,1,0,2,2,0.011547704238191276
16,2,sum0,0,2,1,0,0,2,1,0,0,0.006802845377730164
17,0,sum1,1,2,2,1,1,0,0,0,1,0.011983330446667004
17,1,sum2,2,2,2,1,2,1,1,1,2,0.007684902923754404
17,2,sum0,0,2,2,1,0,2,2,2,0,0.01676870106043437
18,0,sum1,2,0,0,2,2,2,2,1,1,0.009844206847982666
18,1,sum2,0,0,0,2,0,0,0,2,2,0.011978796766160801
18,2,sum0,1,0,0,2,1,1,1,0,0,0.004575861063995589
19,0,sum1,2,0,1,0,2,2,0,0,1,0.007779840946447208
19,1,sum2,0,0,1,0,0,0,1,1,2,0.0012544209708088656
19,2,sum0,1,0,1,0,1,1,2,2,0,0.007680142265784732
20,0,sum1,2,0,2,1,2,2,1,2,1,0.009060528994569148
20,1,sum2,0,0,2,1,0,0,2,0,2,0.0030566119821392405
20,2,sum0,1,0,2,1,1,1,0,1,0,0.003792183210582072
21,0,sum1,2,1,0,0,2,0,2,0,1,0.0034537524366557563
21,1,sum2,0,1,0,0,0,1,0,1,2,0.004157470706886125
21,2,sum0,1,1,0,0,1,2,1,2,0,0.010583192001861991
22,0,sum1,2,1,1,1,2,0,0,2,1,0.015981339133087802
22,1,sum2,0,1,1,1,0,1,1,0,2,0.008546550472710124
22,2,sum0,1,1,1,1,1,2,2,1,0,0.014972271767685992
23,0,sum1,2,1,2,2,2,0,1,1,1,0.0034542623815306227
23,1,sum2,0,1,2,2,0,1,2,2,2,0.009848130718294027
23,2,sum0,1,1,2,2,1,2,0,0,0,0.011105204909945291
24,0,sum1,2,2,0,1,2,1,2,2,1,0.007582852952530057
24,1,sum2,0,2,0,1,0,2,0,0,2,0.00880807418596886
24,2,sum0,1,2,0,1,1,0,1,1,0,0.0023145071685429807
25,0,sum1,2,2,1,2,2,1,0,1,1,0.005644625270588798
25,1,sum2,0,2,1,2,0,2,1,2,2,0.012038493607352202
25,2,sum0,1,2,1,2,1,0,2,0,0,0.006066429553134757
26,0,sum1,2,2,2,0,2,1,1,0,1,0.008231004080207556
26,1,sum2,0,2,2,0,0,2,2,1,2,0.01462487241697096
26,2,sum0,1,2,2,0,1,0,0,2,0,0.01679131529336156
