element,label,comm_norm,comm_norm_total
e,(0 1 2),0.0,0.0
e,(0 2 1),0.0,0.0
e,e,0.0,0.0
e,e*,0.0,0.0
e*,(0 1 2),49.79959839195493,69.05070600652827
e*,(0 2 1),46.475800154489,69.05070600652827
e*,e,0.0,69.05070600652827
e*,e*,11.313708498984761,69.05070600652827
(0 1)(2 3),(0 1 2),54.55272678794342,76.10519036176179
(0 1)(2 3),(0 2 1),50.91168824543142,76.10519036176179
(0 1)(2 3),e,0.0,76.10519036176179
(0 1)(2 3),e*,14.966629547095765,76.10519036176179
(0 1)(2 3)*,(0 1 2),54.55272678794342,76.10519036176179
(0 1)(2 3)*,(0 2 1),50.91168824543142,76.10519036176179
(0 1)(2 3)*,e,0.0,76.10519036176179
(0 1)(2 3)*,e*,14.966629547095765,76.10519036176179
(0 2)(1 3),(0 1 2),51.02940328869229,72.49827584156743
(0 2)(1 3),(0 2 1),47.62352359916263,72.49827584156743
(0 2)(1 3),e,0.0,72.49827584156743
(0 2)(1 3),e*,19.595917942265423,72.49827584156743
(0 2)(1 3)*,(0 1 2),51.02940328869229,72.49827584156743
(0 2)(1 3)*,(0 2 1),47.62352359916263,72.49827584156743
(0 2)(1 3)*,e,0.0,72.49827584156743
(0 2)(1 3)*,e*,19.595917942265423,72.49827584156743
(0 3)(1 2),(0 1 2),51.02940328869229,72.27724399837061
(0 3)(1 2),(0 2 1),47.62352359916263,72.27724399837061
(0 3)(1 2),e,0.0,72.27724399837061
(0 3)(1 2),e*,18.76166303929372,72.27724399837061
(0 3)(1 2)*,(0 1 2),51.02940328869229,72.27724399837061
(0 3)(1 2)*,(0 2 1),47.62352359916263,72.27724399837061
(0 3)(1 2)*,e,0.0,72.27724399837061
(0 3)(1 2)*,e*,18.76166303929372,72.27724399837061
(0 1 2),(0 1 2),53.40411969127476,75.63068160475615
(0 1 2),(0 2 1),49.839743177508446,75.63068160475615
(0 1 2),e,0.0,75.63068160475615
(0 1 2),e*,19.595917942265423,75.63068160475615
(0 1 2)*,(0 1 2),54.55272678794342,77.14920608794364
(0 1 2)*,(0 2 1),50.91168824543142,77.14920608794364
(0 1 2)*,e,0.0,77.14920608794364
(0 1 2)*,e*,19.595917942265423,77.14920608794364
(0 1 3),(0 1 2),54.55272678794342,77.14920608794364
(0 1 3),(0 2 1),50.91168824543142,77.14920608794364
(0 1 3),e,0.0,77.14920608794364
(0 1 3),e*,19.595917942265423,77.14920608794364
(0 1 3)*,(0 1 2),54.55272678794342,77.14920608794364
(0 1 3)*,(0 2 1),50.91168824543142,77.14920608794364
(0 1 3)*,e,0.0,77.14920608794364
(0 1 3)*,e*,19.595917942265423,77.14920608794364
(0 2 1),(0 1 2),53.40411969127476,75.63068160475615
(0 2 1),(0 2 1),49.839743177508446,75.63068160475615
(0 2 1),e,0.0,75.63068160475615
(0 2 1),e*,19.595917942265423,75.63068160475615
(0 2 1)*,(0 1 2),54.55272678794342,77.14920608794364
(0 2 1)*,(0 2 1),50.91168824543142,77.14920608794364
(0 2 1)*,e,0.0,77.14920608794364
(0 2 1)*,e*,19.595917942265423,77.14920608794364
(0 2 3),(0 1 2),53.40411969127476,75.63068160475615
(0 2 3),(0 2 1),49.839743177508446,75.63068160475615
(0 2 3),e,0.0,75.63068160475615
(0 2 3),e*,19.595917942265423,75.63068160475615
(0 2 3)*,(0 1 2),53.40411969127476,75.63068160475615
(0 2 3)*,(0 2 1),49.839743177508446,75.63068160475615
(0 2 3)*,e,0.0,75.63068160475615
(0 2 3)*,e*,19.595917942265423,75.63068160475615
(0 3 1),(0 1 2),54.55272678794342,77.14920608794364
(0 3 1),(0 2 1),50.91168824543142,77.14920608794364
(0 3 1),e,0.0,77.14920608794364
(0 3 1),e*,19.595917942265423,77.14920608794364
(0 3 1)*,(0 1 2),54.55272678794342,77.14920608794364
(0 3 1)*,(0 2 1),50.91168824543142,77.14920608794364
(0 3 1)*,e,0.0,77.14920608794364
(0 3 1)*,e*,19.595917942265423,77.14920608794364
(0 3 2),(0 1 2),53.40411969127476,75.63068160475615
(0 3 2),(0 2 1),49.839743177508446,75.63068160475615
(0 3 2),e,0.0,75.63068160475615
(0 3 2),e*,19.595917942265423,75.63068160475615
(0 3 2)*,(0 1 2),53.40411969127476,75.63068160475615
(0 3 2)*,(0 2 1),49.839743177508446,75.63068160475615
(0 3 2)*,e,0.0,75.63068160475615
(0 3 2)*,e*,19.595917942265423,75.63068160475615
(1 2 3),(0 1 2),54.55272678794342,77.14920608794364
(1 2 3),(0 2 1),50.91168824543142,77.14920608794364
(1 2 3),e,0.0,77.14920608794364
(1 2 3),e*,19.595917942265423,77.14920608794364
(1 2 3)*,(0 1 2),54.55272678794342,77.14920608794364
(1 2 3)*,(0 2 1),50.91168824543142,77.14920608794364
(1 2 3)*,e,0.0,77.14920608794364
(1 2 3)*,e*,19.595917942265423,77.14920608794364
(1 3 2),(0 1 2),54.55272678794342,77.14920608794364
(1 3 2),(0 2 1),50.91168824543142,77.14920608794364
(1 3 2),e,0.0,77.14920608794364
(1 3 2),e*,19.595917942265423,77.14920608794364
(1 3 2)*,(0 1 2),54.55272678794342,77.14920608794364
(1 3 2)*,(0 2 1),50.91168824543142,77.14920608794364
(1 3 2)*,e,0.0,77.14920608794364
(1 3 2)*,e*,19.595917942265423,77.14920608794364
