i,c,g,f,w,k,Y0
0,L,0,0,S,0,2/3
1,L,0,0,S,1,2/3
2,L,0,0,S,2,2/3
3,L,0,0,D1,0,-1/3
4,L,0,0,D1,1,-1/3
5,L,0,0,D1,2,-1/3
6,L,0,0,D2,0,-1/3
7,L,0,0,D2,1,-1/3
8,L,0,0,D2,2,-1/3
9,L,0,1,S,0,2/3
10,L,0,1,S,1,2/3
11,L,0,1,S,2,2/3
12,L,0,1,D1,0,-1/3
13,L,0,1,D1,1,-1/3
14,L,0,1,D1,2,-1/3
15,L,0,1,D2,0,-1/3
16,L,0,1,D2,1,-1/3
17,L,0,1,D2,2,-1/3
18,L,0,2,S,0,2/3
19,L,0,2,S,1,2/3
20,L,0,2,S,2,2/3
21,L,0,2,D1,0,-1/3
22,L,0,2,D1,1,-1/3
23,L,0,2,D1,2,-1/3
24,L,0,2,D2,0,-1/3
25,L,0,2,D2,1,-1/3
26,L,0,2,D2,2,-1/3
27,L,1,0,S,0,2/3
28,L,1,0,S,1,2/3
29,L,1,0,S,2,2/3
30,L,1,0,D1,0,-1/3
31,L,1,0,D1,1,-1/3
32,L,1,0,D1,2,-1/3
33,L,1,0,D2,0,-1/3
34,L,1,0,D2,1,-1/3
35,L,1,0,D2,2,-1/3
36,L,1,1,S,0,2/3
37,L,1,1,S,1,2/3
38,L,1,1,S,2,2/3
39,L,1,1,D1,0,-1/3
40,L,1,1,D1,1,-1/3
41,L,1,1,D1,2,-1/3
42,L,1,1,D2,0,-1/3
43,L,1,1,D2,1,-1/3
44,L,1,1,D2,2,-1/3
45,L,1,2,S,0,2/3
46,L,1,2,S,1,2/3
47,L,1,2,S,2,2/3
48,L,1,2,D1,0,-1/3
49,L,1,2,D1,1,-1/3
50,L,1,2,D1,2,-1/3
51,L,1,2,D2,0,-1/3
52,L,1,2,D2,1,-1/3
53,L,1,2,D2,2,-1/3
54,L,2,0,S,0,2/3
55,L,2,0,S,1,2/3
56,L,2,0,S,2,2/3
57,L,2,0,D1,0,-1/3
58,L,2,0,D1,1,-1/3
59,L,2,0,D1,2,-1/3
60,L,2,0,D2,0,-1/3
61,L,2,0,D2,1,-1/3
62,L,2,0,D2,2,-1/3
63,L,2,1,S,0,2/3
64,L,2,1,S,1,2/3
65,L,2,1,S,2,2/3
66,L,2,1,D1,0,-1/3
67,L,2,1,D1,1,-1/3
68,L,2,1,D1,2,-1/3
69,L,2,1,D2,0,-1/3
70,L,2,1,D2,1,-1/3
71,L,2,1,D2,2,-1/3
72,L,2,2,S,0,2/3
73,L,2,2,S,1,2/3
74,L,2,2,S,2,2/3
75,L,2,2,D1,0,-1/3
76,L,2,2,D1,1,-1/3
77,L,2,2,D1,2,-1/3
78,L,2,2,D2,0,-1/3
79,L,2,2,D2,1,-1/3
80,L,2,2,D2,2,-1/3
81,R,0,0,S,0,2/3
82,R,0,0,S,1,2/3
83,R,0,0,S,2,2/3
84,R,0,0,D1,0,-1/3
85,R,0,0,D1,1,-1/3
86,R,0,0,D1,2,-1/3
87,R,0,0,D2,0,-1/3
88,R,0,0,D2,1,-1/3
89,R,0,0,D2,2,-1/3
90,R,0,1,S,0,2/3
91,R,0,1,S,1,2/3
92,R,0,1,S,2,2/3
93,R,0,1,D1,0,-1/3
94,R,0,1,D1,1,-1/3
95,R,0,1,D1,2,-1/3
96,R,0,1,D2,0,-1/3
97,R,0,1,D2,1,-1/3
98,R,0,1,D2,2,-1/3
99,R,0,2,S,0,2/3
100,R,0,2,S,1,2/3
101,R,0,2,S,2,2/3
102,R,0,2,D1,0,-1/3
103,R,0,2,D1,1,-1/3
104,R,0,2,D1,2,-1/3
105,R,0,2,D2,0,-1/3
106,R,0,2,D2,1,-1/3
107,R,0,2,D2,2,-1/3
108,R,1,0,S,0,2/3
109,R,1,0,S,1,2/3
110,R,1,0,S,2,2/3
111,R,1,0,D1,0,-1/3
112,R,1,0,D1,1,-1/3
113,R,1,0,D1,2,-1/3
114,R,1,0,D2,0,-1/3
115,R,1,0,D2,1,-1/3
116,R,1,0,D2,2,-1/3
117,R,1,1,S,0,2/3
118,R,1,1,S,1,2/3
119,R,1,1,S,2,2/3
120,R,1,1,D1,0,-1/3
121,R,1,1,D1,1,-1/3
122,R,1,1,D1,2,-1/3
123,R,1,1,D2,0,-1/3
124,R,1,1,D2,1,-1/3
125,R,1,1,D2,2,-1/3
126,R,1,2,S,0,2/3
127,R,1,2,S,1,2/3
128,R,1,2,S,2,2/3
129,R,1,2,D1,0,-1/3
130,R,1,2,D1,1,-1/3
131,R,1,2,D1,2,-1/3
132,R,1,2,D2,0,-1/3
133,R,1,2,D2,1,-1/3
134,R,1,2,D2,2,-1/3
135,R,2,0,S,0,2/3
136,R,2,0,S,1,2/3
137,R,2,0,S,2,2/3
138,R,2,0,D1,0,-1/3
139,R,2,0,D1,1,-1/3
140,R,2,0,D1,2,-1/3
141,R,2,0,D2,0,-1/3
142,R,2,0,D2,1,-1/3
143,R,2,0,D2,2,-1/3
144,R,2,1,S,0,2/3
145,R,2,1,S,1,2/3
146,R,2,1,S,2,2/3
147,R,2,1,D1,0,-1/3
148,R,2,1,D1,1,-1/3
149,R,2,1,D1,2,-1/3
150,R,2,1,D2,0,-1/3
151,R,2,1,D2,1,-1/3
152,R,2,1,D2,2,-1/3
153,R,2,2,S,0,2/3
154,R,2,2,S,1,2/3
155,R,2,2,S,2,2/3
156,R,2,2,D1,0,-1/3
157,R,2,2,D1,1,-1/3
158,R,2,2,D1,2,-1/3
159,R,2,2,D2,0,-1/3
160,R,2,2,D2,1,-1/3
161,R,2,2,D2,2,-1/3
