w33_a,w33_b,w33_c,hol12,n12_1,n12_2,n12_3,cover_bits,missing0123456789ab_idx,support_score,is_cover12,is_defect,hol_sign,missing_size,missing_triple_block
0,1,2,9,C08,C15,C06,12,(),60,True,False,-1,0,
0,1,3,3,C08,C15,F35,9,"(9, 10, 11)",12,False,True,1,3,3.0
0,2,3,9,C08,C06,F35,12,(),60,True,False,-1,0,
0,7,8,9,C08,C18,C04,12,(),60,True,False,-1,0,
0,7,9,3,C08,C18,X36,12,(),60,True,False,1,0,
0,8,9,9,C08,C04,X36,9,"(6, 7, 8)",9,False,True,-1,3,2.0
0,10,11,3,C08,C24,C37,12,(),60,True,False,1,0,
0,10,12,9,C08,C24,C05,12,(),60,True,False,-1,0,
0,11,12,3,C08,C37,C05,12,(),60,True,False,1,0,
0,16,17,9,C08,C03,C25,12,(),60,True,False,-1,0,
0,16,18,3,C08,C03,C20,12,(),60,True,False,1,0,
0,17,18,9,C08,C25,C20,12,(),60,True,False,-1,0,
0,19,20,3,C08,C27,C28,12,(),60,True,False,1,0,
0,19,21,9,C08,C27,C33,12,(),60,True,False,-1,0,
0,20,21,3,C08,C28,C33,12,(),60,True,False,1,0,
0,25,26,9,C08,C14,C01,9,"(6, 7, 8)",9,False,True,-1,3,2.0
0,25,27,3,C08,C14,C16,12,(),60,True,False,1,0,
0,26,27,9,C08,C01,C16,12,(),60,True,False,-1,0,
0,28,29,3,C08,C13,C32,12,(),60,True,False,1,0,
0,28,30,9,C08,C13,C21,12,(),60,True,False,-1,0,
0,29,30,3,C08,C32,C21,12,(),60,True,False,1,0,
0,34,35,9,C08,F36,C26,9,"(6, 7, 8)",9,False,True,-1,3,2.0
0,34,36,3,C08,F36,C00,9,"(9, 10, 11)",12,False,True,1,3,3.0
0,35,36,9,C08,C26,C00,12,(),60,True,False,-1,0,
0,37,38,3,C08,C30,C22,6,"(6, 7, 8, 9, 10, 11)",0,False,True,1,6,
0,37,39,9,C08,C30,C19,12,(),60,True,False,-1,0,
0,38,39,3,C08,C22,C19,12,(),60,True,False,1,0,
1,2,3,3,C15,C06,F35,9,"(0, 1, 2)",32,False,True,1,3,0.0
1,5,8,3,C15,C02,C04,12,(),60,True,False,1,0,
1,5,11,9,C15,C02,C37,12,(),60,True,False,-1,0,
1,6,9,9,C15,C31,X36,12,(),60,True,False,-1,0,
1,6,12,3,C15,C31,C05,12,(),60,True,False,1,0,
1,8,11,3,C15,C04,C37,12,(),60,True,False,1,0,
1,9,12,9,C15,X36,C05,12,(),60,True,False,-1,0,
1,14,17,3,C15,C34,C25,12,(),60,True,False,1,0,
1,14,20,9,C15,C34,C28,12,(),60,True,False,-1,0,
1,15,18,9,C15,C17,C20,12,(),60,True,False,-1,0,
1,15,21,3,C15,C17,C33,12,(),60,True,False,1,0,
