cycle,step,component,q,sheet,triad_index,triad_w33,triad_n12,hol,cover12,excluded,moved,move_idx,delta,rem,add,support_bits
0,0,16,16,0,174,7 16 28,C19 C10 C15,3,0,31,1,0.0,4,0,4,3 7 10 11
0,1,16,16,0,311,16 28 31,C10 C15 F36,9,0,7,1,2.0,0,0,0,1 2 3 7
0,2,16,16,0,175,7 16 31,C19 C10 F36,9,1,28,1,1.0,2,6,0,1 3 10 11
0,3,16,16,0,175,7 16 31,C19 C10 F36,9,1,28,0,,2,6,0,1 2 7 10
1,0,16,16,0,186,7 28 31,C19 C15 F36,3,1,16,1,2.0,0,6,6,0 3 8 9
1,1,16,16,0,174,7 16 28,C19 C10 C15,3,0,31,1,1.0,0,4,4,3 7 8 10
1,2,16,16,0,174,7 16 28,C19 C10 C15,3,0,31,0,,6,0,6,3 6 10 11
1,3,16,16,0,175,7 16 31,C19 C10 F36,9,1,28,1,0.0,0,0,0,4 5 6 10
1,4,16,16,0,311,16 28 31,C10 C15 F36,9,0,7,1,1.0,2,6,0,4 6 7 8
1,5,16,16,0,186,7 28 31,C19 C15 F36,3,1,16,1,0.0,0,6,6,0 4 8 9
1,6,16,16,0,174,7 16 28,C19 C10 C15,3,0,31,1,1.0,6,2,0,3 6 7 11
1,7,16,16,0,174,7 16 28,C19 C10 C15,3,0,31,0,,6,0,6,4 5 9 10
1,8,16,16,0,175,7 16 31,C19 C10 F36,9,1,28,1,0.0,4,0,4,3 7 9 10
2,0,68,43,0,251,11 19 26,C08 C06 F35,9,1,33,1,2.0,2,6,0,1 2 7 10
2,1,68,43,0,251,11 19 26,C08 C06 F35,9,1,33,0,,0,6,6,0 3 8 9
2,2,68,43,0,251,11 19 26,C08 C06 F35,9,1,33,0,,0,6,6,1 3 8 10
2,3,68,43,0,257,11 26 33,C08 F35 C27,9,0,19,1,1.0,2,6,0,1 2 7 8
2,4,68,43,0,329,19 26 33,C06 F35 C27,3,0,11,1,0.0,6,0,6,3 6 10 11
2,5,68,43,0,251,11 19 26,C08 C06 F35,9,1,33,1,2.0,0,0,0,4 5 6 10
