gq42_point,quad0,quad1,gauge_flip_g
0,0,33,0
1,1,35,0
2,2,34,0
3,3,42,0
4,4,48,0
5,5,44,0
6,6,49,0
7,7,43,0
8,8,50,0
9,9,36,0
10,10,39,0
11,11,72,0
12,12,54,0
13,13,74,0
14,14,58,0
15,15,76,0
16,16,56,0
17,17,37,0
18,18,41,0
19,19,84,0
20,20,60,0
21,21,87,0
22,22,65,0
23,23,89,0
24,24,62,0
25,25,38,0
26,26,40,0
27,27,78,0
28,28,66,0
29,29,81,0
30,30,70,0
31,31,83,0
32,32,69,0
33,51,45,1
34,53,46,1
35,52,47,1
36,55,73,0
37,57,77,0
38,59,75,0
39,61,85,0
40,63,88,0
41,64,86,0
42,67,79,0
43,68,82,0
44,71,80,0
