cycle_index,cycle_length,step,support_mask,support_symbols,triad_index,w33_points,n12_points,triad_cover_size,triad_cover12,triad_mask,missing_symbols
0,4,0,3208,3 7 a b,20,0 29 30,C19 C06 X36,9,False,4088,0 1 2
0,4,1,142,1 2 3 7,18,0 28 29,C19 C14 C06,12,True,4095,
0,4,2,3082,1 3 a b,351,28 29 30,C14 C06 X36,9,False,3647,6 7 8
0,4,3,1158,1 2 7 a,19,0 28 30,C19 C14 X36,9,False,4039,3 4 5
1,9,0,777,0 3 8 9,115,4 20 29,C18 C22 C06,12,True,4095,
1,9,1,1416,3 7 8 a,125,4 29 38,C18 C06 X35,9,False,4088,0 1 2
1,9,2,3144,3 6 a b,115,4 20 29,C18 C22 C06,12,True,4095,
1,9,3,1136,4 5 6 a,125,4 29 38,C18 C06 X35,9,False,4088,0 1 2
1,9,4,464,4 6 7 8,114,4 20 38,C18 C22 X35,9,False,511,9 a b
1,9,5,785,0 4 8 9,115,4 20 29,C18 C22 C06,12,True,4095,
1,9,6,2248,3 6 7 b,125,4 29 38,C18 C06 X35,9,False,4088,0 1 2
1,9,7,1584,4 5 9 a,336,20 29 38,C22 C06 X35,9,False,3647,6 7 8
1,9,8,1672,3 7 9 a,125,4 29 38,C18 C06 X35,9,False,4088,0 1 2
2,11,0,1158,1 2 7 a,7,0 10 12,C19 C25 C13,9,False,4039,3 4 5
2,11,1,777,0 3 8 9,224,10 11 12,C25 C29 C13,12,True,4095,
2,11,2,1290,1 3 8 a,8,0 11 12,C19 C29 C13,12,True,4095,
2,11,3,390,1 2 7 8,7,0 10 12,C19 C25 C13,9,False,4039,3 4 5
2,11,4,3144,3 6 a b,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
2,11,5,1136,4 5 6 a,8,0 11 12,C19 C29 C13,12,True,4095,
2,11,6,464,4 6 7 8,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
2,11,7,785,0 4 8 9,8,0 11 12,C19 C29 C13,12,True,4095,
2,11,8,2248,3 6 7 b,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
2,11,9,1584,4 5 9 a,8,0 11 12,C19 C29 C13,12,True,4095,
2,11,10,1672,3 7 9 a,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
3,17,0,1728,6 7 9 a,7,0 10 12,C19 C25 C13,9,False,4039,3 4 5
3,17,1,624,4 5 6 9,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
3,17,2,1158,1 2 7 a,7,0 10 12,C19 C25 C13,9,False,4039,3 4 5
3,17,3,1106,1 4 6 a,8,0 11 12,C19 C29 C13,12,True,4095,
3,17,4,275,0 1 4 8,224,10 11 12,C25 C29 C13,12,True,4095,
3,17,5,3144,3 6 a b,8,0 11 12,C19 C29 C13,12,True,4095,
3,17,6,1576,3 5 9 a,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
3,17,7,275,0 1 4 8,224,10 11 12,C25 C29 C13,12,True,4095,
3,17,8,1074,1 4 5 a,8,0 11 12,C19 C29 C13,12,True,4095,
3,17,9,777,0 3 8 9,224,10 11 12,C25 C29 C13,12,True,4095,
3,17,10,1290,1 3 8 a,8,0 11 12,C19 C29 C13,12,True,4095,
3,17,11,390,1 2 7 8,7,0 10 12,C19 C25 C13,9,False,4039,3 4 5
3,17,12,3144,3 6 a b,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
3,17,13,1136,4 5 6 a,8,0 11 12,C19 C29 C13,12,True,4095,
3,17,14,464,4 6 7 8,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
3,17,15,785,0 4 8 9,8,0 11 12,C19 C29 C13,12,True,4095,
3,17,16,1584,4 5 9 a,6,0 10 11,C19 C25 C29,9,False,4088,0 1 2
4,19,0,3208,3 7 a b,102,4 14 32,C18 C12 C24,12,True,4095,
4,19,1,624,4 5 6 9,119,4 23 32,C18 C27 C24,9,False,4088,0 1 2
4,19,2,1158,1 2 7 a,292,14 23 32,C12 C27 C24,12,True,4095,
4,19,3,1106,1 4 6 a,102,4 14 32,C18 C12 C24,12,True,4095,
4,19,4,275,0 1 4 8,103,4 14 23,C18 C12 C27,9,False,511,9 a b
4,19,5,3144,3 6 a b,119,4 23 32,C18 C27 C24,9,False,4088,0 1 2
4,19,6,1576,3 5 9 a,102,4 14 32,C18 C12 C24,12,True,4095,
4,19,7,275,0 1 4 8,103,4 14 23,C18 C12 C27,9,False,511,9 a b
4,19,8,1074,1 4 5 a,102,4 14 32,C18 C12 C24,12,True,4095,
4,19,9,777,0 3 8 9,292,14 23 32,C12 C27 C24,12,True,4095,
4,19,10,1290,1 3 8 a,102,4 14 32,C18 C12 C24,12,True,4095,
4,19,11,390,1 2 7 8,103,4 14 23,C18 C12 C27,9,False,511,9 a b
4,19,12,3144,3 6 a b,119,4 23 32,C18 C27 C24,9,False,4088,0 1 2
4,19,13,1136,4 5 6 a,102,4 14 32,C18 C12 C24,12,True,4095,
4,19,14,464,4 6 7 8,103,4 14 23,C18 C12 C27,9,False,511,9 a b
4,19,15,785,0 4 8 9,102,4 14 32,C18 C12 C24,12,True,4095,
4,19,16,2248,3 6 7 b,119,4 23 32,C18 C27 C24,9,False,4088,0 1 2
4,19,17,1584,4 5 9 a,102,4 14 32,C18 C12 C24,12,True,4095,
4,19,18,3648,6 9 a b,119,4 23 32,C18 C27 C24,9,False,4088,0 1 2
