cycle_index,cycle_length,step,support_mask,support_symbols,delta,required_triadhol,triad_index,w33_points,triad_holonomy_z12,phase_constraint_ok,triad_cover12,triad_cover_size,triad_missing_symbols
0,4,0,3208,3 7 a b,4,,20,0 29 30,3,True,False,9,0 1 2
0,4,1,142,1 2 3 7,0,,18,0 28 29,3,True,True,12,
0,4,2,3082,1 3 a b,2,9.0,351,28 29 30,9,True,False,9,6 7 8
0,4,3,1158,1 2 7 a,2,9.0,19,0 28 30,9,True,False,9,3 4 5
1,9,0,777,0 3 8 9,0,,114,4 20 29,3,True,True,12,
1,9,1,1416,3 7 8 a,0,,125,4 29 38,3,True,False,9,0 1 2
1,9,2,3144,3 6 a b,6,3.0,114,4 20 29,3,True,True,12,
1,9,3,1136,4 5 6 a,0,,125,4 29 38,3,True,False,9,0 1 2
1,9,4,464,4 6 7 8,2,9.0,115,4 20 38,9,True,False,9,9 a b
1,9,5,785,0 4 8 9,0,,114,4 20 29,3,True,True,12,
1,9,6,2248,3 6 7 b,6,3.0,125,4 29 38,3,True,False,9,0 1 2
1,9,7,1584,4 5 9 a,6,3.0,114,4 20 29,3,True,True,12,
1,9,8,1672,3 7 9 a,4,,125,4 29 38,3,True,False,9,0 1 2
2,11,0,1158,1 2 7 a,2,9.0,7,0 10 12,9,True,False,9,3 4 5
2,11,1,777,0 3 8 9,0,,224,10 11 12,9,True,True,12,
2,11,2,1290,1 3 8 a,0,,8,0 11 12,3,True,True,12,
2,11,3,390,1 2 7 8,2,9.0,7,0 10 12,9,True,False,9,3 4 5
2,11,4,3144,3 6 a b,6,3.0,6,0 10 11,3,True,False,9,0 1 2
2,11,5,1136,4 5 6 a,0,,8,0 11 12,3,True,True,12,
2,11,6,464,4 6 7 8,2,9.0,224,10 11 12,9,True,True,12,
2,11,7,785,0 4 8 9,0,,8,0 11 12,3,True,True,12,
2,11,8,2248,3 6 7 b,6,3.0,6,0 10 11,3,True,False,9,0 1 2
2,11,9,1584,4 5 9 a,6,3.0,8,0 11 12,3,True,True,12,
2,11,10,1672,3 7 9 a,4,,6,0 10 11,3,True,False,9,0 1 2
3,17,0,1728,6 7 9 a,4,,7,0 10 12,9,True,False,9,3 4 5
3,17,1,624,4 5 6 9,0,,6,0 10 11,3,True,False,9,0 1 2
3,17,2,1158,1 2 7 a,2,9.0,7,0 10 12,9,True,False,9,3 4 5
3,17,3,1106,1 4 6 a,0,,8,0 11 12,3,True,True,12,
3,17,4,275,0 1 4 8,2,9.0,224,10 11 12,9,True,True,12,
3,17,5,3144,3 6 a b,6,3.0,6,0 10 11,3,True,False,9,0 1 2
3,17,6,1576,3 5 9 a,0,,224,10 11 12,9,True,True,12,
3,17,7,275,0 1 4 8,6,3.0,8,0 11 12,3,True,True,12,
3,17,8,1074,1 4 5 a,0,,224,10 11 12,9,True,True,12,
3,17,9,777,0 3 8 9,0,,8,0 11 12,3,True,True,12,
3,17,10,1290,1 3 8 a,0,,224,10 11 12,9,True,True,12,
3,17,11,390,1 2 7 8,2,9.0,7,0 10 12,9,True,False,9,3 4 5
3,17,12,3144,3 6 a b,6,3.0,6,0 10 11,3,True,False,9,0 1 2
3,17,13,1136,4 5 6 a,0,,8,0 11 12,3,True,True,12,
3,17,14,464,4 6 7 8,2,9.0,224,10 11 12,9,True,True,12,
3,17,15,785,0 4 8 9,0,,8,0 11 12,3,True,True,12,
3,17,16,1584,4 5 9 a,6,3.0,6,0 10 11,3,True,False,9,0 1 2
4,19,0,3208,3 7 a b,4,,243,11 13 29,3,True,True,12,
4,19,1,624,4 5 6 9,0,,260,11 29 36,3,True,False,9,0 1 2
4,19,2,1158,1 2 7 a,2,9.0,286,13 29 36,9,True,True,12,
4,19,3,1106,1 4 6 a,0,,243,11 13 29,3,True,True,12,
4,19,4,275,0 1 4 8,2,9.0,244,11 13 36,9,True,False,9,9 a b
4,19,5,3144,3 6 a b,6,3.0,243,11 13 29,3,True,True,12,
4,19,6,1576,3 5 9 a,0,,260,11 29 36,3,True,False,9,0 1 2
4,19,7,275,0 1 4 8,6,3.0,243,11 13 29,3,True,True,12,
4,19,8,1074,1 4 5 a,0,,286,13 29 36,9,True,True,12,
4,19,9,777,0 3 8 9,0,,243,11 13 29,3,True,True,12,
4,19,10,1290,1 3 8 a,0,,286,13 29 36,9,True,True,12,
4,19,11,390,1 2 7 8,2,9.0,244,11 13 36,9,True,False,9,9 a b
4,19,12,3144,3 6 a b,6,3.0,260,11 29 36,3,True,False,9,0 1 2
4,19,13,1136,4 5 6 a,0,,243,11 13 29,3,True,True,12,
4,19,14,464,4 6 7 8,2,9.0,244,11 13 36,9,True,False,9,9 a b
4,19,15,785,0 4 8 9,0,,243,11 13 29,3,True,True,12,
4,19,16,2248,3 6 7 b,6,3.0,260,11 29 36,3,True,False,9,0 1 2
4,19,17,1584,4 5 9 a,6,3.0,243,11 13 29,3,True,True,12,
4,19,18,3648,6 9 a b,6,3.0,260,11 29 36,3,True,False,9,0 1 2
