p,q,k_mod12
0,1,0
0,2,0
0,3,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
1,0,0
1,2,9
1,3,3
1,5,10
1,6,5
1,8,1
1,9,11
1,11,11
1,12,1
1,14,8
1,15,2
1,17,1
1,18,11
1,20,11
1,21,1
1,23,0
1,24,6
1,26,1
1,27,11
1,29,11
1,30,1
1,32,4
1,33,10
1,35,1
1,36,11
1,38,11
1,39,1
2,0,0
2,1,3
2,3,9
2,5,2
2,6,9
2,7,11
2,9,1
2,10,11
2,11,1
2,14,0
2,15,6
2,16,11
2,18,1
2,19,11
2,20,1
2,23,4
2,24,10
2,25,11
2,27,1
2,28,11
2,29,1
2,32,8
2,33,2
2,34,11
2,36,1
2,37,11
2,38,1
3,0,0
3,1,9
3,2,3
3,5,6
3,6,1
3,7,1
3,8,11
3,10,1
3,12,11
3,14,4
3,15,10
3,16,1
3,17,11
3,19,1
3,21,11
3,23,8
3,24,2
3,25,1
3,26,11
3,28,1
3,30,11
3,32,0
3,33,6
3,34,1
3,35,11
3,37,1
3,39,11
4,13,0
4,14,0
4,15,0
4,16,1
4,17,9
4,18,5
4,19,7
4,20,11
4,21,3
4,22,0
4,23,0
4,24,0
4,25,9
4,26,5
4,27,1
4,28,3
4,29,7
4,30,11
4,31,0
4,32,0
4,33,0
4,34,5
4,35,1
4,36,9
4,37,11
4,38,3
4,39,7
5,1,2
5,2,10
5,3,6
5,7,10
5,8,6
5,9,2
5,10,6
5,11,10
5,12,2
5,13,7
5,14,11
5,15,3
5,19,8
5,20,0
5,21,4
5,22,11
5,23,3
5,24,7
5,28,8
5,29,0
5,30,4
5,31,3
5,32,7
5,33,11
5,37,8
5,38,0
5,39,4
6,1,7
6,2,3
6,3,11
6,7,11
6,8,7
6,9,3
6,10,3
6,11,7
6,12,11
6,13,6
6,14,2
6,15,10
6,16,1
6,17,9
6,18,5
6,22,10
6,23,6
6,24,2
6,25,1
6,26,9
6,27,5
6,31,2
6,32,10
6,33,6
6,34,1
6,35,9
6,36,5
7,0,0
7,2,1
7,3,11
7,5,2
7,6,1
7,8,9
7,9,3
7,11,11
7,12,1
7,13,8
7,14,2
7,16,1
7,17,11
7,19,11
7,20,1
7,22,0
7,23,6
7,25,1
7,26,11
7,28,11
7,29,1
7,31,4
7,32,10
7,34,1
7,35,11
7,37,11
7,38,1
8,0,0
8,1,11
8,3,1
8,5,6
8,6,5
8,7,3
8,9,9
8,10,11
8,11,1
8,13,0
8,14,6
8,17,1
8,18,11
8,19,1
8,21,11
8,22,4
8,23,10
8,26,1
8,27,11
8,28,1
8,30,11
8,31,8
8,32,2
8,35,1
8,36,11
8,37,1
8,39,11
9,0,0
9,1,1
9,2,11
9,5,10
9,6,9
9,7,9
9,8,3
9,10,1
9,12,11
9,13,4
9,14,10
9,16,11
9,18,1
9,20,11
9,21,1
9,22,8
9,23,2
9,25,11
9,27,1
9,29,11
9,30,1
9,31,0
9,32,6
9,34,11
9,36,1
9,38,11
9,39,1
10,0,0
10,2,1
10,3,11
10,5,6
10,6,9
10,8,1
10,9,11
10,11,3
10,12,9
10,13,2
10,15,8
10,16,11
10,18,1
10,19,1
10,21,11
10,22,6
10,24,0
10,25,11
10,27,1
10,28,1
10,30,11
10,31,10
10,33,4
10,34,11
10,36,1
10,37,1
