cycle_index,cycle_length,step,n12_u,n12_v,support_mask,support_symbols,delta,required_triadhol,triad_index,w33_points,triad_holonomy_z12,phase_node_constraint_ok,phase_transition_constraint_ok,triad_cover12,triad_cover_size,triad_missing_symbols,outer_quad
0,4,0,12,10,3208,3 7 10 11,4,,6,0 10 11,3,True,True,False,9,0 1 2,0 10 11 12
0,4,1,10,33,142,1 2 3 7,0,,224,10 11 12,9,True,True,True,12,,0 10 11 12
0,4,2,33,15,3082,1 3 10 11,2,9.0,224,10 11 12,9,True,True,True,12,,0 10 11 12
0,4,3,15,12,1158,1 2 7 10,2,9.0,7,0 10 12,9,True,True,False,9,3 4 5,0 10 11 12
1,9,0,20,40,777,0 3 8 9,0,,243,11 13 29,3,True,True,True,12,,11 13 29 36
1,9,1,40,5,1416,3 7 8 10,0,,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
1,9,2,5,46,3144,3 6 10 11,6,3.0,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
1,9,3,46,36,1136,4 5 6 10,0,,286,13 29 36,9,True,True,True,12,,11 13 29 36
1,9,4,36,43,464,4 6 7 8,2,9.0,244,11 13 36,9,True,True,False,9,9 a b,11 13 29 36
1,9,5,43,57,785,0 4 8 9,0,,243,11 13 29,3,True,True,True,12,,11 13 29 36
1,9,6,57,48,2248,3 6 7 11,6,3.0,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
1,9,7,48,0,1584,4 5 9 10,6,3.0,260,11 29 36,3,True,True,False,9,0 1 2,11 13 29 36
1,9,8,0,20,1672,3 7 9 10,4,,286,13 29 36,9,True,True,True,12,,11 13 29 36
2,11,0,20,38,1158,1 2 7 10,2,9.0,7,0 10 12,9,True,True,False,9,3 4 5,0 10 11 12
2,11,1,38,56,777,0 3 8 9,0,,224,10 11 12,9,True,True,True,12,,0 10 11 12
2,11,2,56,47,1290,1 3 8 10,0,,224,10 11 12,9,True,True,True,12,,0 10 11 12
2,11,3,47,5,390,1 2 7 8,2,9.0,7,0 10 12,9,True,True,False,9,3 4 5,0 10 11 12
2,11,4,5,46,3144,3 6 10 11,6,3.0,6,0 10 11,3,True,True,False,9,0 1 2,0 10 11 12
2,11,5,46,36,1136,4 5 6 10,0,,224,10 11 12,9,True,True,True,12,,0 10 11 12
2,11,6,36,43,464,4 6 7 8,2,9.0,224,10 11 12,9,True,True,True,12,,0 10 11 12
2,11,7,43,57,785,0 4 8 9,0,,8,0 11 12,3,True,True,True,12,,0 10 11 12
2,11,8,57,48,2248,3 6 7 11,6,3.0,6,0 10 11,3,True,True,False,9,0 1 2,0 10 11 12
2,11,9,48,0,1584,4 5 9 10,6,3.0,6,0 10 11,3,True,True,False,9,0 1 2,0 10 11 12
2,11,10,0,20,1672,3 7 9 10,4,,6,0 10 11,3,True,True,False,9,0 1 2,0 10 11 12
