triad_index,w33_points,holonomy_z12,cover_mask,cover_size,cover12,missing_mask,missing_symbols
0,0 1 2,9,4095,12,True,0,
1,0 1 3,3,4032,6,False,63,0 1 2 3 4 5
2,0 2 3,9,4095,12,True,0,
3,0 7 8,9,4095,12,True,0,
4,0 7 9,3,4088,9,False,7,0 1 2
5,0 8 9,9,4095,12,True,0,
6,0 10 11,3,4088,9,False,7,0 1 2
7,0 10 12,9,4039,9,False,56,3 4 5
8,0 11 12,3,4095,12,True,0,
9,0 16 17,9,4095,12,True,0,
10,0 16 18,3,4095,12,True,0,
11,0 17 18,9,4095,12,True,0,
12,0 19 20,3,4095,12,True,0,
13,0 19 21,9,4039,9,False,56,3 4 5
14,0 20 21,3,4095,12,True,0,
15,0 25 26,9,4095,12,True,0,
16,0 25 27,3,4095,12,True,0,
17,0 26 27,9,4095,12,True,0,
18,0 28 29,3,4095,12,True,0,
19,0 28 30,9,4039,9,False,56,3 4 5
20,0 29 30,3,4088,9,False,7,0 1 2
21,0 34 35,9,4095,12,True,0,
22,0 34 36,3,4095,12,True,0,
23,0 35 36,9,4095,12,True,0,
24,0 37 38,3,4095,12,True,0,
25,0 37 39,9,4095,12,True,0,
26,0 38 39,3,4095,12,True,0,
27,1 2 3,3,4095,12,True,0,
28,1 5 8,3,4039,9,False,56,3 4 5
29,1 5 11,9,4095,12,True,0,
30,1 6 9,9,4095,12,True,0,
31,1 6 12,3,4095,12,True,0,
32,1 8 11,3,4095,12,True,0,
33,1 9 12,9,4095,12,True,0,
34,1 14 17,3,4095,12,True,0,
35,1 14 20,9,4095,12,True,0,
36,1 15 18,9,4095,12,True,0,
37,1 15 21,3,4095,12,True,0,
38,1 17 20,3,4095,12,True,0,
39,1 18 21,9,4095,12,True,0,
40,1 23 26,3,4095,12,True,0,
41,1 23 29,9,4088,9,False,7,0 1 2
42,1 24 27,9,4095,12,True,0,
43,1 24 30,3,4088,9,False,7,0 1 2
44,1 26 29,3,4095,12,True,0,
45,1 27 30,9,4095,12,True,0,
46,1 32 35,3,4095,12,True,0,
47,1 32 38,9,4088,9,False,7,0 1 2
48,1 33 36,9,4088,9,False,7,0 1 2
49,1 33 39,3,4039,9,False,56,3 4 5
50,1 35 38,3,4095,12,True,0,
51,1 36 39,9,4095,12,True,0,
52,2 5 9,3,4095,12,True,0,
53,2 5 10,9,4095,12,True,0,
54,2 6 7,9,4095,12,True,0,
55,2 6 11,3,4095,12,True,0,
56,2 7 11,9,4095,12,True,0,
57,2 9 10,3,4095,12,True,0,
58,2 14 18,3,4095,12,True,0,
59,2 14 19,9,4095,12,True,0,
60,2 15 16,9,4095,12,True,0,
61,2 15 20,3,3647,9,False,448,6 7 8
62,2 16 20,9,4095,12,True,0,
63,2 18 19,3,4095,12,True,0,
64,2 23 27,3,4095,12,True,0,
65,2 23 28,9,4095,12,True,0,
66,2 24 25,9,4095,12,True,0,
67,2 24 29,3,4095,12,True,0,
68,2 25 29,9,4095,12,True,0,
69,2 27 28,3,4095,12,True,0,
70,2 32 36,3,4095,12,True,0,
71,2 32 37,9,4095,12,True,0,
72,2 33 34,9,4095,12,True,0,
73,2 33 38,3,4095,12,True,0,
74,2 34 38,9,3647,9,False,448,6 7 8
75,2 36 37,3,4095,12,True,0,
76,3 5 7,3,4095,12,True,0,
77,3 5 12,9,4039,9,False,56,3 4 5
78,3 6 8,9,4095,12,True,0,
79,3 6 10,3,4095,12,True,0,
80,3 7 12,3,4095,12,True,0,
81,3 8 10,9,4039,9,False,56,3 4 5
82,3 14 16,3,511,9,False,3584,9 a b
83,3 14 21,9,4095,12,True,0,
84,3 15 17,9,4095,12,True,0,
85,3 15 19,3,4095,12,True,0,
86,3 16 21,3,4095,12,True,0,
87,3 17 19,9,4039,9,False,56,3 4 5
88,3 23 25,3,4088,9,False,7,0 1 2
89,3 23 30,9,4088,9,False,7,0 1 2
90,3 24 26,9,511,9,False,3584,9 a b
91,3 24 28,3,4095,12,True,0,
92,3 25 30,3,4088,9,False,7,0 1 2
93,3 26 28,9,4095,12,True,0,
94,3 32 34,3,4095,12,True,0,
95,3 32 39,9,4095,12,True,0,
96,3 33 35,9,4095,12,True,0,
97,3 33 37,3,4095,12,True,0,
98,3 34 39,3,4095,12,True,0,
99,3 35 37,9,511,9,False,3584,9 a b
100,4 13 22,3,511,9,False,3584,9 a b
101,4 13 31,9,4095,12,True,0,
102,4 14 23,3,511,9,False,3584,9 a b
103,4 14 32,9,4095,12,True,0,
104,4 15 24,3,4095,12,True,0,
105,4 15 33,9,4095,12,True,0,
