cycle_index,step,u,v,support,support_mask,delta,rem_sum,add_sum,node_req_hol,triad,triad_hol,triad_cover_size,triad_cover12,transition_rule_from_prev_edge,transition_ok,node_ok,outer_quad
0,0,12,10,3 7 10 11,3208,4,0,4,,0 10 11,3,9,0,delta2(no trans rule),1,1,4 14 23 32
0,1,10,33,1 2 3 7,142,0,0,0,,10 11 12,9,12,1,delta4(0->4),1,1,4 14 23 32
0,2,33,15,1 3 10 11,3082,2,6,0,9,10 11 12,9,12,1,delta0(rem=add=0),1,1,4 14 23 32
0,3,15,12,1 2 7 10,1158,2,6,0,9,0 10 12,9,9,0,delta2(no trans rule),1,1,4 14 23 32
1,0,20,40,0 3 8 9,777,0,6,6,,11 13 29,3,12,1,delta4(0->4),1,1,3 14 16 21
1,1,40,5,3 7 8 10,1416,0,4,4,,11 29 36,3,9,0,delta0(rem=add=6),1,1,3 14 16 21
1,2,5,46,3 6 10 11,3144,6,0,6,3,11 29 36,3,9,0,delta0(rem=add=4),1,1,3 14 16 21
1,3,46,36,4 5 6 10,1136,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21
1,4,36,43,4 6 7 8,464,2,6,0,9,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21
1,5,43,57,0 4 8 9,785,0,6,6,,11 13 29,3,12,1,delta2(no trans rule),1,1,3 14 16 21
1,6,57,48,3 6 7 11,2248,6,2,0,3,11 29 36,3,9,0,delta0(rem=add=6),1,1,3 14 16 21
1,7,48,0,4 5 9 10,1584,6,0,6,3,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21
1,8,0,20,3 7 9 10,1672,4,0,4,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21
2,0,20,38,1 2 7 10,1158,2,6,0,9,0 10 12,9,9,0,delta4(0->4),1,1,4 14 23 32
2,1,38,56,0 3 8 9,777,0,6,6,,10 11 12,9,12,1,delta2(no trans rule),1,1,4 14 23 32
2,2,56,47,1 3 8 10,1290,0,6,6,,10 11 12,9,12,1,delta0(rem=add=6),1,1,4 14 23 32
2,3,47,5,1 2 7 8,390,2,6,0,9,0 10 12,9,9,0,delta0(rem=add=6),1,1,4 14 23 32
2,4,5,46,3 6 10 11,3144,6,0,6,3,0 10 11,3,9,0,delta2(no trans rule),1,1,4 14 23 32
2,5,46,36,4 5 6 10,1136,0,0,0,,10 11 12,9,12,1,delta6(no trans rule),1,1,4 14 23 32
2,6,36,43,4 6 7 8,464,2,6,0,9,10 11 12,9,12,1,delta0(rem=add=0),1,1,4 14 23 32
2,7,43,57,0 4 8 9,785,0,6,6,,0 11 12,3,12,1,delta2(no trans rule),1,1,4 14 23 32
2,8,57,48,3 6 7 11,2248,6,2,0,3,0 10 11,3,9,0,delta0(rem=add=6),1,1,4 14 23 32
2,9,48,0,4 5 9 10,1584,6,0,6,3,0 10 11,3,9,0,delta6(no trans rule),1,1,4 14 23 32
2,10,0,20,3 7 9 10,1672,4,0,4,,0 10 11,3,9,0,delta6(no trans rule),1,1,4 14 23 32
3,0,45,27,6 7 9 10,1728,4,6,2,,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21
3,1,27,12,4 5 6 9,624,0,0,0,,13 29 36,9,12,1,delta4(6->2),1,1,3 14 16 21
3,2,12,15,1 2 7 10,1158,2,6,0,9,13 29 36,9,12,1,delta0(rem=add=0),1,1,3 14 16 21
