p,q,k_mod12,abs_inner
0,1,0,0.57735026919
0,2,0,0.57735026919
0,3,0,0.57735026919
0,7,0,0.57735026919
0,8,0,0.57735026919
0,9,0,0.57735026919
0,10,0,0.57735026919
0,11,0,0.57735026919
0,12,0,0.57735026919
0,16,0,0.57735026919
0,17,0,0.57735026919
0,18,0,0.57735026919
0,19,0,0.57735026919
0,20,0,0.57735026919
0,21,0,0.57735026919
0,25,0,0.57735026919
0,26,0,0.57735026919
0,27,0,0.57735026919
0,28,0,0.57735026919
0,29,0,0.57735026919
0,30,0,0.57735026919
0,34,0,0.57735026919
0,35,0,0.57735026919
0,36,0,0.57735026919
0,37,0,0.57735026919
0,38,0,0.57735026919
0,39,0,0.57735026919
1,0,0,0.57735026919
1,2,9,0.57735026919
1,3,3,0.57735026919
1,5,10,0.5773502691897193
1,6,5,0.5773502691897193
1,8,1,0.57735026919
1,9,11,0.5773502691900001
1,11,11,0.5773502691902808
1,12,1,0.5773502691902808
1,14,8,0.5773502691897193
1,15,2,0.57735026919
1,17,1,0.5773502691902807
1,18,11,0.57735026919
1,20,11,0.5773502691902807
1,21,1,0.57735026919
1,23,0,0.57735026919
1,24,6,0.57735026919
1,26,1,0.5773502691902807
1,27,11,0.57735026919
1,29,11,0.5773502691902807
1,30,1,0.57735026919
1,32,4,0.5773502691897193
1,33,10,0.57735026919
1,35,1,0.5773502691902807
1,36,11,0.57735026919
1,38,11,0.5773502691902807
1,39,1,0.57735026919
2,0,0,0.57735026919
2,1,3,0.57735026919
2,3,9,0.57735026919
2,5,2,0.5773502691897193
2,6,9,0.57735026919
2,7,11,0.5773502691900001
2,9,1,0.5773502691905614
2,10,11,0.5773502691902807
2,11,1,0.5773502691900001
2,14,0,0.57735026919
2,15,6,0.57735026919
2,16,11,0.5773502691902807
2,18,1,0.5773502691902807
2,19,11,0.57735026919
2,20,1,0.5773502691902807
2,23,4,0.5773502691902807
2,24,10,0.57735026919
2,25,11,0.5773502691902807
2,27,1,0.5773502691902807
2,28,11,0.57735026919
2,29,1,0.5773502691902807
2,32,8,0.57735026919
2,33,2,0.57735026919
2,34,11,0.5773502691902807
2,36,1,0.5773502691902807
2,37,11,0.57735026919
2,38,1,0.5773502691902807
3,0,0,0.57735026919
3,1,9,0.57735026919
3,2,3,0.57735026919
3,5,6,0.57735026919
3,6,1,0.5773502691897193
3,7,1,0.57735026919
3,8,11,0.5773502691905614
3,10,1,0.5773502691902807
3,12,11,0.57735026919
3,14,4,0.57735026919
3,15,10,0.57735026919
3,16,1,0.57735026919
3,17,11,0.5773502691902807
3,19,1,0.5773502691902807
3,21,11,0.5773502691902807
3,23,8,0.5773502691902807
3,24,2,0.57735026919
3,25,1,0.57735026919
3,26,11,0.5773502691902807
3,28,1,0.5773502691902807
3,30,11,0.5773502691902807
3,32,0,0.57735026919
3,33,6,0.57735026919
3,34,1,0.57735026919
3,35,11,0.5773502691902807
3,37,1,0.5773502691902807
3,39,11,0.5773502691902807
4,13,0,0.57735026919
4,14,0,0.57735026919
4,15,0,0.57735026919
4,16,1,0.5773502691897193
4,17,9,0.57735026919
4,18,5,0.5773502691897193
4,19,7,0.5773502691897193
4,20,11,0.5773502691897193
4,21,3,0.57735026919
4,22,0,0.57735026919
4,23,0,0.57735026919
4,24,0,0.57735026919
4,25,9,0.57735026919
4,26,5,0.5773502691897193
4,27,1,0.5773502691897193
4,28,3,0.57735026919
4,29,7,0.5773502691897193
4,30,11,0.5773502691897193
4,31,0,0.57735026919
4,32,0,0.57735026919
4,33,0,0.57735026919
4,34,5,0.5773502691897193
4,35,1,0.5773502691897193
4,36,9,0.57735026919
4,37,11,0.5773502691897193
4,38,3,0.57735026919
4,39,7,0.5773502691897193
5,1,2,0.5773502691897193
5,2,10,0.5773502691897193
5,3,6,0.57735026919
5,7,10,0.5773502691897193
5,8,6,0.57735026919
5,9,2,0.5773502691897193
5,10,6,0.57735026919
5,11,10,0.5773502691897193
5,12,2,0.5773502691897193
5,13,7,0.5773502691897193
5,14,11,0.5773502691897193
5,15,3,0.57735026919
5,19,8,0.5773502691897193
5,20,0,0.57735026919
5,21,4,0.5773502691897193
5,22,11,0.5773502691897193
5,23,3,0.57735026919
5,24,7,0.5773502691897193
5,28,8,0.5773502691897193
5,29,0,0.57735026919
5,30,4,0.5773502691897193
5,31,3,0.57735026919
5,32,7,0.5773502691897193
5,33,11,0.5773502691897193
5,37,8,0.5773502691897193
5,38,0,0.57735026919
5,39,4,0.5773502691897193
6,1,7,0.5773502691897193
6,2,3,0.57735026919
6,3,11,0.5773502691897193
6,7,11,0.5773502691897193
6,8,7,0.5773502691897193
6,9,3,0.57735026919
6,10,3,0.57735026919
6,11,7,0.5773502691897193
6,12,11,0.5773502691897193
6,13,6,0.57735026919
6,14,2,0.5773502691897193
6,15,10,0.5773502691897193
6,16,1,0.5773502691897193
6,17,9,0.57735026919
6,18,5,0.5773502691897193
