lambda,cycle_index,Z_real,Z_imag,Z_abs,Z_arg_deg,Z_adj_real,Z_adj_imag,Z_adj_abs,Z_adj_arg_deg,delta_counts
0.0,0,-189.0,1.1572912251942474e-13,189.0,179.99999999999997,1.1572912251942474e-13,189.0,189.0,89.99999999999997,"{""0"": 1, ""2"": 2, ""4"": 1, ""6"": 0}"
0.0,1,-5.483356043182276e-13,-597.0,597.0,-90.00000000000006,597.0,-5.483356043182276e-13,597.0,-5.262531973901159e-14,"{""0"": 4, ""2"": 1, ""4"": 1, ""6"": 3}"
0.0,2,-7.210720353379631e-13,-512.0,512.0,-90.00000000000009,512.0,-7.210720353379631e-13,512.0,-8.069215693315125e-14,"{""0"": 4, ""2"": 3, ""4"": 1, ""6"": 3}"
0.0,3,4.62181701998211e-12,2040.0,2040.0,89.99999999999987,4.62181701998211e-12,2040.0,2040.0,89.99999999999987,"{""0"": 8, ""2"": 4, ""4"": 1, ""6"": 4}"
0.0,4,-4.73791353654128e-12,-1984.0,1984.0,-90.00000000000014,4.73791353654128e-12,1984.0,1984.0,89.99999999999987,"{""0"": 8, ""2"": 4, ""4"": 1, ""6"": 6}"
0.2,0,-86.41541429780722,5.291418025840064e-14,86.41541429780722,179.99999999999997,86.41541429780722,-5.291418025840064e-14,86.41541429780722,-3.5083546492674135e-14,"{""0"": 1, ""2"": 2, ""4"": 1, ""6"": 0}"
0.2,1,-9.696252623781516e-14,-105.56788161868276,105.56788161868276,-90.00000000000006,105.56788161868276,-9.696252623781516e-14,105.56788161868276,-5.26253197390117e-14,"{""0"": 4, ""2"": 1, ""4"": 1, ""6"": 3}"
0.2,2,-8.317769083103673e-14,-59.06064251338007,59.06064251338007,-90.00000000000009,59.06064251338007,-8.317769083103673e-14,59.06064251338007,-8.069215693315126e-14,"{""0"": 4, ""2"": 3, ""4"": 1, ""6"": 3}"
0.2,3,1.595067496347667e-13,70.40386234420498,70.40386234420498,89.99999999999987,1.595067496347667e-13,70.40386234420498,70.40386234420498,89.99999999999987,"{""0"": 8, ""2"": 4, ""4"": 1, ""6"": 4}"
0.2,4,-1.0949131598686088e-13,-45.849458678917294,45.849458678917294,-90.00000000000014,1.0949131598686088e-13,45.849458678917294,45.849458678917294,89.99999999999987,"{""0"": 8, ""2"": 4, ""4"": 1, ""6"": 6}"
0.5,0,-26.895291685397126,1.6468616437327927e-14,26.895291685397126,179.99999999999997,1.6468616437327927e-14,26.895291685397126,26.895291685397126,89.99999999999997,"{""0"": 1, ""2"": 2, ""4"": 1, ""6"": 0}"
0.5,1,-7.505949519470262e-15,-8.172097211698048,8.172097211698048,-90.00000000000006,7.505949519470262e-15,8.172097211698048,8.172097211698048,89.99999999999994,"{""0"": 4, ""2"": 1, ""4"": 1, ""6"": 3}"
0.5,2,-3.4257181165386782e-15,-2.4324444572943773,2.4324444572943773,-90.00000000000009,3.4257181165386782e-15,2.4324444572943773,2.4324444572943773,89.99999999999993,"{""0"": 4, ""2"": 3, ""4"": 1, ""6"": 3}"
0.5,3,1.061456728177969e-15,0.4685109159711902,0.4685109159711902,89.99999999999987,1.061456728177969e-15,0.4685109159711902,0.4685109159711902,89.99999999999987,"{""0"": 8, ""2"": 4, ""4"": 1, ""6"": 4}"
0.5,4,-4.1110239892750236e-16,-0.17214901732199633,0.17214901732199633,-90.00000000000014,-4.1110239892750236e-16,-0.17214901732199633,0.17214901732199633,-90.00000000000014,"{""0"": 8, ""2"": 4, ""4"": 1, ""6"": 6}"
1.0,0,-3.9337271921577144,2.408713207297419e-15,3.9337271921577144,179.99999999999997,2.408713207297419e-15,3.9337271921577144,3.9337271921577144,89.99999999999997,"{""0"": 1, ""2"": 2, ""4"": 1, ""6"": 0}"
1.0,1,-1.2207457408075212e-16,-0.1329086058834766,0.1329086058834766,-90.00000000000006,1.2207457408075212e-16,0.1329086058834766,0.1329086058834766,89.99999999999994,"{""0"": 4, ""2"": 1, ""4"": 1, ""6"": 3}"
1.0,2,-2.16304362489928e-17,-0.015358775291145023,0.015358775291145023,-90.00000000000009,2.16304362489928e-17,0.015358775291145023,0.015358775291145023,89.99999999999993,"{""0"": 4, ""2"": 3, ""4"": 1, ""6"": 3}"
1.0,3,3.013586175524769e-19,0.00013301512741615036,0.00013301512741615036,89.99999999999987,3.013586175524769e-19,0.00013301512741615036,0.00013301512741615036,89.99999999999987,"{""0"": 8, ""2"": 4, ""4"": 1, ""6"": 4}"
1.0,4,-5.76653964167419e-20,-2.4147369007146333e-05,2.4147369007146333e-05,-90.00000000000014,-5.76653964167419e-20,-2.4147369007146333e-05,2.4147369007146333e-05,-90.00000000000014,"{""0"": 8, ""2"": 4, ""4"": 1, ""6"": 6}"
