mapping,variant,word_len,match
W33_N12_58_2T_holonomy_sweep_bundle_20260112 (1).zip::best_w33_to_n12_mapping.csv,base,0,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112 (1).zip::best_w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112 (1).zip::best_w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112 (1).zip::best_w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112 (1).zip::best_w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112 (1).zip::best_w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip::best_w33_to_n12_mapping.csv,base,0,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip::best_w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip::best_w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip::best_w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip::best_w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_2T_holonomy_sweep_bundle_20260112.zip::best_w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_alignment_v4_holonomy_cover12_20260112.zip::best_w33_to_n12_mapping.csv,base,0,True
W33_N12_58_alignment_v4_holonomy_cover12_20260112.zip::best_w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_alignment_v4_holonomy_cover12_20260112.zip::best_w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_alignment_v4_holonomy_cover12_20260112.zip::best_w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_alignment_v4_holonomy_cover12_20260112.zip::best_w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_alignment_v4_holonomy_cover12_20260112.zip::best_w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_loop_optimizer_bundle_20260112.zip::W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,base,0,True
W33_N12_58_loop_optimizer_bundle_20260112.zip::W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_loop_optimizer_bundle_20260112.zip::W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_loop_optimizer_bundle_20260112.zip::W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_loop_optimizer_bundle_20260112.zip::W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_loop_optimizer_bundle_20260112.zip::W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::cover306_total30/w33_to_n12_mapping.csv,base,0,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::cover306_total30/w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::cover306_total30/w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::cover306_total30/w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::cover306_total30/w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::cover306_total30/w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::loopopt_296_cover12_total28/w33_to_n12_mapping.csv,base,0,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::loopopt_296_cover12_total28/w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::loopopt_296_cover12_total28/w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::loopopt_296_cover12_total28/w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::loopopt_296_cover12_total28/w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::loopopt_296_cover12_total28/w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::v4_cover307_total31/w33_to_n12_mapping.csv,base,0,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::v4_cover307_total31/w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::v4_cover307_total31/w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::v4_cover307_total31/w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::v4_cover307_total31/w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_pareto_frontier_bundle_20260112.zip::v4_cover307_total31/w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_phase_aware_bundle_v1_20260112.zip::w33_to_n12_mapping.csv,base,0,True
W33_N12_58_phase_aware_bundle_v1_20260112.zip::w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_phase_aware_bundle_v1_20260112.zip::w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_phase_aware_bundle_v1_20260112.zip::w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_phase_aware_bundle_v1_20260112.zip::w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_phase_aware_bundle_v1_20260112.zip::w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_phase_aware_bundle_v2_20260112.zip::W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,base,0,True
W33_N12_58_phase_aware_bundle_v2_20260112.zip::W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_phase_aware_bundle_v2_20260112.zip::W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_phase_aware_bundle_v2_20260112.zip::W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_phase_aware_bundle_v2_20260112.zip::W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_phase_aware_bundle_v2_20260112.zip::W33_N12_58_phase_aware_loop_v2/w33_to_n12_mapping.csv,aut5,30,True
W33_N12_58_phase_aware_bundle_v3_20260112.zip::W33_N12_58_phase_aware_loop_v3/w33_to_n12_mapping.csv,base,0,True
W33_N12_58_phase_aware_bundle_v3_20260112.zip::W33_N12_58_phase_aware_loop_v3/w33_to_n12_mapping.csv,aut1,30,True
W33_N12_58_phase_aware_bundle_v3_20260112.zip::W33_N12_58_phase_aware_loop_v3/w33_to_n12_mapping.csv,aut2,30,True
W33_N12_58_phase_aware_bundle_v3_20260112.zip::W33_N12_58_phase_aware_loop_v3/w33_to_n12_mapping.csv,aut3,30,True
W33_N12_58_phase_aware_bundle_v3_20260112.zip::W33_N12_58_phase_aware_loop_v3/w33_to_n12_mapping.csv,aut4,30,True
W33_N12_58_phase_aware_bundle_v3_20260112.zip::W33_N12_58_phase_aware_loop_v3/w33_to_n12_mapping.csv,aut5,30,True
