solver,cycle_index,step,u,v,delta,rem_idx,add_idx,remp,addp,support,triad_index,triad,center_quad,outer_quad,excluded_point,triad_hol_mod12,cover12,cover_size,moved_to_next,move_edge_matching_idx,quad_id,gq42_point,orig_sheet,canonical_sheet,commutator_phase,move_idx_in_baseframe
portlaw_reduced,0,0,12,10,4,0,2,0,4,3 7 10 11,327,19 23 36,12 16 24 38,8 19 23 36,8,3,0,9,1,0,64,41,0,0,-1,0
portlaw_reduced,0,1,10,33,0,0,1,0,0,1 2 3 7,201,8 23 36,12 16 24 38,8 19 23 36,19,9,1,12,0,-1,64,41,0,0,1,-1
portlaw_reduced,0,2,33,15,2,1,0,6,0,1 3 10 11,201,8 23 36,12 16 24 38,8 19 23 36,19,9,1,12,1,1,64,41,0,0,-1,1
portlaw_reduced,0,3,15,12,2,0,2,6,0,1 2 7 10,196,8 19 23,12 16 24 38,8 19 23 36,36,9,0,9,1,2,64,41,0,0,-1,2
portlaw_reduced,1,0,20,40,0,1,2,6,6,0 3 8 9,22,0 34 36,5 14 24 31,0 34 35 36,35,3,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,1,1,40,5,0,2,1,4,4,3 7 8 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,1,2,5,46,6,1,2,0,6,3 6 10 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,1,3,46,36,0,1,0,0,0,4 5 6 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,1,4,36,43,2,0,2,6,0,4 6 7 8,23,0 35 36,5 14 24 31,0 34 35 36,34,9,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,1,5,43,57,0,2,1,6,6,0 4 8 9,22,0 34 36,5 14 24 31,0 34 35 36,35,3,1,12,1,1,7,7,0,0,-1,2
portlaw_reduced,1,6,57,48,6,1,2,2,0,3 6 7 11,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,0,-1,7,7,0,0,1,1
portlaw_reduced,1,7,48,0,6,0,1,0,6,4 5 9 10,358,34 35 36,5 14 24 31,0 34 35 36,0,3,0,9,1,2,7,7,0,0,-1,1
portlaw_reduced,1,8,0,20,4,0,1,0,4,3 7 9 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,0,7,7,0,0,-1,0
portlaw_reduced,2,0,20,38,2,0,2,6,0,1 2 7 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,2,1,38,56,0,1,2,6,6,0 3 8 9,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,0,-1,7,7,0,0,1,1
portlaw_reduced,2,2,56,47,0,1,2,6,6,1 3 8 10,21,0 34 35,5 14 24 31,0 34 35 36,36,9,1,12,1,1,7,7,0,0,-1,2
