hyper_idx,m0,m1,m2,m3,quartet,coeffs_a,support_bits,in_tomotope15,orbit_incidence,orbit_extended_108,orbit_axis_pointwise_54,w33_line_id_if_tomotope
0,0,0,0,1,sec0_m0 sec1_m0 sec2_m0 sec3_m1,"(0, 0, 0, 1)",1,0,0,0,0,
1,0,0,1,0,sec0_m0 sec1_m0 sec2_m1 sec3_m0,"(0, 0, 1, 2)",11,0,0,0,0,
2,0,0,2,2,sec0_m0 sec1_m0 sec2_m2 sec3_m2,"(0, 0, 2, 0)",10,1,1,0,0,18.0
3,0,1,0,0,sec0_m0 sec1_m1 sec2_m0 sec3_m0,"(0, 1, 0, 2)",101,1,1,0,0,15.0
4,0,1,1,2,sec0_m0 sec1_m1 sec2_m1 sec3_m2,"(0, 1, 1, 0)",110,0,0,0,0,
5,0,1,2,1,sec0_m0 sec1_m1 sec2_m2 sec3_m1,"(0, 1, 2, 1)",111,0,0,0,0,
6,0,2,0,2,sec0_m0 sec1_m2 sec2_m0 sec3_m2,"(0, 2, 0, 0)",100,0,0,0,0,
7,0,2,1,1,sec0_m0 sec1_m2 sec2_m1 sec3_m1,"(0, 2, 1, 1)",111,1,1,0,0,3.0
8,0,2,2,0,sec0_m0 sec1_m2 sec2_m2 sec3_m0,"(0, 2, 2, 2)",111,0,0,0,0,
9,1,1,1,1,sec0_m1 sec1_m1 sec2_m1 sec3_m1,"(1, 0, 0, 0)",1000,0,0,0,1,
10,1,1,2,0,sec0_m1 sec1_m1 sec2_m2 sec3_m0,"(1, 0, 1, 1)",1011,0,0,0,1,
11,1,1,0,2,sec0_m1 sec1_m1 sec2_m0 sec3_m2,"(1, 0, 2, 2)",1011,1,1,0,1,16.0
12,1,2,1,0,sec0_m1 sec1_m2 sec2_m1 sec3_m0,"(1, 1, 0, 1)",1101,1,1,0,1,32.0
13,1,2,2,2,sec0_m1 sec1_m2 sec2_m2 sec3_m2,"(1, 1, 1, 2)",1111,0,0,0,1,
14,1,2,0,1,sec0_m1 sec1_m2 sec2_m0 sec3_m1,"(1, 1, 2, 0)",1110,0,0,0,1,
15,1,0,1,2,sec0_m1 sec1_m0 sec2_m1 sec3_m2,"(1, 2, 0, 2)",1101,0,0,0,1,
16,1,0,2,1,sec0_m1 sec1_m0 sec2_m2 sec3_m1,"(1, 2, 1, 0)",1110,1,1,0,1,23.0
17,1,0,0,0,sec0_m1 sec1_m0 sec2_m0 sec3_m0,"(1, 2, 2, 1)",1111,0,0,0,1,
18,2,2,2,1,sec0_m2 sec1_m2 sec2_m2 sec3_m1,"(2, 0, 0, 2)",1001,1,2,1,2,39.0
19,2,2,0,0,sec0_m2 sec1_m2 sec2_m0 sec3_m0,"(2, 0, 1, 0)",1010,1,2,1,2,28.0
20,2,2,1,2,sec0_m2 sec1_m2 sec2_m1 sec3_m2,"(2, 0, 2, 1)",1011,1,3,1,2,30.0
21,2,0,2,0,sec0_m2 sec1_m0 sec2_m2 sec3_m0,"(2, 1, 0, 0)",1100,1,3,1,2,22.0
22,2,0,0,2,sec0_m2 sec1_m0 sec2_m0 sec3_m2,"(2, 1, 1, 1)",1111,1,2,1,2,8.0
23,2,0,1,1,sec0_m2 sec1_m0 sec2_m1 sec3_m1,"(2, 1, 2, 2)",1111,1,2,1,2,17.0
24,2,1,2,2,sec0_m2 sec1_m1 sec2_m2 sec3_m2,"(2, 2, 0, 1)",1101,1,2,1,2,20.0
25,2,1,0,1,sec0_m2 sec1_m1 sec2_m0 sec3_m1,"(2, 2, 1, 2)",1111,1,3,1,2,14.0
26,2,1,1,0,sec0_m2 sec1_m1 sec2_m1 sec3_m0,"(2, 2, 2, 0)",1110,1,2,1,2,6.0
