triangle,triple,missing_sector,missing_class,missing_m
"(3,-4)",sec0_m0 sec2_m1 sec3_m1,1,sec1_m2,2
"(3,-1)",sec1_m1 sec2_m1 sec3_m0,0,sec0_m2,2
"(2,-3)",sec1_m0 sec2_m0 sec3_m2,0,sec0_m2,2
"(3,-2)",sec1_m1 sec2_m0 sec3_m1,0,sec0_m2,2
"(3,-3)",sec0_m0 sec2_m0 sec3_m0,1,sec1_m1,1
"(4,-1)",sec0_m1 sec1_m1 sec3_m2,2,sec2_m0,0
"(2,-4)",sec0_m2 sec1_m0 sec2_m1,3,sec3_m1,1
"(4,-3)",sec0_m0 sec2_m2 sec3_m2,1,sec1_m0,0
"(4,-2)",sec0_m2 sec1_m1 sec2_m2,3,sec3_m2,2
"(1,-3)",sec1_m0 sec2_m2 sec3_m0,0,sec0_m2,2
"(1,-4)",sec0_m1 sec1_m0 sec3_m1,2,sec2_m2,2
"(2,-2)",sec0_m2 sec1_m2 sec2_m0,3,sec3_m0,0
"(2,-1)",sec1_m2 sec2_m1 sec3_m2,0,sec0_m2,2
"(1,-1)",sec0_m1 sec1_m2 sec3_m0,2,sec2_m1,1
"(1,-2)",sec1_m2 sec2_m2 sec3_m1,0,sec0_m2,2
