w33_rainbow_line_id,tomotope_triangle,full_quartet,missing_sector,completion_class,m_tuple,poly_coeffs
3,"(3,-4)",sec0_m0 sec1_m2 sec2_m1 sec3_m1,1,sec1_m2,"(0, 2, 1, 1)","(0, 2, 1, 1)"
6,"(3,-1)",sec0_m2 sec1_m1 sec2_m1 sec3_m0,0,sec0_m2,"(2, 1, 1, 0)","(2, 2, 2, 0)"
8,"(2,-3)",sec0_m2 sec1_m0 sec2_m0 sec3_m2,0,sec0_m2,"(2, 0, 0, 2)","(2, 1, 1, 1)"
14,"(3,-2)",sec0_m2 sec1_m1 sec2_m0 sec3_m1,0,sec0_m2,"(2, 1, 0, 1)","(2, 2, 1, 2)"
15,"(3,-3)",sec0_m0 sec1_m1 sec2_m0 sec3_m0,1,sec1_m1,"(0, 1, 0, 0)","(0, 1, 0, 2)"
16,"(4,-1)",sec0_m1 sec1_m1 sec2_m0 sec3_m2,2,sec2_m0,"(1, 1, 0, 2)","(1, 0, 2, 2)"
17,"(2,-4)",sec0_m2 sec1_m0 sec2_m1 sec3_m1,3,sec3_m1,"(2, 0, 1, 1)","(2, 1, 2, 2)"
18,"(4,-3)",sec0_m0 sec1_m0 sec2_m2 sec3_m2,1,sec1_m0,"(0, 0, 2, 2)","(0, 0, 2, 0)"
20,"(4,-2)",sec0_m2 sec1_m1 sec2_m2 sec3_m2,3,sec3_m2,"(2, 1, 2, 2)","(2, 2, 0, 1)"
22,"(1,-3)",sec0_m2 sec1_m0 sec2_m2 sec3_m0,0,sec0_m2,"(2, 0, 2, 0)","(2, 1, 0, 0)"
23,"(1,-4)",sec0_m1 sec1_m0 sec2_m2 sec3_m1,2,sec2_m2,"(1, 0, 2, 1)","(1, 2, 1, 0)"
28,"(2,-2)",sec0_m2 sec1_m2 sec2_m0 sec3_m0,3,sec3_m0,"(2, 2, 0, 0)","(2, 0, 1, 0)"
30,"(2,-1)",sec0_m2 sec1_m2 sec2_m1 sec3_m2,0,sec0_m2,"(2, 2, 1, 2)","(2, 0, 2, 1)"
32,"(1,-1)",sec0_m1 sec1_m2 sec2_m1 sec3_m0,2,sec2_m1,"(1, 2, 1, 0)","(1, 1, 0, 1)"
39,"(1,-2)",sec0_m2 sec1_m2 sec2_m2 sec3_m1,0,sec0_m2,"(2, 2, 2, 1)","(2, 0, 0, 2)"
