m,lambda,top_sym,top_anti,gap_sym_minus_anti
0,0.0,4.802493312043019,4.802493312043019,0.0
0,0.25,5.552493312043019,4.552493312043019,1.0
0,0.5,6.302493312043019,4.302493312043019,2.0
0,1.0,7.802493312043019,3.802493312043019,4.0
0,2.0,10.802493312043019,2.802493312043019,8.0
1,0.0,4.7705312559774224,4.7705312559774224,0.0
1,0.25,5.5205312559774224,4.5205312559774224,1.0
1,0.5,6.2705312559774224,4.2705312559774224,2.0
1,1.0,7.7705312559774224,3.7705312559774224,4.0
1,2.0,10.770531255977422,2.7705312559774224,8.0
2,0.0,4.704072668327491,4.704072668327491,0.0
2,0.25,5.454072668327491,4.454072668327491,1.0
2,0.5,6.204072668327491,4.204072668327491,2.0
2,1.0,7.704072668327491,3.704072668327491,4.0
2,2.0,10.704072668327491,2.704072668327491,8.0
3,0.0,4.669576639044021,4.669576639044021,0.0
3,0.25,5.419576639044021,4.419576639044021,1.0
3,0.5,6.169576639044021,4.169576639044021,2.0
3,1.0,7.669576639044021,3.6695766390440214,4.0
3,2.0,10.66957663904402,2.6695766390440214,8.0
4,0.0,4.704072668327499,4.704072668327499,0.0
4,0.25,5.454072668327499,4.454072668327499,1.0
4,0.5,6.204072668327499,4.204072668327499,2.0
4,1.0,7.704072668327499,3.704072668327499,4.0
4,2.0,10.704072668327498,2.704072668327499,8.0
5,0.0,4.7705312559774224,4.7705312559774224,0.0
5,0.25,5.5205312559774224,4.5205312559774224,1.0
5,0.5,6.2705312559774224,4.2705312559774224,2.0
5,1.0,7.7705312559774224,3.7705312559774224,4.0
5,2.0,10.770531255977422,2.7705312559774224,8.0
