u,v,kind,intersection_pair_rank,edge_share_rank
1,14,E4,0,4
1,15,E4,3,4
2,14,E4,3,4
2,15,E4,0,4
4,15,E4,3,4
5,14,E4,3,4
6,15,E4,0,4
7,15,E4,3,4
8,14,E4,3,4
8,15,E4,0,4
9,14,E4,3,4
10,14,E4,0,4
12,14,E4,0,4
13,15,E4,3,4
1,2,R6,6,8
1,4,R6,6,8
1,8,R6,6,8
1,10,R6,6,8
1,12,R6,6,8
2,3,R6,6,12
2,6,R6,6,8
2,9,R6,6,8
2,12,R6,6,12
3,4,R6,6,8
3,5,R6,6,12
3,6,R6,6,12
3,7,R6,6,12
3,8,R6,6,6
3,9,R6,6,8
3,11,R6,6,6
4,5,R6,6,12
4,7,R6,6,8
4,9,R6,6,8
4,10,R6,6,12
4,11,R6,6,8
4,12,R6,6,12
5,6,R6,6,12
5,8,R6,6,12
5,9,R6,6,8
5,10,R6,6,12
6,7,R6,6,12
6,9,R6,6,12
6,11,R6,6,12
7,8,R6,6,12
7,9,R6,6,12
7,10,R6,6,12
8,9,R6,6,12
8,11,R6,6,0
8,12,R6,6,12
9,11,R6,6,8
10,11,R6,6,12
10,12,R6,6,6
