orbit_id,orbit_size,is_size4,is_isolated_in_rank6,degree_combined,neighbors_combined
0,12,False,True,0,
1,12,False,False,7,2 4 8 10 12 14 15
2,12,False,False,7,1 3 6 9 12 14 15
3,12,False,False,8,2 4 5 6 7 8 9 11
4,12,False,False,9,1 3 5 7 9 10 11 12 15
5,12,False,False,7,3 4 6 8 9 10 14
6,12,False,False,7,2 3 5 7 9 11 15
7,12,False,False,7,3 4 6 8 9 10 15
8,12,False,False,9,1 3 5 7 9 11 12 14 15
9,12,False,False,9,2 3 4 5 6 7 8 11 14
10,12,False,False,7,1 4 5 7 11 12 14
11,12,False,False,6,3 4 6 8 9 10
12,12,False,False,6,1 2 4 8 10 14
13,12,False,True,1,15
14,4,True,True,7,1 2 5 8 9 10 12
15,4,True,True,7,1 2 4 6 7 8 13
