threshold,u,v,weight
64,0,1,72
64,0,3,66
64,0,4,70
64,0,5,80
64,0,7,64
64,0,9,66
64,0,10,76
64,0,11,80
64,0,12,72
64,0,13,82
64,1,3,66
64,1,4,74
64,1,5,80
64,1,6,66
64,1,7,68
64,1,8,64
64,1,9,66
64,1,10,74
64,1,11,80
64,1,12,72
64,1,13,72
64,2,3,64
64,2,6,70
64,2,8,68
64,2,9,64
64,2,10,82
64,3,4,66
64,3,5,68
64,3,10,66
64,3,11,68
64,3,12,66
64,3,13,66
64,4,5,64
64,4,6,66
64,4,7,68
64,4,8,68
64,4,9,66
64,4,10,70
64,4,11,64
64,4,12,74
64,4,13,70
64,5,9,68
64,5,12,80
64,5,13,80
64,6,10,64
64,6,12,66
64,7,8,68
64,7,10,68
64,7,12,68
64,7,13,64
64,8,12,64
64,9,10,66
64,9,11,68
64,9,12,66
64,9,13,66
64,10,12,74
64,10,13,76
64,11,12,80
64,11,13,80
64,12,13,72
