lambda,mu,top40_defect_localized_count,top1,top1_branch,top1_m,top1_defect_mass
0.0,-2.0,0,4.665936694986883,sym,0,0.03218222015638033
0.0,-1.0,0,4.7100246772870875,sym,0,0.0601994646311257
0.0,-0.5,4,4.746644609844654,sym,0,0.08885803776818751
0.0,0.0,8,4.802493312043023,sym,0,0.13947059371059545
0.0,0.5,14,4.892777934815009,sym,0,0.230131746329314
0.0,0.75,18,4.9582721225849244,sym,0,0.29624241738850693
0.0,1.0,22,5.042005436618697,sym,0,0.37546647121636967
0.0,1.5,30,5.272904603395992,sym,0,0.5472264917741848
0.0,2.0,38,5.583573483433786,sym,0,0.6871105831013664
0.05,-2.0,0,4.815936694986883,sym,0,0.03218222015638033
0.05,-1.0,0,4.860024677287088,sym,0,0.0601994646311257
0.05,-0.5,4,4.896644609844654,sym,0,0.08885803776818751
0.05,0.0,9,4.952493312043023,sym,0,0.13947059371059545
0.05,0.5,14,5.0427779348150095,sym,0,0.230131746329314
0.05,0.75,18,5.108272122584925,sym,0,0.29624241738850693
0.05,1.0,22,5.192005436618698,sym,0,0.37546647121636967
0.05,1.5,30,5.422904603395993,sym,0,0.5472264917741848
0.05,2.0,36,5.733573483433786,sym,0,0.6871105831013664
0.1,-2.0,0,4.965936694986882,sym,0,0.03218222015638033
0.1,-1.0,0,5.010024677287087,sym,0,0.0601994646311257
0.1,-0.5,5,5.046644609844654,sym,0,0.08885803776818751
0.1,0.0,9,5.1024933120430225,sym,0,0.13947059371059545
0.1,0.5,14,5.192777934815009,sym,0,0.230131746329314
0.1,0.75,18,5.258272122584924,sym,0,0.29624241738850693
0.1,1.0,22,5.342005436618697,sym,0,0.37546647121636967
0.1,1.5,30,5.572904603395992,sym,0,0.5472264917741848
0.1,2.0,34,5.883573483433786,sym,0,0.6871105831013664
0.25,-2.0,0,5.415936694986883,sym,0,0.03218222015638033
0.25,-1.0,0,5.4600246772870875,sym,0,0.0601994646311257
0.25,-0.5,5,5.496644609844654,sym,0,0.08885803776818751
0.25,0.0,7,5.552493312043023,sym,0,0.13947059371059545
0.25,0.5,8,5.642777934815009,sym,0,0.230131746329314
0.25,0.75,16,5.7082721225849244,sym,0,0.29624241738850693
0.25,1.0,20,5.792005436618697,sym,0,0.37546647121636967
0.25,1.5,31,6.022904603395992,sym,0,0.5472264917741848
0.25,2.0,34,6.333573483433786,sym,0,0.6871105831013664
0.5,-2.0,0,6.165936694986883,sym,0,0.03218222015638033
0.5,-1.0,0,6.2100246772870875,sym,0,0.0601994646311257
0.5,-0.5,5,6.246644609844654,sym,0,0.08885803776818751
0.5,0.0,7,6.302493312043023,sym,0,0.13947059371059545
0.5,0.5,8,6.392777934815009,sym,0,0.230131746329314
0.5,0.75,12,6.4582721225849244,sym,0,0.29624241738850693
0.5,1.0,15,6.542005436618697,sym,0,0.37546647121636967
0.5,1.5,30,6.772904603395992,sym,0,0.5472264917741848
0.5,2.0,33,7.083573483433786,sym,0,0.6871105831013664
1.0,-2.0,0,7.665936694986883,sym,0,0.03218222015638033
1.0,-1.0,0,7.7100246772870875,sym,0,0.0601994646311257
1.0,-0.5,5,7.746644609844654,sym,0,0.08885803776818751
1.0,0.0,7,7.802493312043023,sym,0,0.13947059371059545
1.0,0.5,7,7.892777934815009,sym,0,0.230131746329314
1.0,0.75,9,7.9582721225849244,sym,0,0.29624241738850693
1.0,1.0,15,8.042005436618698,sym,0,0.37546647121636967
1.0,1.5,28,8.272904603395993,sym,0,0.5472264917741848
1.0,2.0,33,8.583573483433785,sym,0,0.6871105831013664
2.0,-2.0,0,10.665936694986883,sym,0,0.03218222015638033
2.0,-1.0,0,10.710024677287088,sym,0,0.0601994646311257
2.0,-0.5,5,10.746644609844655,sym,0,0.08885803776818751
2.0,0.0,7,10.802493312043023,sym,0,0.13947059371059545
2.0,0.5,7,10.892777934815008,sym,0,0.230131746329314
2.0,0.75,9,10.958272122584924,sym,0,0.29624241738850693
2.0,1.0,15,11.042005436618698,sym,0,0.37546647121636967
2.0,1.5,28,11.272904603395993,sym,0,0.5472264917741848
2.0,2.0,33,11.583573483433785,sym,0,0.6871105831013664
