potential,mu,m,top1,top_defect_mass_in_topK,avg_defect_mass_in_topK,top_ipr_in_topK,avg_ipr_in_topK,top_O6_mass_in_topK,top_O12_mass_in_topK
V_O12_4,-2.0,0,4.683581992573157,0.1680930205862653,0.0776171357970175,0.05684989429248474,0.045265943152965525,0.16006552698097606,0.047959921838136174
V_O12_4,-2.0,1,4.6703578915180195,0.16412713941298915,0.07966800160784672,0.053585031198817766,0.039711868663364375,0.1463135135109439,0.044779981231907594
V_O12_4,-2.0,2,4.6439731203368435,0.29266502252573173,0.0826759479731458,0.056297874967197604,0.04147097230477717,0.28237126421694747,0.04990838920918955
V_O12_4,-2.0,3,4.6308301615208185,0.36596856520845,0.08322218087645823,0.06084362705216498,0.04464014424355948,0.3492257297872165,0.06540033146505321
V_O12_4,-2.0,4,4.643973120336844,0.29266502252573184,0.08267594797314574,0.056297874967197716,0.04147097230477719,0.2823712642169475,0.0499083892091903
V_O12_4,-2.0,5,4.6703578915180195,0.16412713941298915,0.07966800160784672,0.053585031198817766,0.039711868663364375,0.1463135135109439,0.044779981231907594
V_O12_4,-1.975,0,4.684359164149549,0.16935259051337873,0.07791282094772158,0.056935932693239835,0.04521748361659109,0.15997140835192322,0.04849807105885775
V_O12_4,-1.975,1,4.671020162482372,0.16551844623764939,0.07998185485867206,0.053651890002971735,0.03971291464119653,0.14675318021408904,0.04534382880632326
V_O12_4,-1.975,2,4.644402865293092,0.2931318535668522,0.08299660134116406,0.05627100631269434,0.041450239160412274,0.2825758368733804,0.050572982371268935
V_O12_4,-1.975,3,4.631142673099671,0.36597166616621185,0.08352732567017741,0.060915143607013195,0.04465147543535361,0.34889782682070636,0.06634380624330088
V_O12_4,-1.975,4,4.644402865293092,0.29313185356685234,0.08299660134116413,0.05627100631269424,0.04145023916041227,0.2825758368733804,0.050572982371269296
V_O12_4,-1.975,5,4.671020162482372,0.16551844623764939,0.07998185485867206,0.053651890002971735,0.03971291464119653,0.14675318021408904,0.04534382880632326
V_O12_4,-1.95,0,4.685146087949886,0.1706302873617896,0.07821245548775972,0.05702201938179059,0.04516668120476616,0.15987252395213739,0.049031310730785
V_O12_4,-1.95,1,4.671690509496527,0.16693532280987233,0.08030005631171021,0.05371848607581526,0.03971732406217858,0.14719832436700078,0.0459062852542183
V_O12_4,-1.95,2,4.644837190245567,0.29358739073196166,0.08332205877630343,0.05624156051124649,0.04142871639876222,0.282761606724881,0.05123062711670784
V_O12_4,-1.95,3,4.631457954613272,0.36593963871266716,0.08383731687699698,0.06098773877315958,0.04466334198903771,0.34853075224369096,0.06729511903868295
V_O12_4,-1.95,4,4.644837190245569,0.2935873907319616,0.08332205877630353,0.05624156051124664,0.041428716398762215,0.28276160672488104,0.05123062711670845
V_O12_4,-1.95,5,4.671690509496527,0.16693532280987233,0.08030005631171021,0.05371848607581526,0.03971732406217858,0.14719832436700078,0.0459062852542183
V_O12_4,-1.925,0,4.685942942776056,0.17192583381278329,0.0785160677691747,0.05710815108124106,0.045113380324297174,0.15976859089695286,0.04955887192830326
V_O12_4,-1.925,1,4.672369079382179,0.16837787273000449,0.08062264256443595,0.053784803511417706,0.039724724758286374,0.14764900086624316,0.04646666237055194
V_O12_4,-1.925,2,4.6452761714975335,0.2940308506352427,0.08365238044172478,0.056209382306353035,0.041406414192536684,0.2829276128885754,0.05187996798670204
V_O12_4,-1.925,3,4.631776044057609,0.3658709534804276,0.08415223205836588,0.06106139626532506,0.04467576082576543,0.3481231958908212,0.06825369346186319
V_O12_4,-1.925,4,4.6452761714975335,0.29403085063524187,0.0836523804417249,0.05620938230635316,0.04140641419253669,0.2829276128885744,0.05187996798670261
V_O12_4,-1.925,5,4.672369079382179,0.16837787273000449,0.08062264256443595,0.053784803511417706,0.039724724758286374,0.14764900086624316,0.04646666237055194
V_O12_4,-1.9,0,4.686749911650691,0.17323888954037173,0.0788236843239027,0.057194324522538253,0.045057409364295024,0.15965930332421266,0.05007995841845001
V_O12_4,-1.9,1,4.673056022461299,0.16984615089058616,0.08094964855127057,0.05385082605898959,0.03973461472641245,0.1481052616215414,0.04702423624178513
V_O12_4,-1.9,2,4.6457198871026195,0.2944614180067487,0.08398762565909008,0.05617430877783457,0.041383343533381224,0.2830728639012781,0.05251955126396396
V_O12_4,-1.9,3,4.63209698015153,0.36576404029578596,0.08447214889070402,0.061136095310760134,0.04468874744673593,0.34767383259191625,0.06921889928235245
V_O12_4,-1.9,4,4.645719887102625,0.2944614180067484,0.08398762565909013,0.056174308777834636,0.04138334353338124,0.28307286390127784,0.052519551263964646
V_O12_4,-1.9,5,4.673056022461299,0.16984615089058616,0.08094964855127057,0.05385082605898959,0.03973461472641245,0.1481052616215414,0.04702423624178513
V_O12_4,-1.875,0,4.687567181936194,0.17456904608437418,0.0791353297505447,0.0572805364429126,0.04499857913054273,0.15954433004765708,0.050593747785363866
V_O12_4,-1.875,1,4.6737514926577575,0.17134015813869627,0.08128110743428209,0.05391653711112926,0.03974638195541868,0.1485671550873128,0.04757824730927928
V_O12_4,-1.875,2,4.646168416916217,0.29487824514068883,0.08432785279864313,0.056136169154964846,0.04135951621277192,0.2831963378418005,0.053147819869303614
V_O12_4,-1.875,3,4.63242080235476,0.365617288835052,0.08479714507924829,0.06121181016543534,0.04470231546337446,0.34718132427517134,0.07019004990084535
V_O12_4,-1.875,4,4.646168416916216,0.29487824514068806,0.08432785279864308,0.056136169154964895,0.04135951621277191,0.28319633784179965,0.05314781986930321
V_O12_4,-1.875,5,4.6737514926577575,0.17134015813869627,0.08128110743428209,0.05391653711112926,0.03974638195541868,0.1485671550873128,0.04757824730927928
V_O12_4,-1.85,0,4.688394945457608,0.17591582148622384,0.07945102660167012,0.05736678358417622,0.04493668136337418,0.15942331192535342,0.05109939279989448
V_O12_4,-1.85,1,4.674455647602366,0.1728598355783033,0.08161705049419543,0.05398191969151877,0.0397593329587096,0.14903472574260607,0.04812790064892934
V_O12_4,-1.85,2,4.646621842648603,0.2952804514120091,0.08467311916655418,0.056094784655559525,0.0413349447758631,0.28329698258563996,0.053763108260679024
V_O12_4,-1.85,3,4.632747550886529,0.3654290494907011,0.08512729826779536,0.06128850958887061,0.04471647605326481,0.34664432228993447,0.0711663998360256
V_O12_4,-1.85,4,4.6466218426485995,0.2952804514120086,0.08467311916655428,0.05609478465555945,0.04133494477586309,0.2832969825856393,0.05376310826067926
V_O12_4,-1.85,5,4.674455647602366,0.1728598355783033,0.08161705049419543,0.05398191969151877,0.0397593329587096,0.14903472574260607,0.04812790064892934
V_O12_4,-1.825,0,4.689233398629343,0.1772786546953481,0.07977079527232525,0.05745306269087713,0.04487148748730118,0.15929585890332212,0.05159602304885585
V_O12_4,-1.825,1,4.675168648741462,0.17440505850590957,0.08195750702229732,0.05404695644203528,0.03977272722486596,0.14950801351390705,0.04867236648973375
V_O12_4,-1.825,2,4.6470802479200195,0.29566712287137586,0.08502348088990085,0.056049968356741774,0.0413096424396839,0.28337371620537033,0.05436363740705505
V_O12_4,-1.825,3,4.633077266744698,0.3651976344662473,0.0854626859445116,0.06136615627519251,0.044731237334582154,0.3460614699584978,0.07214714224449247
V_O12_4,-1.825,4,4.647080247920021,0.295667122871376,0.08502348088990087,0.05604996835674178,0.04130964243968388,0.28337371620537016,0.05436363740705473
V_O12_4,-1.825,5,4.675168648741462,0.17440505850590957,0.08195750702229732,0.05404695644203528,0.03977272722486596,0.14950801351390705,0.04867236648973375
V_O12_4,-1.8,0,4.690082742586013,0.17865689975725246,0.08009465389047235,0.05753937050829423,0.04480274781768098,0.15916154668841984,0.05208274683742729
V_O12_4,-1.8,1,4.675890661449181,0.17597562997542837,0.08230250421387376,0.05411162960926081,0.039785814019470726,0.14998705313469335,0.04921078099443098
V_O12_4,-1.8,2,4.647543718317751,0.2960373119293383,0.08537899279970829,0.05600152510374277,0.041283622965332716,0.28342542753057404,0.0549475099299802
V_O12_4,-1.8,3,4.633409991725611,0.3649213191197317,0.08580338534403335,0.06144470623807183,0.044746603651941295,0.3454314053659765,0.07313140649473979
V_O12_4,-1.8,4,4.647543718317753,0.2960373119293377,0.08537899279970824,0.056001525103742775,0.041283622965332674,0.2834254275305734,0.0549475099299796
V_O12_4,-1.8,5,4.675890661449181,0.17597562997542837,0.08230250421387376,0.05411162960926081,0.039785814019470726,0.14998705313469335,0.04921078099443098
V_O12_4,-1.775,0,4.690943183317446,0.18004981979805706,0.08042261821012829,0.05762570378027107,0.04473019155845093,0.1590199129971078,0.05255865337681266
V_O12_4,-1.775,1,4.676621855143503,0.17757127399140465,0.08265206706385303,0.05417592103035598,0.039797867811598116,0.15047187343491772,0.04974224732541605
V_O12_4,-1.775,2,4.648012341455245,0.29639003714110623,0.08573970831253269,0.05594925146375529,0.041256900471838914,0.28345097688163573,0.055512705531107556
V_O12_4,-1.775,3,4.6337457684444825,0.36459834357650767,0.08614947334612783,0.06152410814733952,0.04476257476705919,0.34475276439669517,0.07411825581851432
V_O12_4,-1.775,4,4.648012341455248,0.2963900371411057,0.08573970831253265,0.05594925146375541,0.041256900471838914,0.28345097688163534,0.055512705531108084
V_O12_4,-1.775,5,4.676621855143503,0.17757127399140465,0.08265206706385303,0.05417592103035598,0.039797867811598116,0.15047187343491772,0.04974224732541605
V_O12_4,-1.75,0,4.69181493180804,0.18145658082430294,0.08075470150801878,0.0577120592468743,0.04465352807588061,0.15887045331831165,0.053022815267529555
V_O12_4,-1.75,1,4.677362403406298,0.17919162833341834,0.08300621826537383,0.05423981211827215,0.03980821905988247,0.15096249655288224,0.050988647779397704
V_O12_4,-1.75,2,4.648486207033396,0.2967242831040962,0.08610567931112456,0.05589293573252809,0.04122948917715966,0.2834491969921685,0.05605707685436275
V_O12_4,-1.75,3,4.634084640356539,0.3642269146328838,0.08650102637124905,0.06160430261531677,0.04477914494852036,0.34402418402484636,0.07510668506540381
V_O12_4,-1.75,4,4.648486207033393,0.2967242831040959,0.08610567931112456,0.05589293573252812,0.041229489177159635,0.2834491969921682,0.056057076854363105
V_O12_4,-1.75,5,4.677362403406298,0.17919162833341834,0.08300621826537383,0.05423981211827215,0.03980821905988247,0.15096249655288224,0.050988647779397704
V_O12_4,-1.725,0,4.692698204180588,0.18287624536116825,0.08109091448460327,0.05779843364187066,0.0445724501386719,0.1587126161184082,0.05347429128656948
V_O12_4,-1.725,1,4.6781124841074435,0.18083623701883716,0.08336497811203186,0.05430328384627029,0.039816278025866035,0.15145893706111188,0.05314631632781376
V_O12_4,-1.725,2,4.64896540690411,0.29703900048094056,0.08647695602476858,0.0558323580020474,0.04120140304937848,0.28341889413506904,0.056578345968237895
V_O12_4,-1.725,3,4.6344266517787736,0.36380520797292937,0.0868581202733773,0.06168522143120245,0.04479630195633713,0.34324430586632754,0.07609561858912199
V_O12_4,-1.725,4,4.648965406904112,0.2970390004809397,0.0864769560247685,0.0558323580020473,0.04120140304937845,0.2834188941350684,0.056578345968238464
V_O12_4,-1.725,5,4.6781124841074435,0.18083623701883716,0.08336497811203186,0.05430328384627029,0.039816278025866035,0.15145893706111188,0.05314631632781376
V_O12_4,-1.7,0,4.693593221844785,0.18430776595699022,0.08143126517035972,0.057884823690011654,0.04448664008720907,0.15854579740459432,0.05391212948411991
V_O12_4,-1.7,1,4.678872279533212,0.18250454241593364,0.08372836440459708,0.05436631673171511,0.03982155044428686,0.1519612009969815,0.05528455283230467
V_O12_4,-1.7,2,4.649450035136189,0.2973331061613055,0.08685358690995731,0.05576729029829862,0.04117265534864056,0.28335884946743944,0.05707410169732475
V_O12_4,-1.7,3,4.634771847912447,0.3633313707214274,0.08722083023059847,0.061766786742290546,0.04481402591903833,0.34241177999767713,0.07708390829662563
V_O12_4,-1.7,4,4.649450035136187,0.297333106161305,0.08685358690995738,0.05576729029829886,0.04117265534864057,0.28335884946743883,0.05707410169732469
V_O12_4,-1.7,5,4.678872279533212,0.18250454241593364,0.08372836440459708,0.05436631673171511,0.03982155044428686,0.1519612009969815,0.05528455283230467
V_O12_4,-1.675,0,4.694500211650456,0.1857499785870446,0.08177575883824406,0.05797122610411026,0.044395780243913496,0.1583693345489556,0.05433537059254703
V_O12_4,-1.675,1,4.679641976519082,0.1841958770249126,0.08409639236301936,0.054428890819110745,0.03982364501660462,0.15246928478774385,0.05739746074491868
V_O12_4,-1.675,2,4.649940188083671,0.297605483576364,0.08723561853211703,0.05569749679868145,0.0411432580377893,0.2832678206096173,0.05754179808350127
V_O12_4,-1.675,3,4.635120274866376,0.36280352435651847,0.08758923063394815,0.06184891018137938,0.044832288103839074,0.3415252690468485,0.07807033189397487
V_O12_4,-1.675,4,4.649940188083675,0.29760548357636374,0.08723561853211702,0.05569749679868131,0.04114325803778925,0.2832678206096172,0.05754179808350157
V_O12_4,-1.675,5,4.679641976519082,0.1841958770249126,0.08409639236301936,0.054428890819110745,0.03982364501660462,0.15246928478774385,0.05739746074491868
V_O12_4,-1.65,0,4.695419406045833,0.18720159599488895,0.08212439792326055,0.05805763758190841,0.04429956930186112,0.15818249925907607,0.05474305174688546
V_O12_4,-1.65,1,4.680421766587099,0.18590945495059397,0.08446907454457107,0.05449098566234687,0.039822273607680654,0.15298317405859574,0.059480207082983724
V_O12_4,-1.65,2,4.6504359644567534,0.29785498318019504,0.08762309544915942,0.055622734139163826,0.04111322103722489,0.28314454347340906,0.05797875431666938
V_O12_4,-1.65,3,4.6354719796809185,0.3622197680061123,0.08796339497511567,0.061931491940434284,0.04485104958417876,0.34058345255935835,0.07905359136557115
V_O12_4,-1.65,4,4.650435964456753,0.297854983180195,0.08762309544915943,0.05562273413916371,0.041113221037224874,0.2831445434734089,0.05797875431666932
V_O12_4,-1.65,5,4.680421766587099,0.18590945495059397,0.08446907454457107,0.05449098566234687,0.039822273607680654,0.15298317405859574,0.059480207082983724
V_O12_4,-1.625,0,4.696351043240893,0.18866120101524358,0.08247718195009289,0.05814405480271118,0.04419774690591743,0.15798448956165817,0.055741427815580405
V_O12_4,-1.625,1,4.681211846088054,0.18764436309722216,0.08484642076899246,0.054552580306114276,0.03981724561156874,0.1535028423111086,0.061528922503964724
V_O12_4,-1.625,2,4.650937465395353,0.29808042311278804,0.0880160600977003,0.05554275182167594,0.04108255129742585,0.28298773435432145,0.05838215654269477
V_O12_4,-1.625,3,4.635827010352832,0.36157818215234855,0.08834339573367693,0.06201441979150876,0.044870259813702955,0.3395850316417549,0.08003231172619993
V_O12_4,-1.625,4,4.650937465395349,0.29808042311278854,0.08801606009770026,0.05554275182167592,0.04108255129742587,0.28298773435432195,0.058382156542694214
V_O12_4,-1.625,5,4.681211846088054,0.18764436309722216,0.08484642076899246,0.054552580306114276,0.03981724561156874,0.1535028423111086,0.061528922503964724
V_O12_4,-1.6,0,4.697295367376009,0.19012723992811714,0.0828341074697454,0.058230474423783304,0.044090129099056526,0.1577744206426435,0.05705467502021172
V_O12_4,-1.6,1,4.682012416348559,0.18939955212329415,0.0852284380515218,0.05461365326645518,0.03980845819979111,0.1540282494580327,0.06354056451543745
V_O12_4,-1.6,2,4.651444794545472,0.2982805900595151,0.08841455268283667,0.05545729273246959,0.04105125166117802,0.2827960923019992,0.058749062031913074
V_O12_4,-1.6,3,4.636185415860971,0.3608768327686212,0.08872930426460586,0.06209756805702724,0.0448898551217432,0.3385287338828284,0.08100504008798004
V_O12_4,-1.6,4,4.651444794545469,0.2982805900595155,0.08841455268283677,0.05545729273246961,0.04105125166117805,0.28279609230199937,0.05874906203191328
V_O12_4,-1.6,5,4.682012416348559,0.18939955212329415,0.0852284380515218,0.05461365326645518,0.03980845819979111,0.1540282494580327,0.06354056451543745
V_O12_4,-1.575,0,4.698252628696115,0.1915980159000875,0.08319516800613594,0.0583168930764894,0.043976657593839286,0.15755131436032824,0.058397553572779266
V_O12_4,-1.575,1,4.682823683823222,0.1911738272022816,0.08561513054469971,0.054674182510407496,0.039795884131413564,0.1545593401989462,0.06551275839347677
V_O12_4,-1.575,2,4.6519580581384705,0.298454240322101,0.08881861107243418,0.05536609378223882,0.041019319487309226,0.2825683017823152,0.05907640627379812
V_O12_4,-1.575,3,4.636547246192802,0.3601137759135611,0.08912119068688644,0.06218079653292519,0.044909757152599615,0.3374133185511488,0.0819702450869216
V_O12_4,-1.575,4,4.6519580581384705,0.2984542403221006,0.08881861107243416,0.0553660937822387,0.04101931948730919,0.2825683017823147,0.05907640627379781
V_O12_4,-1.575,5,4.682823683823222,0.1911738272022816,0.08561513054469971,0.054674182510407496,0.039795884131413564,0.1545593401989462,0.06551275839347677
V_O12_4,-1.55,0,4.699223083730473,0.19307168257450438,0.08356035401356766,0.0584033073621644,0.043857465662785276,0.15731408721589127,0.05976987079526015
V_O12_4,-1.55,1,4.683645860252235,0.19296583864360767,0.08600649948983768,0.05473414543470531,0.03977955857952293,0.15518479152502576,0.0674436278343652
V_O12_4,-1.55,2,4.652477365073393,0.2986001011160453,0.08922827069692725,0.05526888667858274,0.040986745009203095,0.2823030356434686,0.059361013649706536
V_O12_4,-1.55,3,4.636912552371912,0.35928706280606215,0.0895191237741364,0.06226394936977605,0.04492987127950442,0.3362375820655435,0.0829263167162406
V_O12_4,-1.55,4,4.652477365073396,0.2986001011160451,0.08922827069692728,0.05526888667858278,0.040986745009203095,0.2823030356434685,0.059361013649706806
V_O12_4,-1.55,5,4.683645860252235,0.19296583864360767,0.08600649948983768,0.05473414543470531,0.03977955857952293,0.15518479152502576,0.0674436278343652
V_O12_4,-1.525,0,4.700206995478353,0.19454623787868167,0.08392965284597297,0.05848971384770015,0.043732962357988896,0.1570615365280691,0.06117132940403003
V_O12_4,-1.525,1,4.684479162824382,0.19477407243720232,0.08640254317903552,0.05479351884348726,0.03975956610717924,0.15592371488692414,0.06933162415240313
V_O12_4,-1.525,2,4.653002827002438,0.29871687210925896,0.089643564455686,0.05516539884088787,0.04095350940531625,0.2819989583971033,0.0595996124217682
V_O12_4,-1.525,3,4.637281386486426,0.3583947454048866,0.08992317084822556,0.06234685391898022,0.04495008503398553,0.335000363733043,0.0838715666157983
V_O12_4,-1.525,4,4.6530028270024415,0.2987168721092588,0.0896435644556861,0.05516539884088801,0.04095350940531623,0.2819989583971032,0.05959961242176949
V_O12_4,-1.525,5,4.684479162824382,0.19477407243720232,0.08640254317903552,0.05479351884348726,0.03975956610717924,0.15592371488692414,0.06933162415240313
V_O12_4,-1.5,0,4.701204633600696,0.19601951812211252,0.08430304873878662,0.05857610906082806,0.04360393410284325,0.15679232451416422,0.0626015187801825
V_O12_4,-1.5,1,4.6853238143458364,0.1965968407942973,0.08680325692861475,0.05485227892497233,0.03973602858472119,0.15664689745027474,0.07117535950698156
V_O12_4,-1.5,2,4.653534558419811,0.2988032272162368,0.09006452263104515,0.05505535446681143,0.04091958256623945,0.2816547298237479,0.05978885485533297
V_O12_4,-1.5,3,4.637653801718432,0.3574348825154149,0.09033339767696331,0.06242931955335712,0.04497026660230017,0.333700551746487,0.08480422886894207
V_O12_4,-1.5,4,4.653534558419811,0.2988032272162367,0.0900645226310452,0.05505535446681162,0.04091958256623947,0.2816547298237476,0.05978885485533227
V_O12_4,-1.5,5,4.6853238143458364,0.1965968407942973,0.08680325692861475,0.05485227892497233,0.03973602858472119,0.15664689745027474,0.07117535950698156
V_O12_4,-1.475,0,4.70221627461808,0.19748919246552807,0.0846805228042475,0.05866248948508092,0.04347165765522267,0.1565049599272897,0.06405990605518454
V_O12_4,-1.475,1,4.686180043414905,0.19843227276661707,0.08720863306481619,0.0549104012270548,0.03970909453180251,0.15735226053537424,0.07297344653808976
V_O12_4,-1.475,2,4.654072676753955,0.2988578166615023,0.09049117281112874,0.0549384757582354,0.04088492055456802,0.28126900890989565,0.060139125895605355
V_O12_4,-1.475,3,4.638029852374438,0.35640554644490224,0.09074986837699832,0.06251113647412551,0.0449902634523415,0.3323370894315946,0.08572246135959506
V_O12_4,-1.475,4,4.654072676753959,0.2988578166615023,0.09049117281112877,0.054938475758235315,0.04088492055456797,0.2812690089098952,0.060139125895606
V_O12_4,-1.475,5,4.686180043414905,0.19843227276661707,0.08720863306481619,0.0549104012270548,0.03970909453180251,0.15735226053537424,0.07297344653808976
V_O12_4,-1.45,0,4.703242202115126,0.19895275784646826,0.08506205304087243,0.05874885155441748,0.04333801040529658,0.15619777683835026,0.06554582707063424
V_O12_4,-1.45,1,4.687048084602915,0.20027830503585803,0.08761866092257457,0.05496786063177137,0.039678930119971735,0.15803761421120857,0.07472434406384393
V_O12_4,-1.45,2,4.654617302463511,0.2988792693251358,0.09092353982264302,0.054814484312716905,0.04084946277108457,0.28084045812161956,0.061202137093785726
V_O12_4,-1.45,3,4.638409593916922,0.35530483022584364,0.09117264532316437,0.06259207451922111,0.0450099011664124,0.3309089817306566,0.08662434774352379
V_O12_4,-1.45,4,4.6546173024635165,0.29887926932513514,0.09092353982264294,0.054814484312716884,0.0408494627710845,0.2808404581216189,0.06120213709378566
V_O12_4,-1.45,5,4.687048084602915,0.20027830503585803,0.08761866092257457,0.05496786063177137,0.039678930119971735,0.15803761421120857,0.07472434406384393
V_O12_4,-1.4249999999999998,0,4.7042827069515365,0.20040753445204712,0.08544761435776298,0.058835191647483506,0.04320555316386681,0.155868910079844,0.06705847727956768
V_O12_4,-1.4249999999999998,1,4.687928178641566,0.20213267297489934,0.08803332685814513,0.05502463132858555,0.03964571189447331,0.15870065719092277,0.07642620614595752
V_O12_4,-1.4249999999999998,2,4.65516855913701,0.2988661953821127,0.09136164567482524,0.054683102684068646,0.04081312886461358,0.2803677480168907,0.06227857028959186
V_O12_4,-1.4249999999999998,3,4.638793082997034,0.3541308554249652,0.09160178906557243,0.06267188199125301,0.045028982566757934,0.32941530190732804,0.08750790008827054
V_O12_4,-1.4249999999999998,4,4.65516855913701,0.2988661953821124,0.09136164567482528,0.05468310268406878,0.040813128864613586,0.2803677480168904,0.06227857028959197
V_O12_4,-1.4249999999999998,5,4.687928178641566,0.20213267297489934,0.08803332685814513,0.05502463132858555,0.03964571189447331,0.15870065719092277,0.07642620614595752
V_O12_4,-1.4,0,4.705338087480054,0.2018506618346698,0.08583717861432792,0.05892150608149717,0.043077549127994656,0.15551626678563188,0.06859690266590075
V_O12_4,-1.4,1,4.688820572616887,0.2039929020915675,0.08845261427631022,0.05508068678644276,0.039609621164877755,0.15933897744313047,0.0780767297509629
V_O12_4,-1.4,2,4.655726573596545,0.2988171892457282,0.09180550951576139,0.05454405611266512,0.040775815454257076,0.2798495621956131,0.06336786343649246
V_O12_4,-1.4,3,4.639180377488387,0.35288178055259256,0.09203735825582722,0.06275028452712379,0.04504728723073997,0.32785519845408007,0.0883710622360935
V_O12_4,-1.4,4,4.655726573596543,0.29881718924572787,0.09180550951576143,0.05454405611266501,0.040775815454257035,0.2798495621956125,0.06336786343649276
V_O12_4,-1.4,5,4.688820572616887,0.2039929020915675,0.08845261427631022,0.05508068678644276,0.039609621164877755,0.15933897744313047,0.0780767297509629
V_O12_4,-1.375,0,4.706408649771527,0.20327909577061987,0.08623071467590583,0.05900779110572089,0.04295787563386377,0.15513749336598404,0.07015999076758182
V_O12_4,-1.375,1,4.689725520170137,0.2058562999747388,0.08887650367283469,0.05513599972453477,0.03957083996516509,0.15995005358787784,0.07967299424409174
V_O12_4,-1.375,2,4.65629147600563,0.2987308328237004,0.0922551476022903,0.054397074422363786,0.040737392772008385,0.27928460258288107,0.06446938876092852
V_O12_4,-1.375,3,4.639571536522241,0.3515558100839538,0.09247940958381186,0.06282698403531464,0.045064571499756206,0.32622790218094666,0.08921171394339374
V_O12_4,-1.375,4,4.656291476005627,0.29873083282369933,0.09225514760229032,0.054397074422363544,0.04073739277200836,0.27928460258288,0.06446938876092839
V_O12_4,-1.375,5,4.689725520170137,0.2058562999747388,0.08887650367283469,0.05513599972453477,0.03957083996516509,0.15995005358787784,0.07967299424409174
