chord,cycle_len,par_special_O6,par_generic_O12,Z2_center,delta4_edges_used,par_total
2-17,4,0,0,0,,0
5-47,4,0,0,0,,0
6-32,4,0,0,0,,0
9-50,4,0,0,0,,0
9-54,4,0,0,0,,0
11-50,4,0,0,0,,0
13-23,8,0,0,0,,0
13-52,12,0,0,0,,0
13-27,8,1,0,1,10-12,1
13-38,4,0,0,0,,0
13-15,8,1,0,1,10-12,1
15-29,16,1,0,1,10-12,1
15-33,4,1,0,1,10-12,1
17-55,4,0,0,0,,0
18-21,8,0,0,0,,0
18-32,6,0,0,0,,0
19-22,12,0,1,1,0-20,1
19-24,5,0,1,1,0-20,1
20-38,4,0,1,1,0-20,1
20-40,10,0,1,1,0-20,1
20-27,6,1,1,0,0-20|10-12,0
21-37,11,0,0,0,,0
22-28,4,0,0,0,,0
22-25,4,0,0,0,,0
23-34,6,0,0,0,,0
23-29,12,0,0,0,,0
23-53,12,1,0,1,10-12,1
24-25,9,0,0,0,,0
24-52,11,0,0,0,,0
24-38,3,0,0,0,,0
24-47,11,0,0,0,,0
25-34,8,0,0,0,,0
25-53,14,1,0,1,10-12,1
26-27,4,0,0,0,10-12|26-27,0
26-35,4,0,0,0,,0
26-44,4,0,1,1,0-20,1
27-45,6,1,1,0,10-12|27-45,0
28-42,14,0,1,1,0-20,1
29-52,4,0,0,0,,0
30-55,6,0,0,0,,0
30-41,10,0,1,1,0-20,1
30-56,6,0,0,0,,0
31-48,8,0,0,0,,0
32-56,4,0,0,0,,0
33-35,6,0,0,0,,0
33-51,8,0,0,0,,0
34-50,4,0,0,0,,0
34-54,4,0,0,0,,0
34-38,6,0,0,0,,0
36-46,4,0,0,0,,0
36-43,13,0,0,0,,0
37-51,13,0,0,0,,0
38-56,6,0,0,0,,0
39-53,12,1,0,1,10-12,1
40-41,12,0,1,1,0-20,1
40-56,8,0,0,0,,0
41-47,14,0,1,1,0-20,1
42-58,4,0,0,0,,0
42-44,4,0,0,0,,0
44-45,4,0,1,1,0-20,1
44-49,12,0,1,1,0-20,1
45-57,10,0,0,0,,0
47-56,10,0,0,0,,0
48-54,4,0,0,0,,0
48-57,10,0,0,0,,0
49-58,14,0,1,1,0-20,1
52-53,16,1,0,1,10-12,1
