u,v,delta_sum_mod8,abs_delta,sigma_u,sigma_v,sigma_product,flip_support_4set
0,6,0,0,-1,-1,1,1 2 3 7
0,20,4,4,-1,-1,1,3 7 9 10
0,26,6,2,-1,1,-1,6 9 10 11
0,45,6,2,-1,1,-1,3 6 7 11
0,48,6,2,-1,1,-1,4 5 9 10
1,16,2,2,-1,1,-1,0 1 4 9
1,17,0,0,-1,-1,1,2 3 7 8
1,32,2,2,-1,1,-1,4 5 9 10
1,50,0,0,-1,-1,1,3 4 8 9
1,54,2,2,-1,1,-1,0 1 3 8
2,17,6,2,1,-1,-1,4 5 9 10
2,21,6,2,1,-1,-1,6 9 10 11
2,30,0,0,1,1,1,0 1 9 10
2,32,0,0,1,1,1,2 3 7 8
3,11,0,0,-1,-1,1,2 3 7 10
3,14,2,2,-1,1,-1,6 7 10 11
3,22,2,2,-1,1,-1,0 1 4 8
4,7,0,0,-1,-1,1,4 5 6 10
4,46,6,2,-1,1,-1,1 2 7 8
4,47,2,2,-1,1,-1,3 6 10 11
4,52,0,0,-1,-1,1,0 1 8 9
5,30,2,2,-1,1,-1,1 2 3 10
5,40,0,0,-1,-1,1,3 7 8 10
5,46,6,2,-1,1,-1,3 6 10 11
5,47,2,2,-1,1,-1,1 2 7 8
6,24,6,2,-1,1,-1,1 3 9 10
6,32,6,2,-1,1,-1,0 1 3 8
6,35,6,2,-1,1,-1,6 9 10 11
6,38,6,2,-1,1,-1,1 3 9 10
6,54,6,2,-1,1,-1,4 5 9 10
7,29,0,0,-1,-1,1,0 1 8 9
7,36,6,2,-1,1,-1,1 2 7 8
8,23,2,2,1,-1,-1,0 1 4 8
8,39,0,0,1,1,1,5 6 9 10
8,50,2,2,1,-1,-1,3 6 9 11
9,16,0,0,1,1,1,1 3 4 8
9,31,0,0,1,1,1,1 2 3 7
9,50,6,2,1,-1,-1,0 1 3 9
9,54,0,0,1,1,1,0 4 8 9
10,12,4,4,1,1,1,3 7 10 11
10,26,0,0,1,1,1,4 5 6 9
10,33,0,0,1,1,1,1 2 3 7
