chord,cycle_len,holonomy,order,center_class,num_delta4,num_sigma_minus,edges,delta4_edges_used
2-17,4,e,1,e,0,2,"2-32,32-1,1-17,17-2",
5-47,4,e,1,e,0,4,"5-46,46-4,4-47,47-5",
6-32,4,e,1,e,0,4,"6-54,54-1,1-32,32-6",
9-50,4,e,1,e,0,2,"9-16,16-1,1-50,50-9",
9-54,4,e,1,e,0,2,"9-16,16-1,1-54,54-9",
11-50,4,e,1,e,0,2,"11-39,39-8,8-50,50-11",
13-23,8,e,1,e,0,6,"13-35,35-6,6-54,54-1,1-50,50-8,8-23,23-13",
13-52,12,e,1,e,0,8,"13-35,35-6,6-54,54-1,1-32,32-2,2-30,30-5,5-46,46-4,4-52,52-13",
13-27,8,(0 2 1),6,e*,1,4,"13-35,35-6,6-0,0-26,26-10,10-12,12-27,27-13",10-12
13-38,4,e,1,e,0,4,"13-35,35-6,6-38,38-13",
13-15,8,(0 2 1),6,e*,1,4,"13-35,35-6,6-0,0-26,26-10,10-12,12-15,15-13",10-12
15-29,16,(0 1 2),6,e*,1,8,"15-12,12-10,10-26,26-0,0-6,6-54,54-1,1-32,32-2,2-30,30-5,5-46,46-4,4-7,7-29,29-15",10-12
15-33,4,(0 1 2),6,e*,1,2,"15-12,12-10,10-33,33-15",10-12
17-55,4,e,1,e,0,2,"17-1,1-16,16-55,55-17",
18-21,8,e,1,e,0,6,"18-35,35-6,6-54,54-1,1-32,32-2,2-21,21-18",
18-32,6,e,1,e,0,6,"18-35,35-6,6-54,54-1,1-32,32-18",
19-22,12,(0 1 2),6,e*,1,6,"19-20,20-0,0-6,6-54,54-1,1-50,50-8,8-39,39-11,11-3,3-22,22-19",0-20
19-24,5,(0 1 2),6,e*,1,2,"19-20,20-0,0-6,6-24,24-19",0-20
20-38,4,(0 1 2),6,e*,1,2,"20-0,0-6,6-38,38-20",0-20
20-40,10,(0 1 2),6,e*,1,4,"20-0,0-6,6-54,54-1,1-32,32-2,2-30,30-5,5-40,40-20",0-20
20-27,6,e,1,e,2,2,"20-0,0-26,26-10,10-12,12-27,27-20",0-20|10-12
21-37,11,e,1,e,0,6,"21-2,2-32,32-1,1-50,50-8,8-39,39-11,11-3,3-14,14-37,37-21",
22-28,4,e,1,e,0,4,"22-3,3-14,14-28,28-22",
22-25,4,e,1,e,0,2,"22-3,3-11,11-25,25-22",
23-34,6,e,1,e,0,4,"23-8,8-50,50-1,1-16,16-34,34-23",
23-29,12,e,1,e,0,6,"23-8,8-50,50-1,1-32,32-2,2-30,30-5,5-46,46-4,4-7,7-29,29-23",
23-53,12,(0 2 1),6,e*,1,6,"23-8,8-50,50-1,1-54,54-6,6-0,0-26,26-10,10-12,12-15,15-53,53-23",10-12
24-25,9,e,1,e,0,6,"24-6,6-54,54-1,1-50,50-8,8-39,39-11,11-25,25-24",
24-52,11,e,1,e,0,8,"24-6,6-54,54-1,1-32,32-2,2-30,30-5,5-46,46-4,4-52,52-24",
24-38,3,e,1,e,0,2,"24-6,6-38,38-24",
24-47,11,e,1,e,0,8,"24-6,6-54,54-1,1-32,32-2,2-30,30-5,5-46,46-4,4-47,47-24",
25-34,8,e,1,e,0,4,"25-11,11-39,39-8,8-50,50-1,1-16,16-34,34-25",
25-53,14,(0 2 1),6,e*,1,8,"25-11,11-39,39-8,8-50,50-1,1-54,54-6,6-0,0-26,26-10,10-12,12-15,15-53,53-25",10-12
26-27,4,e,1,e,2,0,"26-10,10-12,12-27,27-26",10-12|26-27
26-35,4,e,1,e,0,2,"26-0,0-6,6-35,35-26",
26-44,4,(0 2 1),6,e*,1,2,"26-0,0-20,20-44,44-26",0-20
27-45,6,e,1,e,2,2,"27-12,12-10,10-26,26-0,0-45,45-27",10-12|27-45
28-42,14,(0 2 1),6,e*,1,8,"28-14,14-3,3-11,11-39,39-8,8-50,50-1,1-54,54-6,6-0,0-20,20-19,19-42,42-28",0-20
29-52,4,e,1,e,0,0,"29-7,7-4,4-52,52-29",
30-55,6,e,1,e,0,2,"30-2,2-32,32-1,1-16,16-55,55-30",
30-41,10,(0 2 1),6,e*,1,4,"30-2,2-32,32-1,1-54,54-6,6-0,0-20,20-19,19-41,41-30",0-20
30-56,6,e,1,e,0,2,"30-2,2-32,32-1,1-16,16-56,56-30",
31-48,8,e,1,e,0,4,"31-9,9-16,16-1,1-54,54-6,6-0,0-48,48-31",
32-56,4,e,1,e,0,2,"32-1,1-16,16-56,56-32",
33-35,6,e,1,e,0,2,"33-10,10-26,26-0,0-6,6-35,35-33",
33-51,8,e,1,e,0,4,"33-10,10-26,26-0,0-6,6-35,35-18,18-51,51-33",
34-50,4,e,1,e,0,2,"34-16,16-1,1-50,50-34",
34-54,4,e,1,e,0,2,"34-16,16-1,1-54,54-34",
34-38,6,e,1,e,0,4,"34-16,16-1,1-54,54-6,6-38,38-34",
36-46,4,e,1,e,0,2,"36-7,7-4,4-46,46-36",
36-43,13,e,1,e,0,8,"36-7,7-4,4-46,46-5,5-30,30-2,2-32,32-1,1-16,16-9,9-31,31-43,43-36",
37-51,13,e,1,e,0,8,"37-14,14-3,3-11,11-39,39-8,8-50,50-1,1-54,54-6,6-35,35-18,18-51,51-37",
38-56,6,e,1,e,0,4,"38-6,6-54,54-1,1-16,16-56,56-38",
39-53,12,(0 2 1),6,e*,1,6,"39-8,8-50,50-1,1-54,54-6,6-0,0-26,26-10,10-12,12-15,15-53,53-39",10-12
40-41,12,(0 2 1),6,e*,1,6,"40-5,5-30,30-2,2-32,32-1,1-54,54-6,6-0,0-20,20-19,19-41,41-40",0-20
