m,base_eig_idx,base_eigval,sym_sector_slope,anti_sector_slope
0,0,4.802493312043019,3.0,-1.0
0,1,3.6952759303397835,3.0,-1.0
0,2,3.6952759303397786,3.0,-1.0
0,3,3.419128116516036,3.0,-1.0
0,4,3.1529088471346385,3.0,-1.0
0,5,2.872733234175561,3.0,-1.0
0,6,2.6671825870731345,3.0,-1.0
0,7,2.5581002747703927,3.0,-1.0
0,8,2.019223849278758,3.0,-1.0
0,9,2.019223849278754,3.0,-1.0
0,10,1.9438696934398294,3.0,-1.0
0,11,1.860827521958587,3.0,-1.0
0,12,1.7389095401714962,3.0,-1.0
0,13,1.3847805501239592,3.0,-1.0
0,14,1.3536715699320057,3.0,-1.0
0,15,1.2444051312269875,3.0,-1.0
0,16,1.2444051312269855,3.0,-1.0
0,17,1.1341803563160762,3.0,-1.0
0,18,1.000000000000002,3.0,-1.0
0,19,1.0000000000000018,3.0,-1.0
0,20,0.902363734052289,3.0,-1.0
0,21,0.8480133928962058,3.0,-1.0
0,22,0.8480133928962004,3.0,-1.0
0,23,0.550589491978363,3.0,-1.0
0,24,0.5163071432471714,3.0,-1.0
0,25,0.31965611452603615,3.0,-1.0
0,26,0.13297242667602538,3.0,-1.0
0,27,1.5914697011592197e-15,3.0,-1.0
0,28,2.7421820950826846e-16,3.0,-1.0
0,29,-2.688137791449691e-16,3.0,-1.0
0,30,-3.24552094391145e-15,3.0,-1.0
0,31,-0.022825331332220027,3.0,-1.0
0,32,-0.2702380853140681,3.0,-1.0
0,33,-0.41030999072822666,3.0,-1.0
0,34,-0.5658082425753964,3.0,-1.0
0,35,-0.6302080318183353,3.0,-1.0
0,36,-0.7256042887388258,3.0,-1.0
0,37,-0.7698776084841928,3.0,-1.0
0,38,-0.8480133928962006,3.0,-1.0
0,39,-0.8480133928962037,3.0,-1.0
0,40,-0.9999999999999998,3.0,-1.0
0,41,-1.0000000000000016,3.0,-1.0
0,42,-1.2444051312269873,3.0,-1.0
0,43,-1.2444051312269917,3.0,-1.0
0,44,-1.3081694743158752,3.0,-1.0
0,45,-1.4074494076151993,3.0,-1.0
0,46,-1.9749271877036596,3.0,-1.0
0,47,-2.0192238492787533,3.0,-1.0
0,48,-2.019223849278756,3.0,-1.0
0,49,-2.1261260082162785,3.0,-1.0
0,50,-2.2518971978188604,3.0,-1.0
0,51,-2.2963471563118683,3.0,-1.0
0,52,-2.3165292156526065,3.0,-1.0
0,53,-2.6953866282086665,3.0,-1.0
0,54,-3.2365803517620586,3.0,-1.0
0,55,-3.6604143693769173,3.0,-1.0
0,56,-3.695275930339778,3.0,-1.0
0,57,-3.695275930339779,3.0,-1.0
0,58,-4.641975938161361,3.0,-1.0
1,0,4.7705312559774224,3.0,-1.0
1,1,3.70544123059467,3.0,-1.0
1,2,3.6785893249853663,3.0,-1.0
1,3,3.4023190984133276,3.0,-1.0
1,4,3.1473282962384235,3.0,-1.0
1,5,2.875886724925563,3.0,-1.0
1,6,2.6688440390531647,3.0,-1.0
1,7,2.5572522909040956,3.0,-1.0
1,8,2.1161160421274006,3.0,-1.0
1,9,2.0240041655053114,3.0,-1.0
1,10,1.9519975450480165,3.0,-1.0
1,11,1.8483411710038684,3.0,-1.0
1,12,1.7079873167985742,3.0,-1.0
1,13,1.4567791323350563,3.0,-1.0
1,14,1.3914449814298604,3.0,-1.0
1,15,1.2681063152077585,3.0,-1.0
1,16,1.2101625540918062,3.0,-1.0
1,17,1.1111547760509781,3.0,-1.0
1,18,1.0324683948928635,3.0,-1.0
1,19,0.9718094306063838,3.0,-1.0
1,20,0.8894944365839396,3.0,-1.0
1,21,0.8519423618527051,3.0,-1.0
1,22,0.8216364057480275,3.0,-1.0
1,23,0.5642223503745436,3.0,-1.0
1,24,0.47625043973514053,3.0,-1.0
1,25,0.3453775999434665,3.0,-1.0
1,26,0.19059757007258296,3.0,-1.0
1,27,0.03915757928349661,3.0,-1.0
1,28,0.012090033046431302,3.0,-1.0
1,29,2.427012261393831e-16,3.0,-1.0
1,30,-0.03489493665064215,3.0,-1.0
1,31,-0.08092516068562691,3.0,-1.0
1,32,-0.2863217115387906,3.0,-1.0
1,33,-0.437082517279009,3.0,-1.0
1,34,-0.5591855929819585,3.0,-1.0
1,35,-0.6279501245717377,3.0,-1.0
1,36,-0.6763000805821251,3.0,-1.0
1,37,-0.7435574251370279,3.0,-1.0
1,38,-0.8409814330858908,3.0,-1.0
1,39,-0.8632913783226803,3.0,-1.0
1,40,-0.9812090858076289,3.0,-1.0
1,41,-1.0576767022314406,3.0,-1.0
1,42,-1.2316524182469448,3.0,-1.0
1,43,-1.2675117632517203,3.0,-1.0
1,44,-1.3390945160616445,3.0,-1.0
1,45,-1.4227926484432365,3.0,-1.0
1,46,-1.9532098908891582,3.0,-1.0
1,47,-1.9915416815077585,3.0,-1.0
1,48,-2.05087813460888,3.0,-1.0
1,49,-2.143369252866431,3.0,-1.0
1,50,-2.2483528110062494,3.0,-1.0
1,51,-2.306524099906516,3.0,-1.0
1,52,-2.3851349110619267,3.0,-1.0
1,53,-2.7019949511299424,3.0,-1.0
1,54,-3.2298139080559234,3.0,-1.0
1,55,-3.563868801872043,3.0,-1.0
1,56,-3.6930388723945096,3.0,-1.0
1,57,-3.757930325072964,3.0,-1.0
1,58,-4.611247727579837,3.0,-1.0
2,0,4.704072668327491,3.0,-1.0
2,1,3.7015892187557586,3.0,-1.0
2,2,3.6651490330615926,3.0,-1.0
2,3,3.355550267247682,3.0,-1.0
2,4,3.1364730318392366,3.0,-1.0
2,5,2.8900860801765482,3.0,-1.0
2,6,2.6890945974154423,3.0,-1.0
2,7,2.5462636278187136,3.0,-1.0
2,8,2.3082043329738853,3.0,-1.0
2,9,2.0399931230889186,3.0,-1.0
2,10,1.949285987839462,3.0,-1.0
2,11,1.819592465565042,3.0,-1.0
2,12,1.6640467916365806,3.0,-1.0
2,13,1.536434790514606,3.0,-1.0
2,14,1.4859106519662093,3.0,-1.0
2,15,1.28471368393128,3.0,-1.0
2,16,1.1783519910951963,3.0,-1.0
2,17,1.1196072924282234,3.0,-1.0
2,18,1.0291913383838347,3.0,-1.0
2,19,0.9558483311594411,3.0,-1.0
2,20,0.8810889017626242,3.0,-1.0
2,21,0.8398135958824191,3.0,-1.0
2,22,0.7531538764020765,3.0,-1.0
2,23,0.5834018557724565,3.0,-1.0
2,24,0.48126664224666754,3.0,-1.0
2,25,0.3490769931980949,3.0,-1.0
2,26,0.23628310631322424,3.0,-1.0
2,27,0.10397965549932503,3.0,-1.0
2,28,0.0213063690381667,3.0,-1.0
2,29,-2.514044938725555e-16,3.0,-1.0
2,30,-0.081438189759119,3.0,-1.0
2,31,-0.13450764541076243,3.0,-1.0
2,32,-0.31327635686219546,3.0,-1.0
2,33,-0.4375364331018042,3.0,-1.0
2,34,-0.5518191924768399,3.0,-1.0
2,35,-0.5952055224672396,3.0,-1.0
2,36,-0.6431909173936992,3.0,-1.0
2,37,-0.7485420543883803,3.0,-1.0
2,38,-0.8357787300440285,3.0,-1.0
2,39,-0.8724188034012879,3.0,-1.0
2,40,-0.9814125983379153,3.0,-1.0
2,41,-1.087997385213914,3.0,-1.0
2,42,-1.2550566678501902,3.0,-1.0
2,43,-1.2649781957106931,3.0,-1.0
2,44,-1.3791798536638002,3.0,-1.0
2,45,-1.4856643359015413,3.0,-1.0
2,46,-1.8905678847444496,3.0,-1.0
2,47,-1.966063307845512,3.0,-1.0
2,48,-2.0739963874910456,3.0,-1.0
2,49,-2.175309989130786,3.0,-1.0
2,50,-2.245469082011707,3.0,-1.0
2,51,-2.3075026766888658,3.0,-1.0
2,52,-2.5649390999209625,3.0,-1.0
2,53,-2.7463063040629994,3.0,-1.0
2,54,-3.2171415666502403,3.0,-1.0
2,55,-3.4098676126887613,3.0,-1.0
2,56,-3.6904985049609946,3.0,-1.0
2,57,-3.805445086109569,3.0,-1.0
2,58,-4.547719917050898,3.0,-1.0
3,0,4.669576639044021,3.0,-1.0
3,1,3.695995880997439,3.0,-1.0
3,2,3.659501024649079,3.0,-1.0
3,3,3.3185347317279326,3.0,-1.0
3,4,3.1314721699736268,3.0,-1.0
3,5,2.909178630841032,3.0,-1.0
3,6,2.716014546765155,3.0,-1.0
3,7,2.528003531546356,3.0,-1.0
3,8,2.4006770732838967,3.0,-1.0
3,9,2.0495027188188244,3.0,-1.0
3,10,1.9471742525592646,3.0,-1.0
3,11,1.7992513868736624,3.0,-1.0
3,12,1.6427546386753586,3.0,-1.0
3,13,1.5743994947301871,3.0,-1.0
3,14,1.5284835829445438,3.0,-1.0
3,15,1.2927920268706448,3.0,-1.0
3,16,1.1613755528318197,3.0,-1.0
3,17,1.1300349072030076,3.0,-1.0
3,18,1.0327708101685016,3.0,-1.0
3,19,0.9465385777381425,3.0,-1.0
3,20,0.8834264728060424,3.0,-1.0
3,21,0.8252459653404751,3.0,-1.0
3,22,0.7213028917261032,3.0,-1.0
3,23,0.5956266332421106,3.0,-1.0
3,24,0.49811995405840426,3.0,-1.0
3,25,0.3251877090967222,3.0,-1.0
3,26,0.2519893653862596,3.0,-1.0
3,27,0.13985207397773078,3.0,-1.0
3,28,0.0239326280288155,3.0,-1.0
3,29,2.1976790137432485e-16,3.0,-1.0
3,30,-0.10743663468598966,3.0,-1.0
3,31,-0.1550246949373487,3.0,-1.0
3,32,-0.321564661475877,3.0,-1.0
3,33,-0.38691775694128017,3.0,-1.0
3,34,-0.5751762878893659,3.0,-1.0
3,35,-0.5804719023220223,3.0,-1.0
3,36,-0.643920093048373,3.0,-1.0
3,37,-0.7571389477260212,3.0,-1.0
3,38,-0.8357191126935594,3.0,-1.0
3,39,-0.8742846816593427,3.0,-1.0
3,40,-0.9813118729385053,3.0,-1.0
3,41,-1.0876370148943124,3.0,-1.0
3,42,-1.259791200803138,3.0,-1.0
3,43,-1.2700980891017941,3.0,-1.0
3,44,-1.4058630201559599,3.0,-1.0
3,45,-1.5290400362813883,3.0,-1.0
3,46,-1.8380422521835291,3.0,-1.0
3,47,-1.9615094797581938,3.0,-1.0
3,48,-2.079660397239122,3.0,-1.0
3,49,-2.189914673040608,3.0,-1.0
3,50,-2.2436967858634524,3.0,-1.0
3,51,-2.3074369481561354,3.0,-1.0
3,52,-2.629674006763314,3.0,-1.0
