potential,m,branch,mu_cross_mass0p6,max_defect_mass,eigval_mu_plus2,defect_mass_mu_plus2,O6_mass_mu_plus2,O12_mass_mu_plus2,family_bias_mu_plus2,slope_mu_ge_1p5,min_overlap
V_O12_4,3,1,0.7250000000000001,0.7247135444817697,4.640338639058999,0.4081657127561553,0.11184971914399333,0.3528141034591078,O12,0.52516800204845,0.9937982837634513
V_O6_4,2,1,0.9500000000000002,0.6395227433371267,4.47640641496759,0.42209968136829495,0.3823673160569833,0.14379010166521253,O6,0.48176678599192113,0.9963854870050372
V_O6_4,3,1,0.7250000000000001,0.8243752091481611,4.623153984063758,0.6023444597095265,0.5268757641942325,0.19795821513154965,O6,0.6848927235905832,0.9251867447586682
V_O6_4,4,1,0.9500000000000002,0.6395227433371251,4.4764064149675855,0.4220996813682974,0.38236731605698554,0.14379010166521347,O6,0.48176678599191536,0.9963854870050468
V_O6_minus_O12,2,1,1.4000000000000004,0.7021625365141355,4.2241046278700205,0.6989155431833132,0.678034535326872,0.08669807423005191,O6,0.5513838287811045,0.9989930087097291
V_O6_minus_O12,3,1,-2.0,0.8394859358648717,4.235383331033715,0.8394859358648717,0.809127346024712,0.11285140100468014,O6,0.6284637313430755,0.9989348437916895
V_O6_minus_O12,4,1,1.4000000000000004,0.7021625365141362,4.224104627870019,0.6989155431833115,0.6780345353268705,0.08669807423005153,O6,0.5513838287811051,0.9989930087097295
V_defect7,2,0,1.725,0.7297552328583563,5.305621077906219,0.7297552328583563,0.37555254028117346,0.5208865035861739,O12,0.621044048388297,0.9998400591002499
V_defect7,3,0,1.6500000000000004,0.8640509368666105,5.126356000171559,0.8640509368666105,0.47434261304239866,0.6070705191705128,O12,0.7005828741566724,0.9976755912318085
V_defect7,3,1,0.4750000000000001,0.7864437803916462,4.7775706521129075,0.15879349077416,0.0641525583046648,0.09464913869176575,O12,0.2815315175727802,0.9835560692260523
V_defect7,3,4,1.75,0.6654762967615245,3.4491241291715973,0.6636386692694058,0.3812726069418469,0.2885138352028115,O6,0.4947616576376947,0.9433239076554242
V_defect7,4,0,1.725,0.7297552328583565,5.305621077906218,0.7297552328583565,0.37555254028117346,0.520886503586174,O12,0.6210440483882953,0.99984005910025
