rep_triangle,tau_image_rep_triangle,cycle_id,cycle_len,pos_in_cycle
678,678,35,1,0
012,012,36,1,0
047,158,0,3,0
158,236,0,3,1
236,047,0,3,2
04b,159,1,3,0
159,23a,1,3,1
23a,04b,1,3,2
07b,189,2,3,0
189,26a,2,3,1
26a,07b,2,3,2
36a,47b,3,3,0
47b,589,3,3,1
589,36a,3,3,2
01a,12b,4,3,0
12b,029,4,3,1
029,01a,4,3,2
038,146,5,3,0
146,257,5,3,1
257,038,5,3,2
349,45a,6,3,0
45a,35b,6,3,1
35b,349,6,3,2
679,78a,7,3,0
78a,68b,7,3,1
68b,679,7,3,2
013,124,8,3,0
124,025,8,3,1
025,013,8,3,2
069,17a,9,3,0
17a,28b,9,3,1
28b,069,9,3,2
378,468,10,3,0
468,567,10,3,1
567,378,10,3,2
39b,49a,11,3,0
49a,5ab,11,3,1
5ab,39b,11,3,2
058,136,12,3,0
136,247,12,3,1
247,058,12,3,2
06b,179,13,3,0
179,28a,13,3,1
28a,06b,13,3,2
0ab,19b,14,3,0
19b,29a,14,3,1
29a,0ab,14,3,2
347,458,15,3,0
458,356,15,3,1
356,347,15,3,2
016,127,16,3,0
127,028,16,3,1
028,016,16,3,2
05a,13b,17,3,0
13b,249,17,3,1
249,05a,17,3,2
348,456,18,3,0
456,357,18,3,1
357,348,18,3,2
69b,79a,19,3,0
79a,8ab,19,3,1
8ab,69b,19,3,2
037,148,20,3,0
148,256,20,3,1
256,037,20,3,2
059,13a,21,3,0
13a,24b,21,3,1
24b,059,21,3,2
015,123,22,3,0
123,024,22,3,1
024,015,22,3,2
046,157,23,3,0
157,238,23,3,1
238,046,23,3,2
37b,489,24,3,0
489,56a,24,3,1
56a,37b,24,3,2
69a,7ab,25,3,0
7ab,89b,25,3,1
89b,69a,25,3,2
01b,129,26,3,0
129,02a,26,3,1
02a,01b,26,3,2
346,457,27,3,0
457,358,27,3,1
358,346,27,3,2
019,12a,28,3,0
12a,02b,28,3,1
02b,019,28,3,2
368,467,29,3,0
467,578,29,3,1
578,368,29,3,2
034,145,30,3,0
145,235,30,3,1
235,034,30,3,2
04a,15b,31,3,0
15b,239,31,3,1
239,04a,31,3,2
089,16a,32,3,0
16a,27b,32,3,1
27b,089,32,3,2
67b,789,33,3,0
789,68a,33,3,1
68a,67b,33,3,2
039,14a,34,3,0
14a,25b,34,3,1
25b,039,34,3,2
38b,469,37,3,0
469,57a,37,3,1
57a,38b,37,3,2
