pg32_point,coeffs,m_tuple,quartet,in_tomotope15
0001,"(0, 0, 0, 1)","(0, 0, 0, 1)",sec0_m0 sec1_m0 sec2_m0 sec3_m1,False
0010,"(0, 0, 2, 0)","(0, 0, 2, 2)",sec0_m0 sec1_m0 sec2_m2 sec3_m2,True
0011,"(0, 0, 1, 2)","(0, 0, 1, 0)",sec0_m0 sec1_m0 sec2_m1 sec3_m0,False
0100,"(0, 2, 0, 0)","(0, 2, 0, 2)",sec0_m0 sec1_m2 sec2_m0 sec3_m2,False
0101,"(0, 1, 0, 2)","(0, 1, 0, 0)",sec0_m0 sec1_m1 sec2_m0 sec3_m0,True
0110,"(0, 1, 1, 0)","(0, 1, 1, 2)",sec0_m0 sec1_m1 sec2_m1 sec3_m2,False
0111,"(0, 2, 1, 1)","(0, 2, 1, 1)",sec0_m0 sec1_m2 sec2_m1 sec3_m1,True
1000,"(1, 0, 0, 0)","(1, 1, 1, 1)",sec0_m1 sec1_m1 sec2_m1 sec3_m1,False
1001,"(2, 0, 0, 2)","(2, 2, 2, 1)",sec0_m2 sec1_m2 sec2_m2 sec3_m1,True
1010,"(2, 0, 1, 0)","(2, 2, 0, 0)",sec0_m2 sec1_m2 sec2_m0 sec3_m0,True
1011,"(1, 0, 2, 2)","(1, 1, 0, 2)",sec0_m1 sec1_m1 sec2_m0 sec3_m2,True
1100,"(2, 1, 0, 0)","(2, 0, 2, 0)",sec0_m2 sec1_m0 sec2_m2 sec3_m0,True
1101,"(2, 2, 0, 1)","(2, 1, 2, 2)",sec0_m2 sec1_m1 sec2_m2 sec3_m2,True
1110,"(2, 2, 2, 0)","(2, 1, 1, 0)",sec0_m2 sec1_m1 sec2_m1 sec3_m0,True
1111,"(2, 1, 2, 2)","(2, 0, 1, 1)",sec0_m2 sec1_m0 sec2_m1 sec3_m1,True
