mu,lambda,winner_flux,winner_noflux
0.75,0.4,8,8
0.75,0.41,8,8
0.75,0.42,8,8
0.75,0.43,33,8
0.75,0.44,33,33
0.75,0.45,33,33
0.75,0.46,8,8
0.75,0.47,8,8
0.75,0.48,8,8
0.75,0.49,8,8
0.75,0.5,8,8
0.75,0.51,8,8
0.75,0.52,33,33
0.75,0.53,33,33
0.75,0.54,33,33
0.75,0.55,33,33
0.75,0.56,33,33
1.25,0.4,8,8
1.25,0.41,8,8
1.25,0.42,8,8
1.25,0.43,8,8
1.25,0.44,33,33
1.25,0.45,33,33
1.25,0.46,33,8
1.25,0.47,8,8
1.25,0.48,8,8
1.25,0.49,8,8
1.25,0.5,8,8
1.25,0.51,8,8
1.25,0.52,19,19
1.25,0.53,33,33
1.25,0.54,33,33
1.25,0.55,33,33
1.25,0.56,33,33
1.75,0.4,35,35
1.75,0.41,8,8
1.75,0.42,8,8
1.75,0.43,8,8
1.75,0.44,33,33
1.75,0.45,33,33
1.75,0.46,33,33
1.75,0.47,8,8
1.75,0.48,8,8
1.75,0.49,8,8
1.75,0.5,8,8
1.75,0.51,19,19
1.75,0.52,19,19
1.75,0.53,19,19
1.75,0.54,33,33
1.75,0.55,33,33
1.75,0.56,33,33
