mu,lambda,flux_def_mass_mean,flux_def_mass_std,flux_coh_mean,flux_coh_std,noflux_def_mass_mean,noflux_def_mass_std,noflux_coh_mean,noflux_coh_std,delta_def_mass_mean,delta_coh_mean
0.75,0.4,0.4465036022041324,0.3058703272728122,0.003419445326685094,0.004880930025978093,0.44611253657797423,0.3061883587649337,0.004688538392711821,0.005338885754737123,0.0003910656261581491,-0.0012690930660267273
0.75,0.41,0.44649665067568617,0.3059066375006103,0.003697704297828175,0.0052656509653308285,0.4461067958497955,0.3062239338877559,0.004931737445703478,0.0055807868677719506,0.00038985482589065645,-0.001234033147875303
0.75,0.42,0.4464898264648212,0.30594361620148736,0.003989362086736491,0.005652868038690404,0.44610125327100003,0.3062601188771365,0.005177100089638031,0.005821048409851009,0.0003885731938211845,-0.00118773800290154
0.75,0.43,0.44648317235540247,0.30598122589300525,0.004287873419142732,0.006045861053377614,0.4460959529544994,0.30629687472755845,0.005424146965627659,0.0060590482427250415,0.0003872194009030827,-0.001136273546484927
0.75,0.44,0.44647673451328335,0.3060194259013501,0.004592463150360442,0.00644330713423959,0.4460909422543807,0.3063341593569824,0.005672397697406771,0.006294188217536775,0.000385792258902673,-0.0010799345470463295
0.75,0.45,0.446470562543754,0.30605817229675947,0.004902326251286898,0.0068438562107845154,0.4460862718165596,0.3063719275488375,0.005921373073881688,0.006525898252385984,0.00038429072719442514,-0.00101904682259479
0.75,0.46,0.4464647095350819,0.3060974178409824,0.005216631688881939,0.007246138449063216,0.44608199561600337,0.3064101309057198,0.006170597193550439,0.006753640232037794,0.0003827139190785145,-0.0009539655046684999
0.75,0.47,0.4464592320875401,0.30613711194740223,0.005534526388828138,0.0076487717810982325,0.446078170979949,0.30644871781539784,0.00641959956054013,0.00697691170033662,0.00038106110759111855,-0.000885073171711992
0.75,0.48,0.4464541903273904,0.30617720065439813,0.005855139260710728,0.008050369482001317,0.4460748585966077,0.30648763342968655,0.006667917122367879,0.007195249315790109,0.0003793317307826949,-0.0008127778616571508
0.75,0.49,0.4464496479053298,0.3062176266124963,0.006177585265930015,0.00844954774692714,0.4460721225088847,0.306526819656716,0.006915096239938043,0.00740823204073271,0.00037752539644508865,-0.0007375109740080281
0.75,0.5,0.446445671978987,0.3062583290858029,0.006500969508529602,0.008844933221707157,0.4460700300927239,0.30656621516706656,0.007160694580739884,0.007615484034479329,0.0003756418862631006,-0.0006597250722102819
0.75,0.51,0.44644233317910803,0.3062992439681694,0.006824391329197878,0.00923517044255072,0.44606865201973256,0.30660575541420504,0.007404282926708412,0.00781667722095576,0.00037368115937547186,-0.000579891597510534
0.75,0.52,0.4464397055591413,0.3063403038144923,0.007146948382872365,0.009618929141692857,0.4460680622038129,0.30664537266959935,0.007645446888746053,0.00801153350147111,0.0003716433553284104,-0.0004984985058736876
0.75,0.53,0.4464378665280086,0.30638143788747946,0.007467740680645602,0.009994911377371667,0.44606833773159793,0.30668499607283073,0.007883788520479454,0.008199826583620694,0.0003695287964106675,-0.0004160478398338519
0.75,0.54,0.44643689676590637,0.30642257222017394,0.007785874577035935,0.010361858448083761,0.446069558776552,0.30672455169697466,0.00811892782443073,0.008381383397823272,0.0003673379893543438,-0.00033305324739479544
0.75,0.55,0.44643688012306904,0.3064636296944535,0.008100466684144528,0.010718557552716857,0.44607180849666833,0.3067639626294515,0.008350504144424663,0.008556085073780716,0.0003650716264007037,-0.000250037460280135
0.75,0.56,0.4464379035014908,0.3065045301356553,0.008410647694766675,0.011063848159909705,0.44607517291577437,0.30680314906848505,0.008578177438713787,0.008723867450272503,0.0003627305857164531,-0.00016752974394711184
