mu,lambda,line_id,abs_delta,delta,card_basis
0.75,0.4,8,0.039608637482476894,-0.039608637482476894,3♡ 4♠ 8♣ 10♣
0.75,0.41,8,0.037051924447355944,-0.037051924447355944,3♡ 4♠ 8♣ 10♣
0.75,0.42,32,0.03345206890978503,0.03345206890978503,1♢ 4♢ 6♣ 8♡
0.75,0.43,8,0.02698328463204014,-0.02698328463204014,3♡ 4♠ 8♣ 10♣
0.75,0.44,8,0.027404294014203856,-0.027404294014203856,3♡ 4♠ 8♣ 10♣
0.75,0.45,8,0.030332153188320277,-0.030332153188320277,3♡ 4♠ 8♣ 10♣
0.75,0.46,8,0.03271179579818728,-0.03271179579818728,3♡ 4♠ 8♣ 10♣
0.75,0.47,8,0.03417636555566261,-0.03417636555566261,3♡ 4♠ 8♣ 10♣
0.75,0.48,8,0.03449536109846996,-0.03449536109846996,3♡ 4♠ 8♣ 10♣
0.75,0.49,8,0.033679550374746015,-0.033679550374746015,3♡ 4♠ 8♣ 10♣
0.75,0.5,8,0.031963430942388626,-0.031963430942388626,3♡ 4♠ 8♣ 10♣
0.75,0.51,8,0.02968585130008705,-0.02968585130008705,3♡ 4♠ 8♣ 10♣
0.75,0.52,19,0.029159840079380217,0.029159840079380217,10♠ 10♡ 10♢ 10♣
0.75,0.53,19,0.028459264906810944,0.028459264906810944,10♠ 10♡ 10♢ 10♣
0.75,0.54,8,0.02730656694475364,-0.02730656694475364,3♡ 4♠ 8♣ 10♣
0.75,0.55,8,0.028028053686696808,-0.028028053686696808,3♡ 4♠ 8♣ 10♣
0.75,0.56,8,0.027566232988466055,-0.027566232988466055,3♡ 4♠ 8♣ 10♣
1.25,0.4,8,0.036530609306833384,-0.036530609306833384,3♡ 4♠ 8♣ 10♣
1.25,0.41,8,0.0346542813734132,-0.0346542813734132,3♡ 4♠ 8♣ 10♣
1.25,0.42,32,0.03139980767740269,0.03139980767740269,1♢ 4♢ 6♣ 8♡
1.25,0.43,32,0.027002019137439603,0.027002019137439603,1♢ 4♢ 6♣ 8♡
1.25,0.44,35,0.021791851239468585,0.021791851239468585,1♣ 2♣ 5♢ 8♣
1.25,0.45,8,0.029745559161789004,-0.029745559161789004,3♡ 4♠ 8♣ 10♣
1.25,0.46,8,0.03237665683333191,-0.03237665683333191,3♡ 4♠ 8♣ 10♣
1.25,0.47,8,0.0341555306912813,-0.0341555306912813,3♡ 4♠ 8♣ 10♣
1.25,0.48,8,0.03478125324408765,-0.03478125324408765,3♡ 4♠ 8♣ 10♣
1.25,0.49,8,0.03418644255979686,-0.03418644255979686,3♡ 4♠ 8♣ 10♣
1.25,0.5,19,0.035861637450718575,0.035861637450718575,10♠ 10♡ 10♢ 10♣
1.25,0.51,19,0.03746326808795075,0.03746326808795075,10♠ 10♡ 10♢ 10♣
1.25,0.52,19,0.037382162978875755,0.037382162978875755,10♠ 10♡ 10♢ 10♣
1.25,0.53,19,0.03568567706851766,0.03568567706851766,10♠ 10♡ 10♢ 10♣
1.25,0.54,19,0.03270893691059662,0.03270893691059662,10♠ 10♡ 10♢ 10♣
1.25,0.55,19,0.028940424144437316,0.028940424144437316,10♠ 10♡ 10♢ 10♣
1.25,0.56,8,0.026945626501488462,-0.026945626501488462,3♡ 4♠ 8♣ 10♣
1.75,0.4,8,0.03013042980176195,-0.03013042980176195,3♡ 4♠ 8♣ 10♣
1.75,0.41,8,0.02858987674778035,-0.02858987674778035,3♡ 4♠ 8♣ 10♣
1.75,0.42,32,0.025670888309571538,0.025670888309571538,1♢ 4♢ 6♣ 8♡
1.75,0.43,32,0.023550805271977282,0.023550805271977282,1♢ 4♢ 6♣ 8♡
1.75,0.44,19,0.020952332803320317,0.020952332803320317,10♠ 10♡ 10♢ 10♣
1.75,0.45,8,0.026324077789471545,-0.026324077789471545,3♡ 4♠ 8♣ 10♣
1.75,0.46,8,0.028577260197744536,-0.028577260197744536,3♡ 4♠ 8♣ 10♣
1.75,0.47,8,0.030062464776008824,-0.030062464776008824,3♡ 4♠ 8♣ 10♣
1.75,0.48,19,0.032387361675613846,0.032387361675613846,10♠ 10♡ 10♢ 10♣
1.75,0.49,19,0.03701504131742084,0.03701504131742084,10♠ 10♡ 10♢ 10♣
1.75,0.5,19,0.04051762048359997,0.04051762048359997,10♠ 10♡ 10♢ 10♣
1.75,0.51,19,0.04237587838611567,0.04237587838611567,10♠ 10♡ 10♢ 10♣
1.75,0.52,19,0.042287973195955786,0.042287973195955786,10♠ 10♡ 10♢ 10♣
1.75,0.53,19,0.04028383069088015,0.04028383069088015,10♠ 10♡ 10♢ 10♣
1.75,0.54,19,0.03672514202666122,0.03672514202666122,10♠ 10♡ 10♢ 10♣
1.75,0.55,19,0.032184440191775465,0.032184440191775465,10♠ 10♡ 10♢ 10♣
1.75,0.56,19,0.027269994657437735,0.027269994657437735,10♠ 10♡ 10♢ 10♣
