lam,mu,best_line,stability
0.4,0.5,22,2.0982555028237817
0.4,0.75,22,2.1013017656126523
0.4,1.0,22,2.1054875702097657
0.4,1.25,22,2.1104076770991105
0.4,1.5,22,2.115575396744753
0.4,1.75,22,2.12047016312502
0.4,2.0,22,2.124584913956469
0.41,0.5,8,2.10068245581932
0.41,0.75,22,2.103483780194044
0.41,1.0,22,2.1076978898086347
0.41,1.25,22,2.112668218483388
0.41,1.5,22,2.1179155120682798
0.41,1.75,22,2.1229241226933513
0.41,2.0,22,2.127188254113942
0.42,0.5,8,2.103527857751359
0.42,0.75,22,2.1057994153954978
0.42,1.0,22,2.1100413711641677
0.42,1.25,22,2.115060917543373
0.42,1.5,22,2.1203860696206256
0.42,1.75,22,2.125506057216041
0.42,2.0,22,2.129916422013848
0.43,0.5,8,2.1065604669224873
0.43,0.75,8,2.1083234598125737
0.43,1.0,22,2.112517513021482
0.43,1.25,22,2.1175850860504974
0.43,1.5,22,2.1229861046566305
0.43,1.75,22,2.1282146053927122
0.43,2.0,22,2.132767502870482
0.44,0.5,8,2.109775929485467
0.44,0.75,8,2.111530780817649
0.44,1.0,22,2.1151249629056745
0.44,1.25,22,2.120239184931458
0.44,1.5,22,2.1257137917586553
0.44,1.75,22,2.131047519320307
0.44,2.0,22,2.135738646540115
0.45,0.5,8,2.113168108663713
0.45,0.75,8,2.1149220149930925
0.45,1.0,8,2.117872900165132
0.45,1.25,22,2.123020841913999
0.45,1.5,22,2.128566463567741
0.45,1.75,22,2.134001685444748
0.45,2.0,22,2.1388260925154547
0.46,0.5,8,2.1167291539149695
0.46,0.75,8,2.1184896661271018
0.46,1.0,8,2.1214561414047144
0.46,1.25,22,2.1259268836835954
0.46,1.5,22,2.131540644443432
0.46,1.75,22,2.137073161441887
0.46,2.0,22,2.1420252126699193
0.47,0.5,8,2.12044960752168
0.47,0.75,8,2.122224538411818
0.47,1.0,8,2.1252142247687686
0.47,1.25,8,2.1291290644154577
0.47,1.5,22,2.1346320984880296
0.47,1.75,22,2.1402572284373966
0.47,2.0,22,2.145330571097185
0.48,0.5,17,2.1251726702988125
0.48,0.75,8,2.126115869523028
0.48,1.0,8,2.1291365191507
0.48,1.25,8,2.1330976203665957
0.48,1.5,22,2.137835891007438
0.48,1.75,22,2.1435484575775723
0.48,2.0,22,2.148735999933002
0.49,0.5,17,2.1331952662814193
0.49,0.75,17,2.131248785916403
0.49,1.0,8,2.133210876005287
0.49,1.25,8,2.1372250849014356
0.49,1.5,8,2.14185133727439
0.49,1.75,22,2.146940789577588
0.49,2.0,22,2.1522346896008178
0.5,0.5,17,2.1415104041885304
0.5,0.75,17,2.139619165012317
0.5,1.0,17,2.137958895240077
0.5,1.25,8,2.141497752534654
0.5,1.5,8,2.1462037456349146
0.5,1.75,8,2.1511650017908783
0.5,2.0,8,2.1559885566557453
0.51,0.5,17,2.1500628755826092
0.51,0.75,17,2.1482466865563032
0.51,1.0,17,2.1466719714468603
0.51,1.25,8,2.145900682172651
0.51,1.5,8,2.1506907562832804
0.51,1.75,8,2.1557601805042856
0.51,2.0,8,2.1607204894990666
0.52,0.5,17,2.1587930222110825
0.52,0.75,17,2.157070287299602
0.52,1.0,17,2.155599424881674
0.52,1.25,17,2.1544050576264753
0.52,1.5,8,2.1552956971359865
0.52,1.75,8,2.160474075310309
0.52,2.0,8,2.1655686202869506
0.53,0.5,17,2.16763767657585
0.53,0.75,17,2.1660249997937076
0.53,1.0,17,2.164673794306968
0.53,1.25,17,2.163612126553663
0.53,1.5,17,2.1628467744196493
0.53,1.75,8,2.1652879349881204
0.53,2.0,8,2.170512486679354
0.54,0.5,17,2.1765312453426215
0.54,0.75,17,2.1750430545988495
0.54,1.0,17,2.173824395407025
0.54,1.25,17,2.1729046134650156
0.54,1.5,17,2.172292070996701
0.54,1.75,17,2.171963869970542
0.54,2.0,8,2.1755308667764
0.55,0.5,17,2.185406915074756
0.55,0.75,17,2.184055118077156
0.55,1.0,17,2.1829786071223034
0.55,1.25,17,2.182205637547657
0.55,1.5,17,2.181743573703962
0.55,1.75,17,2.1815674376200294
0.55,2.0,17,2.181612302999795
0.56,0.5,17,2.1941979519924812
0.56,0.75,17,2.1929916376592424
0.56,1.0,17,2.192063281496586
0.56,1.25,17,2.1914375008980165
0.56,1.5,17,2.1911178546817456
0.56,1.75,17,2.1910743602727294
0.56,2.0,17,2.1912351325254686
0.57,0.5,17,2.2028390600835945
0.57,0.75,17,2.201784258333706
0.57,1.0,17,2.2010062396381094
0.57,1.25,17,2.2005232949059716
0.57,1.5,17,2.2003321893342416
0.57,1.75,17,2.200394805528444
0.57,2.0,17,2.2006291659726593
0.58,0.5,17,2.211267755572471
0.58,0.75,17,2.210367266945786
0.58,1.0,17,2.209737808169873
0.58,1.25,17,2.20938856063173
0.58,1.5,17,2.2093063850771792
0.58,1.75,17,2.2094417651512823
0.58,2.0,17,2.2096993707057195
0.59,0.5,17,2.2194257111480145
0.59,0.75,17,2.2186790154315514
0.59,1.0,17,2.2181923440409173
0.59,1.25,17,2.21796294623626
0.59,1.5,17,2.217964613801061
0.59,1.75,17,2.2181331192299085
0.59,2.0,17,2.2183564987594164
0.6,0.5,17,2.2272600210504185
0.6,0.75,17,2.2266632710333196
0.6,1.0,17,2.226309691573649
0.6,1.25,17,2.226181799463005
0.6,1.5,17,2.2262371776048253
0.6,1.75,17,2.226393624155719
0.6,2.0,17,2.2265193586488015
