lam,mu,best_line,stability
0.4,0.5,8,1.3752953796400604
0.4,0.75,22,1.407001581228032
0.4,1.0,22,1.4354644854212566
0.4,1.25,17,1.4604698112901644
0.4,1.5,17,1.5434430520655553
0.4,1.75,17,1.5917607309511064
0.4,2.0,17,1.6054322251157827
0.41,0.5,8,1.3760463469033546
0.41,0.75,22,1.4044384994575716
0.41,1.0,22,1.4282310528638278
0.41,1.25,17,1.4574017813899602
0.41,1.5,17,1.534072942816359
0.41,1.75,17,1.5753283729515646
0.41,2.0,17,1.5834694339493216
0.42,0.5,8,1.3764822673428292
0.42,0.75,22,1.4014040521015687
0.42,1.0,22,1.420518164240021
0.42,1.25,17,1.4543186277722966
0.42,1.5,17,1.5247097829727225
0.42,1.75,17,1.5592198681392309
0.42,2.0,17,1.5623358443115634
0.43,0.5,8,1.3765332579110978
0.43,0.75,22,1.3978334882278516
0.43,1.0,22,1.4122821269470647
0.43,1.25,17,1.4511517892537424
0.43,1.5,17,1.5152973666301832
0.43,1.75,17,1.5433887716820545
0.43,2.0,17,1.541968019664398
0.44,0.5,8,1.3761296155821356
0.44,0.75,8,1.393813912584575
0.44,1.0,22,1.4034858401550916
0.44,1.25,17,1.4478337919202129
0.44,1.5,17,1.5057831947399656
0.44,1.75,17,1.527792458484246
0.44,2.0,17,1.5223065180253643
0.45,0.5,8,1.37520238443234
0.45,0.75,8,1.389456222276829
0.45,1.0,22,1.3940991329401176
0.45,1.25,17,1.4442984915312727
0.45,1.5,17,1.4961187451282265
0.45,1.75,17,1.5123922980899713
0.45,2.0,17,1.5032961277981307
0.46,0.5,8,1.3736840704480593
0.46,0.75,8,1.3844731162703132
0.46,1.0,22,1.3840990724511217
0.46,1.25,17,1.440481399870778
0.46,1.5,17,1.4862597243094064
0.46,1.75,17,1.4971537298821824
0.46,2.0,17,1.4848859308886742
0.47,0.5,8,1.3715094940604382
0.47,0.75,8,1.3788178031334877
0.47,1.0,22,1.3734702174154263
0.47,1.25,17,1.436320096417901
0.47,1.5,17,1.4761663035940358
0.47,1.75,17,1.4820462641794998
0.47,2.0,17,1.467029247702182
0.48,0.5,8,1.368616763953143
0.48,0.75,8,1.372449171120796
0.48,1.0,17,1.3719153809866231
0.48,1.25,17,1.4317547225291487
0.48,1.5,17,1.4658033381308417
0.48,1.75,17,1.4670434276542854
0.48,2.0,17,1.4496835033158815
0.49,0.5,8,1.364948348412708
0.49,0.75,8,1.3653325497514546
0.49,1.0,17,1.3718959259470098
0.49,1.25,17,1.4267285509905674
0.49,1.5,17,1.455140564742456
0.49,1.75,17,1.4521226663054416
0.49,2.0,17,1.4328100429513455
0.5,0.5,8,1.360452212855861
0.5,0.75,8,1.3574404378208542
0.5,1.0,17,1.3714303168594981
0.5,1.25,17,1.4211886193436363
0.5,1.5,17,1.4441527725506362
0.5,1.75,17,1.4372652155170327
0.5,2.0,17,1.416373916741078
0.51,0.5,8,1.3550829847786086
0.51,0.75,8,1.3487531636651722
0.51,1.0,17,1.3704459318161635
0.51,1.25,17,1.4150864109266865
0.51,1.5,17,1.4328199393273442
0.51,1.75,17,1.4224559441352178
0.51,2.0,17,1.400343647889101
0.52,0.5,8,1.3488031009469263
0.52,0.75,8,1.3392594438411
0.52,1.0,17,1.3688714115294491
0.52,1.25,17,1.4083785633059853
0.52,1.5,17,1.4211273261694675
0.52,1.75,17,1.4076831777121108
0.52,2.0,17,1.3846909940654248
0.53,0.5,8,1.3415838869624013
0.53,0.75,8,1.328956808604107
0.53,1.0,17,1.3666376911772857
0.53,1.25,17,1.4010275799647167
0.53,1.5,17,1.4090655234015685
0.53,1.75,17,1.3929385048758072
0.53,2.0,17,1.3693907088084702
0.54,0.5,8,1.3334065171341953
0.54,0.75,17,1.3195117542538544
0.54,1.0,17,1.363679167806123
0.54,1.25,17,1.393002518085438
0.54,1.5,17,1.3966304414909385
0.54,1.75,17,1.3782165700245959
0.54,2.0,17,1.3544203075123997
0.55,0.5,8,1.324262803489993
0.55,0.75,17,1.320007463500831
0.55,1.0,17,1.3599349761609898
0.55,1.25,17,1.384279623324607
0.55,1.5,17,1.3838232421264487
0.55,1.75,17,1.3635148550815064
0.55,2.0,17,1.339759841012299
0.56,0.5,8,1.3141557671506683
0.56,0.75,17,1.3197591314011552
0.56,1.0,17,1.3553503356406866
0.56,1.25,17,1.3748428819332026
0.56,1.5,17,1.3706502063690116
0.56,1.75,17,1.3488334527860648
0.56,2.0,17,1.3253916786724742
0.57,0.5,8,1.303099953244819
0.57,0.75,17,1.318688849838828
0.57,1.0,17,1.349877921317687
0.57,1.25,17,1.3646844616546974
0.57,1.5,17,1.357122538814994
0.57,1.75,17,1.334174833869144
0.57,2.0,17,1.3113003021067466
0.58,0.5,8,1.291121461743418
0.58,0.75,17,1.316723319402225
0.58,1.0,17,1.3434792035894356
0.58,1.25,17,1.3538050156511454
0.58,1.5,17,1.343256108898232
0.58,1.75,17,1.3195436103978802
0.58,2.0,17,1.2974721101202618
0.59,0.5,17,1.285010591640323
0.59,0.75,17,1.313795751022713
0.59,1.0,17,1.336125695089594
0.59,1.25,17,1.3422138282531701
0.59,1.5,17,1.3290711326623397
0.59,1.75,17,1.3049462975490904
0.59,2.0,17,1.2838952350927197
0.6,0.5,17,1.284708701150761
0.6,0.75,17,1.309847836304014
0.6,1.0,17,1.3278000409862933
0.6,1.25,17,1.3299287874247618
0.6,1.5,17,1.3145918004317136
0.6,1.75,17,1.290391076042357
0.6,2.0,17,1.2705593707740621
