line_id,is_rainbow,is_monochrome,present_sector_count,sum_m_mod3,count_m0,count_m1,count_m2,has_sec0_m2,has_sec0_m1,has_sec0_m0,has_all_m2,m0,m1,m2,m3,eq_m01,eq_m02,eq_m03,eq_m12,eq_m13,eq_m23,r2,intercept,coef_delta_coh,coef_flux_coh,coef_flux_def_mass,coef_mu,coef_lambda,mean_abs_delta,max_abs_delta,w33_cards,proj_quartet_str,type,line_type
0,0,1,1,2,0,0,1,0,0,0,1,,,,2.0,0,0,0,0,0,0,0.2311681739155243,0.2532889426911439,7.942625420430668,-4.771157079943863,-0.6665620400003318,0.0365630607754,0.1102821300060399,0.0019869504069127,0.0062537484785396,2♡ 3♠ 8♡ 9♡,sec3_m0 sec3_m1 sec3_m2,monochrome,monochrome12
1,1,0,4,1,3,1,0,0,1,0,0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,0.996157896169812,0.0946733388770506,0.1945729670324108,0.5963783615117138,-0.2066478699552756,0.0149626731976865,-0.0212650711478456,0.0082553496912363,0.0112983130623867,1♡ 3♠ 6♠ 10♠,sec0_m1 sec1_m0 sec2_m0 sec3_m0,rainbow,other
2,1,0,4,1,3,1,0,0,0,1,0,0.0,0.0,0.0,1.0,1,1,0,1,0,0,0.5466535920381814,-0.1971782384543246,-7.439604087777959,5.057527203272229,0.4920129107837895,-0.0280371473130049,-0.0767421526684872,0.0016091061982512,0.0050210485016579,7♠ 7♡ 7♢ 7♣,sec0_m0 sec1_m0 sec2_m0 sec3_m1,rainbow,rank_spread
3,1,0,4,1,1,2,1,0,0,1,0,0.0,2.0,1.0,1.0,0,0,0,0,0,1,0.8940551802415618,0.0720221099381695,5.365616807243027,-2.7237280738803293,-0.2723606266643202,0.0149821148576231,0.1001131700279887,0.0125276636771933,0.0181395271714883,3♢ 4♣ 8♠ 10♡,sec0_m0 sec1_m2 sec2_m1 sec3_m1,rainbow,other
4,1,0,4,1,1,2,1,0,1,0,0,1.0,0.0,1.0,2.0,0,1,0,0,0,0,0.8702049035401764,-0.011917603380439,0.230968581112618,0.0399872245465286,-0.0225795530024354,0.0013730781439832,0.0379384012451783,0.0029765083629197,0.0068611214741451,2♣ 3♢ 6♢ 7♠,sec0_m1 sec1_m0 sec2_m1 sec3_m2,rainbow,other
5,1,0,4,1,0,4,0,0,1,0,0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0.9836541684312106,-0.0220399524916134,-3.673038789480017,3.06237615365064,0.1136544968535866,-0.0058161470062788,-0.0862509099492174,0.0034588123174124,0.0051054071053595,5♡ 7♣ 8♢ 10♠,sec0_m1 sec1_m1 sec2_m1 sec3_m1,rainbow,other
6,1,0,4,1,1,2,1,1,0,0,0,2.0,1.0,1.0,0.0,0,0,0,1,0,0,0.9846064390296864,0.25412336706423,2.361794744097834,0.558939385588274,-0.5507272837375236,0.0304100946851925,-0.0609992236086206,0.0028638058953718,0.0058803413492629,3♠ 3♡ 3♢ 3♣,sec0_m2 sec1_m1 sec2_m1 sec3_m0,rainbow,rank_spread
7,1,0,4,1,2,0,2,0,0,1,0,0.0,2.0,0.0,2.0,0,1,0,0,1,0,0.9923223909668586,0.1483420566353459,1.1114232051162416,0.2794140300047206,-0.3380600081139429,0.0237609271706288,-0.0142521632306366,0.0112690323964941,0.0151657764179118,6♠ 6♡ 6♢ 6♣,sec0_m0 sec1_m2 sec2_m0 sec3_m2,rainbow,rank_spread
8,1,0,4,1,2,0,2,1,0,0,0,2.0,0.0,0.0,2.0,0,0,1,1,0,0,0.4126589698751102,0.0997413461984811,7.919272834599727,-3.791157831303502,-0.3996141447551425,0.033032420555498,0.1070855141233087,0.0289224852445541,0.0396086374824768,3♡ 4♠ 8♣ 10♣,sec0_m2 sec1_m0 sec2_m0 sec3_m2,rainbow,other
9,0,1,1,2,0,0,1,1,0,0,1,2.0,,,,0,0,0,0,0,0,0.6149480224573791,-0.7399151912931281,-29.85221783812327,20.864471794448907,1.8339755252106589,-0.1015682853218519,-0.3116985085041062,0.005801912024149,0.0201545029575509,6♡ 7♢ 8♠ 9♣,sec0_m0 sec0_m1 sec0_m2,monochrome,monochrome12
10,0,0,4,2,0,0,4,1,0,0,1,2.0,2.0,2.0,2.0,1,1,1,1,1,1,0.618392430072748,0.1524991072720252,5.493780951502209,-3.525424240427902,-0.3840576036315098,0.0219000360714365,0.05623291640868,0.0008676125495143,0.0020660800230141,9♠ 9♡ 9♢ 9♣,sec0_m0 sec0_m1 sec0_m2 sec1_m0 sec1_m1 sec1_m2 sec2_m0 sec2_m1 sec2_m2 sec3_m0 sec3_m1 sec3_m2,hub_transversal,rank_spread
11,1,0,4,1,3,1,0,0,0,1,0,0.0,0.0,1.0,0.0,1,0,1,0,1,0,0.9836541684312106,-0.0220399524916134,-3.673038789480017,3.06237615365064,0.1136544968535866,-0.0058161470062788,-0.0862509099492174,0.0034588123174124,0.0051054071053595,2♡ 4♠ 5♡ 6♡,sec0_m0 sec1_m0 sec2_m1 sec3_m0,rainbow,other
12,0,1,1,2,0,0,1,0,0,0,1,,,2.0,,0,0,0,0,0,0,0.9883123298620848,0.1323159798593817,0.7986899286176854,0.4042581139713557,-0.2984760102978478,0.0212071155218604,-0.0168633035791036,0.0105866612146801,0.0144149266209216,6♠ 7♡ 8♣ 9♢,sec2_m0 sec2_m1 sec2_m2,monochrome,monochrome12
13,1,0,4,1,2,0,2,0,0,1,0,0.0,2.0,2.0,0.0,0,0,1,1,0,0,0.9899385985121196,-0.0047860570558453,1.6049277825264097,-1.8749034276242815,0.0389703660600763,-0.0099116735937977,0.0292062367906634,0.0038460383048055,0.0082144942280217,3♠ 4♡ 5♢ 7♢,sec0_m0 sec1_m2 sec2_m2 sec3_m0,rainbow,other
14,1,0,4,1,1,2,1,1,0,0,0,2.0,1.0,0.0,1.0,0,0,0,0,1,0,0.9887261937932268,0.1387189463700998,0.9822065784070036,0.3048669889297621,-0.3162451234162851,0.0223544378551178,-0.0133745049689068,0.0109402488846983,0.01470714627228,2♢ 4♣ 5♣ 6♠,sec0_m2 sec1_m1 sec2_m0 sec3_m1,rainbow,other
15,1,0,4,1,3,1,0,0,0,1,0,0.0,1.0,0.0,0.0,0,1,1,0,0,1,0.1202283317293395,-0.4824779441779484,-10.163349014210212,1.052342340798492,1.2591354457151878,-0.0853253611473599,-0.069955137233066,0.0106318701935503,0.0235233316730685,8♠ 8♡ 8♢ 8♣,sec0_m0 sec1_m1 sec2_m0 sec3_m0,rainbow,rank_spread
16,1,0,4,1,1,2,1,0,1,0,0,1.0,1.0,0.0,2.0,1,0,0,0,0,0,0.9814233209631058,0.3219291365682355,4.486542978501969,-0.7089154304641594,-0.7155745435567648,0.038880212296887,-0.0426566990488954,0.0032006867810643,0.006374227476531,3♣ 4♢ 5♠ 7♡,sec0_m1 sec1_m1 sec2_m0 sec3_m2,rainbow,other
17,1,0,4,1,1,2,1,1,0,0,0,2.0,0.0,1.0,1.0,0,0,0,0,0,1,0.9986264238031008,0.006902378993046,0.08239798803713,-0.0823987517863133,-0.0099554157012992,0.000138502579114,-0.0012544271979332,0.0012889051225445,0.0016876820748357,1♠ 1♡ 1♢ 1♣,sec0_m2 sec1_m0 sec2_m1 sec3_m1,rainbow,rank_spread
18,1,0,4,1,2,0,2,0,0,1,0,0.0,0.0,2.0,2.0,1,0,0,0,0,1,0.8429727502670925,-0.2037026838092224,-7.265503703729224,5.818157518134975,0.4015697451271502,-0.0167001468941206,-0.0319397412472205,0.0113717331330282,0.0201545029575864,1♡ 2♠ 5♠ 8♠,sec0_m0 sec1_m0 sec2_m2 sec3_m2,rainbow,other
