u,v,is_defect_edge,cycle_parity_odd
20,38,0,1
26,27,1,0
26,35,0,0
26,44,0,1
45,27,1,0
45,44,0,1
48,54,0,0
48,57,0,0
1,54,0,0
16,9,0,0
16,34,0,0
16,56,0,0
17,2,0,0
17,55,0,0
50,9,0,0
50,11,0,0
50,34,0,0
54,34,0,0
21,18,0,0
30,5,0,1
30,41,0,1
30,55,0,0
30,56,0,0
3,11,0,1
14,28,0,0
14,37,0,1
22,25,0,1
4,46,0,1
4,52,0,0
7,29,0,0
7,36,0,0
46,36,0,1
47,5,0,1
47,41,0,1
47,56,0,0
52,13,0,0
52,53,0,0
40,41,0,0
40,56,0,1
24,19,0,1
24,38,0,0
35,18,0,0
38,13,0,0
38,56,0,0
29,15,0,0
29,23,0,0
8,23,0,0
8,39,0,0
23,34,0,0
23,53,0,0
39,53,0,0
9,31,0,0
31,43,0,0
10,12,1,0
10,33,0,0
12,15,0,1
33,15,0,0
33,51,0,0
25,34,0,0
15,53,0,0
27,13,0,1
28,42,0,0
37,51,0,0
42,44,0,0
42,58,0,0
44,49,0,0
49,58,0,0
