element,base,eps,order
e,e,1,1
e*,e,-1,2
(0 1)(2 3),(0 1)(2 3),1,4
(0 1)(2 3)*,(0 1)(2 3),-1,4
(0 2)(1 3),(0 2)(1 3),1,4
(0 2)(1 3)*,(0 2)(1 3),-1,4
(0 3)(1 2),(0 3)(1 2),1,4
(0 3)(1 2)*,(0 3)(1 2),-1,4
(0 1 2),(0 1 2),1,6
(0 1 2)*,(0 1 2),-1,3
(0 1 3),(0 1 3),1,6
(0 1 3)*,(0 1 3),-1,3
(0 2 1),(0 2 1),1,6
(0 2 1)*,(0 2 1),-1,3
(0 2 3),(0 2 3),1,6
(0 2 3)*,(0 2 3),-1,3
(0 3 1),(0 3 1),1,6
(0 3 1)*,(0 3 1),-1,3
(0 3 2),(0 3 2),1,6
(0 3 2)*,(0 3 2),-1,3
(1 2 3),(1 2 3),1,6
(1 2 3)*,(1 2 3),-1,3
(1 3 2),(1 3 2),1,6
(1 3 2)*,(1 3 2),-1,3
