line_id,w33_line_id,tomotope_triangle,full_quartet,sec0_point,missing_class
0,3,"(3,-4)",sec0_m0 sec1_m2 sec2_m1 sec3_m1,sec0_m0,sec1_m2
1,6,"(3,-1)",sec0_m2 sec1_m1 sec2_m1 sec3_m0,sec0_m2,sec0_m2
2,8,"(2,-3)",sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m2,sec0_m2
3,14,"(3,-2)",sec0_m2 sec1_m1 sec2_m0 sec3_m1,sec0_m2,sec0_m2
4,15,"(3,-3)",sec0_m0 sec1_m1 sec2_m0 sec3_m0,sec0_m0,sec1_m1
5,16,"(4,-1)",sec0_m1 sec1_m1 sec2_m0 sec3_m2,sec0_m1,sec2_m0
6,17,"(2,-4)",sec0_m2 sec1_m0 sec2_m1 sec3_m1,sec0_m2,sec3_m1
7,18,"(4,-3)",sec0_m0 sec1_m0 sec2_m2 sec3_m2,sec0_m0,sec1_m0
8,20,"(4,-2)",sec0_m2 sec1_m1 sec2_m2 sec3_m2,sec0_m2,sec3_m2
9,22,"(1,-3)",sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m2,sec0_m2
10,23,"(1,-4)",sec0_m1 sec1_m0 sec2_m2 sec3_m1,sec0_m1,sec2_m2
11,28,"(2,-2)",sec0_m2 sec1_m2 sec2_m0 sec3_m0,sec0_m2,sec3_m0
12,30,"(2,-1)",sec0_m2 sec1_m2 sec2_m1 sec3_m2,sec0_m2,sec0_m2
13,32,"(1,-1)",sec0_m1 sec1_m2 sec2_m1 sec3_m0,sec0_m1,sec2_m1
14,39,"(1,-2)",sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m2,sec0_m2
