mu,lambda,stab_22,stab_8,stab_17,winner
0.75,0.4,2.0199029286459975,1.9671612015972957,2.0740046848746867,17
0.75,0.41,2.0174108512034263,1.965449067026001,2.075287802478886,17
0.75,0.42,2.0148996977055953,1.9639985681528522,2.0769425728254527,17
0.75,0.43,2.0123724041149527,1.962809000567984,2.0789917991823166,17
0.75,0.44,2.0098316919046506,1.9618775819063514,2.0814550783209618,17
0.75,0.45,2.0072800412014256,1.9611997064842526,2.0843483312677713,17
0.75,0.46,2.0047196674809813,1.9607692297853287,2.087683369265068,17
0.75,0.47,2.002152501965176,1.9605787734360374,2.09146750476876,17
0.75,0.48,1.9995801758058769,1.9606200407815346,2.095703217460299,17
0.75,0.49,1.997004008079266,1.960884132950285,2.100387885314577,17
0.75,0.5,1.9944249975576465,1.9613618553988905,2.1055135906861464,17
0.75,0.51,1.991843818174575,1.9620440053641983,2.1110670110807304,17
0.75,0.52,1.9892608180538145,1.9629216314096403,2.117029403681022,17
0.75,0.53,1.9866760219340194,1.9639862573127511,2.1233766917031,17
0.75,0.54,1.9840891367891766,1.9652300638599058,2.130079659182539,17
0.75,0.55,1.981499560419969,1.966646023637682,2.137104258752862,17
0.75,0.56,1.978906392773213,1.9682279855706188,2.144412034336167,17
1.25,0.4,2.047300163909837,2.0042340350114762,2.0630968528739615,17
1.25,0.41,2.045720212728886,2.0029180036534835,2.063613646711014,17
1.25,0.42,2.044137233084565,2.0018017284303555,2.064550604822417,17
1.25,0.43,2.042553053981729,2.00088448395417,2.065937164894633,17
1.25,0.44,2.040969168627655,2.0001640051682674,2.0677990508054767,17
1.25,0.45,2.0393867096150413,1.9996367499192294,2.0701577196227223,17
1.25,0.46,2.0378064287211055,1.9992981854224516,2.0730298535541953,17
1.25,0.47,2.0362286813362465,1.9991430883019303,2.0764269075386426,17
1.25,0.48,2.0346534154511557,1.9991658474708909,2.0803547231996626,17
1.25,0.49,2.0330801650557144,1.9993607590910458,2.084813219880161,17
1.25,0.5,2.0315080477376313,1.9997223032140485,2.0897961733638355,17
1.25,0.51,2.029935766215177,2.0002453924595915,2.0952910925801485,17
1.25,0.52,2.0283616134970854,2.0009255841911324,2.10127920396771,17
1.25,0.53,2.026783481334228,2.001759249063104,2.107735552115812,17
1.25,0.54,2.0251988716121465,2.002743690465849,2.1146292236946156,17
1.25,0.55,2.0236049103304876,2.00387721120642,2.1219236994189252,17
1.25,0.56,2.021998363824228,2.005159125646589,2.129577335801338,17
1.75,0.4,2.0774797277195622,2.0481525672869005,2.067369327044226,22
1.75,0.41,2.076732235437983,2.0471301143137994,2.0675758077621276,22
1.75,0.42,2.0759761503575493,2.046237484315551,2.0682000857320917,22
1.75,0.43,2.0752126406975373,2.0454766888052944,2.0692740473880615,22
1.75,0.44,2.0744425543756946,2.04484852889474,2.0708256499049527,22
1.75,0.45,2.0736663913130986,2.04435280622837,2.072878342021071,22
1.75,0.46,2.0728842803783842,2.0439885597474396,2.0754505406187076,17
1.75,0.47,2.0720959608966605,2.043754318365075,2.0785551742035113,17
1.75,0.48,2.071300768546872,2.0436483590661116,2.082199304125035,17
1.75,0.49,2.07049762538434,2.0436689597950135,2.086383834031619,17
1.75,0.5,2.0696850336551402,2.043814636771646,2.09110331758044,17
1.75,0.51,2.068861073017444,2.044084356565528,2.0963458737312077,17
1.75,0.52,2.0680234007530554,2.044477714330878,2.102093217926409,17
1.75,0.53,2.067169254540418,2.0449950710019515,2.108320815983568,17
1.75,0.54,2.066295457368102,2.0456376438985444,2.114998165486766,17
1.75,0.55,2.0653984241943912,2.0464075470085,2.122089206783104,17
1.75,0.56,2.064474170002598,2.047307779104958,2.1295528623275013,17
