tetra_id,rank_block,block_type,points,ranks,suits
1,0-1-3-6,double,0 6 22 38,0 1 3 6,0 2 2 2
11,0-1-3-6,double,1 7 19 31,0 1 3 6,1 3 3 3
18,0-1-3-6,double,2 4 16 28,0 1 6 3,2 0 0 0
28,0-1-3-6,double,3 5 9 13,0 1 3 6,3 1 1 1
0,0-1-4-7,double,0 5 21 37,0 1 4 7,0 1 1 1
9,0-1-4-7,double,1 4 20 36,0 1 4 7,1 0 0 0
20,0-1-4-7,double,2 7 11 15,0 1 4 7,2 3 3 3
29,0-1-4-7,double,3 6 10 14,0 1 4 7,3 2 2 2
3,0-2-3-9,double,0 9 25 29,0 3 2 9,0 1 1 1
12,0-2-3-9,double,1 8 24 28,0 2 9 3,1 0 0 0
25,0-2-3-9,double,2 19 23 27,0 3 2 9,2 3 3 3
32,0-2-3-9,double,3 18 22 26,0 9 3 2,3 2 2 2
4,0-2-4-8,double,0 10 26 30,0 4 2 8,0 2 2 2
14,0-2-4-8,double,1 11 23 35,0 4 2 8,1 3 3 3
21,0-2-4-8,double,2 8 20 32,0 2 4 8,2 0 0 0
31,0-2-4-8,double,3 17 21 25,0 8 4 2,3 1 1 1
6,0-5-6-8,double,0 13 17 33,0 6 8 5,0 1 1 1
15,0-5-6-8,double,1 12 16 32,0 5 6 8,1 0 0 0
26,0-5-6-8,double,2 31 35 39,0 6 8 5,2 3 3 3
35,0-5-6-8,double,3 30 34 38,0 8 5 6,3 2 2 2
7,0-5-7-9,double,0 14 18 34,0 7 9 5,0 2 2 2
17,0-5-7-9,double,1 15 27 39,0 7 9 5,1 3 3 3
23,0-5-7-9,double,2 12 24 36,0 5 9 7,2 0 0 0
34,0-5-7-9,double,3 29 33 37,0 9 5 7,3 1 1 1
40,1-2-6-9,double,4 18 25 31,1 9 2 6,0 2 1 3
47,1-2-6-9,double,5 23 24 38,1 2 9 6,1 3 0 2
48,1-2-6-9,double,6 8 13 27,1 2 6 9,2 0 1 3
54,1-2-6-9,double,7 16 26 29,1 6 2 9,3 0 2 1
39,1-2-7-8,double,4 15 17 26,1 7 8 2,0 3 1 2
42,1-2-7-8,double,5 8 14 35,1 2 7 8,1 0 2 3
52,1-2-7-8,double,6 23 32 37,1 2 8 7,2 3 0 1
59,1-2-7-8,double,7 25 30 36,1 2 8 7,3 1 2 0
41,1-3-5-8,double,4 19 30 33,1 3 8 5,0 3 2 1
46,1-3-5-8,double,5 22 32 39,1 3 8 5,1 2 0 3
49,1-3-5-8,double,6 9 12 35,1 3 5 8,2 1 0 3
55,1-3-5-8,double,7 17 28 34,1 8 3 5,3 1 0 2
38,1-4-5-9,double,4 11 29 34,1 4 9 5,0 3 1 2
43,1-4-5-9,double,5 10 12 27,1 4 5 9,1 2 0 3
51,1-4-5-9,double,6 21 24 39,1 4 9 5,2 1 0 3
56,1-4-5-9,double,7 18 20 33,1 9 4 5,3 2 0 1
63,2-3-5-7,double,8 19 34 37,2 3 5 7,0 3 2 1
67,2-3-5-7,double,9 26 36 39,3 2 7 5,1 2 0 3
74,2-3-5-7,double,12 15 22 25,5 7 3 2,0 3 2 1
82,2-3-5-7,double,14 23 28 33,7 2 3 5,2 3 0 1
60,2-4-5-6,double,8 11 33 38,2 4 5 6,0 3 1 2
68,2-4-5-6,double,10 16 25 39,4 6 2 5,2 0 1 3
76,2-4-5-6,double,12 21 26 31,5 4 2 6,0 1 2 3
79,2-4-5-6,double,13 20 23 34,6 4 2 5,1 0 3 2
65,3-4-6-7,double,9 15 20 38,3 7 4 6,1 3 0 2
71,3-4-6-7,double,10 28 31 37,4 3 6 7,2 0 3 1
73,3-4-6-7,double,11 13 22 36,4 6 3 7,3 1 2 0
80,3-4-6-7,double,14 16 19 21,7 6 3 4,2 0 3 1
64,3-4-8-9,double,9 11 18 32,3 4 9 8,1 3 2 0
69,3-4-8-9,double,10 17 19 24,4 8 3 9,2 1 3 0
86,3-4-8-9,double,20 22 29 35,4 3 9 8,0 2 1 3
87,3-4-8-9,double,21 27 28 30,4 9 3 8,1 3 0 2
77,6-7-8-9,double,13 15 24 30,6 7 9 8,1 3 0 2
83,6-7-8-9,double,14 29 31 32,7 9 6 8,2 1 3 0
84,6-7-8-9,double,16 18 35 37,6 9 8 7,0 2 3 1
85,6-7-8-9,double,17 27 36 38,8 9 7 6,1 3 0 2
2,0-1-2-5,single,0 7 23 39,0 1 2 5,0 3 3 3
27,0-1-2-5,single,3 4 8 12,0 1 2 5,3 0 0 0
