tetra_id,Pi_family_S6,Pi_type_single_double,rank_block,rank_block_P1F9,rank_block_triads,points,points_rank_suit,suits_by_rank_order,suit_pattern_sorted
0,duad,single,"[0, 1, 2, 5]","['∞', '0', '1', '2']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 2, 6], [3, 4, 5]]]","[0, 7, 23, 39]","['0:0', '1:3', '2:3', '5:3']","[0, 3, 3, 3]","[0, 3, 3, 3]"
1,duad,single,"[0, 1, 2, 5]","['∞', '0', '1', '2']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 2, 5], [3, 4, 6]], [[1, 2, 6], [3, 4, 5]]]","[3, 4, 8, 12]","['0:3', '1:0', '2:0', '5:0']","[3, 0, 0, 0]","[0, 0, 0, 3]"
2,syntheme,double,"[0, 1, 3, 6]","['∞', '0', '2+1a', '1+2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 6], [2, 3, 5]]]","[0, 6, 22, 38]","['0:0', '1:2', '3:2', '6:2']","[0, 2, 2, 2]","[0, 2, 2, 2]"
3,syntheme,double,"[0, 1, 3, 6]","['∞', '0', '2+1a', '1+2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 6], [2, 3, 5]]]","[1, 7, 19, 31]","['0:1', '1:3', '3:3', '6:3']","[1, 3, 3, 3]","[1, 3, 3, 3]"
4,syntheme,double,"[0, 1, 3, 6]","['∞', '0', '2+1a', '1+2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 6], [2, 3, 5]]]","[2, 4, 16, 28]","['0:2', '1:0', '3:0', '6:0']","[2, 0, 0, 0]","[0, 0, 0, 2]"
5,syntheme,double,"[0, 1, 3, 6]","['∞', '0', '2+1a', '1+2a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 3, 6], [2, 4, 5]], [[1, 4, 6], [2, 3, 5]]]","[3, 5, 9, 13]","['0:3', '1:1', '3:1', '6:1']","[3, 1, 1, 1]","[1, 1, 1, 3]"
6,syntheme,double,"[0, 1, 4, 7]","['∞', '0', '2+2a', '1+1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 5], [2, 4, 6]]]","[0, 5, 21, 37]","['0:0', '1:1', '4:1', '7:1']","[0, 1, 1, 1]","[0, 1, 1, 1]"
7,syntheme,double,"[0, 1, 4, 7]","['∞', '0', '2+2a', '1+1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 5], [2, 4, 6]]]","[1, 4, 20, 36]","['0:1', '1:0', '4:0', '7:0']","[1, 0, 0, 0]","[0, 0, 0, 1]"
8,syntheme,double,"[0, 1, 4, 7]","['∞', '0', '2+2a', '1+1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 5], [2, 4, 6]]]","[2, 7, 11, 15]","['0:2', '1:3', '4:3', '7:3']","[2, 3, 3, 3]","[2, 3, 3, 3]"
9,syntheme,double,"[0, 1, 4, 7]","['∞', '0', '2+2a', '1+1a']","[[[1, 2, 3], [4, 5, 6]], [[1, 2, 4], [3, 5, 6]], [[1, 4, 5], [2, 3, 6]], [[1, 3, 5], [2, 4, 6]]]","[3, 6, 10, 14]","['0:3', '1:2', '4:2', '7:2']","[3, 2, 2, 2]","[2, 2, 2, 3]"
