block_ranks,type(Pi),family(S6),S6 label,lift_count
"(0, 1, 2, 5)",single,duad,"(1, 2)",2
"(0, 1, 8, 9)",single,duad,"(5, 6)",2
"(0, 2, 6, 7)",single,duad,"(4, 6)",2
"(0, 3, 4, 5)",single,duad,"(4, 5)",2
"(0, 3, 7, 8)",single,duad,"(1, 3)",2
"(0, 4, 6, 9)",single,duad,"(2, 3)",2
"(1, 2, 3, 4)",single,duad,"(3, 6)",2
"(1, 3, 7, 9)",single,duad,"(2, 4)",2
"(1, 4, 6, 8)",single,duad,"(1, 4)",2
"(1, 5, 6, 7)",single,duad,"(3, 5)",2
"(2, 3, 6, 8)",single,duad,"(2, 5)",2
"(2, 4, 7, 9)",single,duad,"(1, 5)",2
"(2, 5, 8, 9)",single,duad,"(3, 4)",2
"(3, 5, 6, 9)",single,duad,"(1, 6)",2
"(4, 5, 7, 8)",single,duad,"(2, 6)",2
"(0, 1, 3, 6)",double,syntheme,"(1, 5) (2, 6) (3, 4)",4
"(0, 1, 4, 7)",double,syntheme,"(1, 6) (2, 5) (3, 4)",4
"(0, 2, 3, 9)",double,syntheme,"(1, 4) (2, 6) (3, 5)",4
"(0, 2, 4, 8)",double,syntheme,"(1, 6) (2, 4) (3, 5)",4
"(0, 5, 6, 8)",double,syntheme,"(1, 5) (2, 4) (3, 6)",4
"(0, 5, 7, 9)",double,syntheme,"(1, 4) (2, 5) (3, 6)",4
"(1, 2, 6, 9)",double,syntheme,"(1, 3) (2, 6) (4, 5)",4
"(1, 2, 7, 8)",double,syntheme,"(1, 6) (2, 3) (4, 5)",4
"(1, 3, 5, 8)",double,syntheme,"(1, 5) (2, 3) (4, 6)",4
"(1, 4, 5, 9)",double,syntheme,"(1, 3) (2, 5) (4, 6)",4
"(2, 3, 5, 7)",double,syntheme,"(1, 4) (2, 3) (5, 6)",4
"(2, 4, 5, 6)",double,syntheme,"(1, 3) (2, 4) (5, 6)",4
"(3, 4, 6, 7)",double,syntheme,"(1, 2) (3, 4) (5, 6)",4
"(3, 4, 8, 9)",double,syntheme,"(1, 2) (3, 5) (4, 6)",4
"(6, 7, 8, 9)",double,syntheme,"(1, 2) (3, 6) (4, 5)",4
