"line_id","mean_abs_delta","var_q_class","var_q_r","card_basis","unique_k_mod6","unique_k_mod3","coord0_unique_k_mod6","coord1_unique_k_mod6","coord2_unique_k_mod6","coord3_unique_k_mod6","k_mod6_counts","k_mod3_counts"
"0","0.0019869504069128","low(1/9)","0.111111","2♡ 3♠ 8♡ 9♡","4","2","1","2","2","2","{""0"":5,""1"":1,""3"":4,""4"":2}","{""0"":9,""1"":3}"
"1","0.0082553496912364","mid(1/3)","0.333333","1♡ 3♠ 6♠ 10♠","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"2","0.0016091061982513","low(1/9)","0.111111","7♠ 7♡ 7♢ 7♣","5","3","1","2","2","2","{""0"":4,""2"":2,""3"":3,""4"":1,""5"":2}","{""0"":7,""1"":1,""2"":4}"
"3","0.0125276636771933","low(1/9)","0.111111","3♢ 4♣ 8♠ 10♡","5","3","1","2","2","2","{""0"":6,""1"":2,""2"":1,""3"":2,""5"":1}","{""0"":8,""1"":2,""2"":2}"
"4","0.0029765083629197","low(1/9)","0.111111","2♣ 3♢ 6♢ 7♠","4","3","1","2","2","2","{""0"":4,""1"":3,""2"":3,""3"":2}","{""0"":6,""1"":3,""2"":3}"
"5","0.0034588123174124","low(1/9)","0.111111","5♡ 7♣ 8♢ 10♠","4","2","1","2","2","2","{""0"":5,""2"":2,""3"":1,""5"":4}","{""0"":6,""2"":6}"
"6","0.0028638058953718","low(1/9)","0.111111","3♠ 3♡ 3♢ 3♣","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":1,""3"":3,""4"":2}","{""0"":7,""1"":4,""2"":1}"
"7","0.0112690323964942","low(1/9)","0.111111","6♠ 6♡ 6♢ 6♣","4","3","1","2","2","2","{""0"":6,""1"":3,""2"":1,""5"":2}","{""0"":6,""1"":3,""2"":3}"
"8","0.0289224852445542","low(1/9)","0.111111","3♡ 4♠ 8♣ 10♣","4","2","1","2","2","2","{""0"":6,""2"":1,""3"":3,""5"":2}","{""0"":9,""2"":3}"
"9","0.005801912024149","low(1/9)","0.111111","6♡ 7♢ 8♠ 9♣","5","3","1","2","2","2","{""0"":6,""1"":1,""3"":2,""4"":1,""5"":2}","{""0"":8,""1"":2,""2"":2}"
"10","0.0008676125495143","low(1/9)","0.111111","9♠ 9♡ 9♢ 9♣","4","2","1","2","2","2","{""0"":4,""1"":3,""3"":2,""4"":3}","{""0"":6,""1"":6}"
"11","0.0034588123174124","low(1/9)","0.111111","2♡ 4♠ 5♡ 6♡","3","3","1","2","2","2","{""0"":7,""1"":1,""5"":4}","{""0"":7,""1"":1,""2"":4}"
"12","0.0105866612146801","low(1/9)","0.111111","6♠ 7♡ 8♣ 9♢","4","2","1","2","2","2","{""0"":6,""1"":2,""3"":3,""4"":1}","{""0"":9,""1"":3}"
"13","0.0038460383048055","low(1/9)","0.111111","3♠ 4♡ 5♢ 7♢","4","3","1","2","2","2","{""0"":4,""3"":2,""4"":3,""5"":3}","{""0"":6,""1"":3,""2"":3}"
"14","0.0109402488846984","low(1/9)","0.111111","2♢ 4♣ 5♣ 6♠","3","3","1","2","2","2","{""0"":7,""1"":4,""5"":1}","{""0"":7,""1"":4,""2"":1}"
"15","0.0106318701935504","low(1/9)","0.111111","8♠ 8♡ 8♢ 8♣","2","1","1","2","2","2","{""0"":7,""3"":5}","{""0"":12}"
"16","0.0032006867810644","low(1/9)","0.111111","3♣ 4♢ 5♠ 7♡","5","3","1","2","2","2","{""0"":4,""1"":2,""3"":1,""4"":3,""5"":2}","{""0"":5,""1"":5,""2"":2}"
"17","0.0012889051225446","high(1)","1.0","1♠ 1♡ 1♢ 1♣","1","1","1","1","1","1","{""0"":4}","{""0"":4}"
"18","0.0113717331330282","mid(1/3)","0.333333","1♡ 2♠ 5♠ 8♠","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
