line_id,point_ids,total_entries,unique_k_mod12,coord0_unique_k_mod12,coord1_unique_k_mod12,coord2_unique_k_mod12,coord3_unique_k_mod12,k_mod12_counts
0,2 13 17 21,12,7,1,3,3,3,"{""0"": 4, ""3"": 2, ""4"": 1, ""6"": 1, ""7"": 1, ""9"": 2, ""10"": 1}"
1,2 4 8 12,10,7,1,1,3,3,"{""0"": 4, ""2"": 1, ""3"": 1, ""6"": 1, ""7"": 1, ""10"": 1, ""11"": 1}"
2,9 15 26 37,12,8,1,3,3,3,"{""0"": 4, ""2"": 1, ""3"": 2, ""5"": 1, ""8"": 1, ""9"": 1, ""10"": 1, ""11"": 1}"
3,10 14 29 35,12,8,1,3,3,3,"{""0"": 5, ""1"": 1, ""2"": 1, ""3"": 1, ""6"": 1, ""7"": 1, ""9"": 1, ""11"": 1}"
4,9 19 24 35,12,7,1,3,3,3,"{""0"": 4, ""1"": 1, ""2"": 2, ""3"": 1, ""7"": 2, ""8"": 1, ""9"": 1}"
5,12 18 23 37,12,7,1,3,3,3,"{""0"": 4, ""2"": 1, ""3"": 1, ""5"": 2, ""6"": 1, ""8"": 1, ""11"": 2}"
6,2 31 35 39,12,8,1,3,3,3,"{""0"": 4, ""1"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""7"": 1, ""9"": 1, ""10"": 1}"
7,8 20 24 34,12,7,1,3,3,3,"{""0"": 5, ""1"": 1, ""2"": 1, ""5"": 1, ""6"": 1, ""7"": 2, ""11"": 1}"
8,3 31 36 38,12,7,1,3,3,3,"{""0"": 5, ""2"": 1, ""3"": 2, ""5"": 1, ""6"": 1, ""9"": 1, ""11"": 1}"
9,10 20 26 32,12,8,1,3,3,3,"{""0"": 5, ""3"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""9"": 1, ""10"": 1, ""11"": 1}"
10,11 21 25 32,12,7,1,3,3,3,"{""0"": 4, ""1"": 1, ""3"": 1, ""4"": 1, ""7"": 2, ""9"": 1, ""10"": 2}"
11,3 13 18 20,12,5,1,3,3,3,"{""0"": 5, ""5"": 2, ""6"": 2, ""7"": 1, ""11"": 2}"
12,8 15 25 38,12,7,1,3,3,3,"{""0"": 5, ""1"": 1, ""3"": 2, ""6"": 1, ""7"": 1, ""9"": 1, ""10"": 1}"
13,2 22 26 30,12,7,1,3,3,3,"{""0"": 4, ""3"": 1, ""4"": 1, ""5"": 1, ""9"": 1, ""10"": 2, ""11"": 2}"
14,8 16 29 33,12,5,1,3,3,3,"{""0"": 5, ""1"": 2, ""6"": 2, ""7"": 2, ""11"": 1}"
15,10 17 23 38,12,4,1,3,3,3,"{""0"": 5, ""3"": 3, ""6"": 2, ""9"": 2}"
