line_id,mean_q,abs_mean_q,sign_mean_q,var_q,unique_k_mod6,unique_k_mod3,canon_mean_abs_delta,canon_mean_delta,native_mean_abs_delta,native_mean_delta
0,2.4311108681729365e-13,2.4311108681729365e-13,1,0.11111111111134517,4,2,0.0019869504069128,0.0017218626309966,2.054327395283058,1.8697547809512147
1,3.24087978675891e-13,3.24087978675891e-13,1,0.3333333333335494,6,3,0.0082553496912364,0.0082553496912364,6.423742771015123,6.423742771015122
2,2.4309720902948584e-13,2.4309720902948584e-13,1,0.11111111111145322,5,3,0.0016091061982513,-0.0007053049323084,2.05378337379744,1.4938353607340666
3,1.6207868380746504e-13,1.6207868380746504e-13,1,0.1111111111113992,5,3,0.0125276636771933,-0.0125276636771933,7.517186487724674,-7.517186487724674
4,3.2414348982712227e-13,3.2414348982712227e-13,1,0.1111111111113992,4,3,0.0029765083629197,-0.0029765083629197,1.4657282192566357,-1.465728219256636
5,1.6206480601965723e-13,1.6206480601965723e-13,1,0.11111111111129116,4,2,0.0034588123174124,0.0034588123174124,2.0365834135372944,1.4766354004739215
6,2.4309720902948584e-13,2.4309720902948584e-13,1,0.11111111111145322,5,3,0.0028638058953718,0.0013566683086913,2.378774672076716,-0.3723489244630677
7,1.3877787807814457e-17,1.3877787807814457e-17,1,0.11111111111129116,4,3,0.0112690323964942,0.0112690323964942,6.823915242613725,6.821564636883753
8,-2.4309720902948584e-13,2.4309720902948584e-13,-1,0.1111111111113452,4,2,0.0289224852445542,-0.0289224852445542,8.49327497788095,-8.49327497788095
9,1.6207868380746504e-13,1.6207868380746504e-13,1,0.1111111111113992,5,3,0.005801912024149,-0.0031460122376293,2.200116281970003,-1.5206187273074423
10,1.3877787807814457e-17,1.3877787807814457e-17,1,0.11111111111129114,4,2,0.0008676125495143,-0.0001938621121947,2.563359984129138,2.563359984129138
11,8.104628079763643e-14,8.104628079763643e-14,1,0.11111111111123714,3,3,0.0034588123174124,0.0034588123174124,5.680064573809641,-3.571114628316917
12,-2.4309720902948584e-13,2.4309720902948584e-13,-1,0.1111111111113452,4,2,0.0105866612146801,0.0105866612146801,5.674183043183397,5.674183043183397
13,3.2414348982712227e-13,3.2414348982712227e-13,1,0.1111111111113992,4,3,0.0038460383048055,0.0038460383048055,2.7848646882615986,2.784864688261598
14,8.103240300982861e-14,8.103240300982861e-14,1,0.11111111111123713,3,3,0.0109402488846984,0.0109402488846984,7.486776248626127,7.486776248626128
