mode_k,singular_value,energy_share,cumulative_energy_share
1,162.7460307838054,0.764246502692983,0.764246502692983
2,65.95147081868201,0.12550517110940684,0.8897516738023898
3,56.45114943467455,0.0919513749953726,0.9817030487977625
4,19.327766866598992,0.0107789388029968,0.9924819876007593
5,11.689515894929636,0.003942808652679045,0.9964247962534384
6,7.448560853450987,0.001600874879181412,0.9980256711326198
7,5.375544223807146,0.0008337916229303906,0.9988594627555502
8,3.966231714341015,0.00045390902207800913,0.9993133717776281
9,2.6949535835238043,0.00020956329984188942,0.99952293507747
10,2.3197832133960636,0.00015527711455811283,0.9996782121920281
11,2.0989437860534474,0.00012712011123184634,0.99980533230326
12,1.4613660768740202,6.162127680461139e-05,0.9998669535800646
13,1.3233490342273977,5.053141490069472e-05,0.9999174849949654
14,1.0525754703720596,3.196827032432067e-05,0.9999494532652897
15,0.7731282091644316,1.7247084401560898e-05,0.9999667003496913
16,0.6750336565475121,1.3148115275296551e-05,0.9999798484649666
17,0.45213033925788104,5.898477812981756e-06,0.9999857469427795
18,0.41609645618667285,4.995749841999649e-06,0.9999907426926216
19,0.34692523894099486,3.472837332474983e-06,0.999994215529954
20,0.2555978557544897,1.8850681756867803e-06,0.9999961005981297
21,0.21695046027663678,1.3581064162656365e-06,0.9999974587045459
22,0.17787203178805816,9.129100353241694e-07,0.9999983716145813
23,0.13474021859976054,5.238502367416172e-07,0.999998895464818
24,0.12097058141410401,4.2225245693841655e-07,0.9999993177172749
25,0.08751767011247291,2.210060405909557e-07,0.9999995387233155
26,0.0766306297311428,1.6944058347986742e-07,0.9999997081638989
27,0.06283418591820968,1.1392122196612505e-07,0.999999822085121
28,0.045248021522635615,5.9076102863301226e-08,0.9999998811612238
29,0.04079761660748487,4.8026643332449155e-08,0.9999999291878672
30,0.03493349230009259,3.5212483600256704e-08,0.9999999644003508
31,0.022899231537321815,1.5130541322476277e-08,0.9999999795308921
32,0.020573408178875856,1.221307810637179e-08,0.9999999917439703
33,0.014099226535249233,5.735921859280645e-09,0.9999999974798921
34,0.007009437199615342,1.4176823989114973e-09,0.9999999988975745
35,0.0058532659334072515,9.885739481288881e-10,0.9999999998861485
36,0.0019863861451759174,1.1385182697291079e-10,1.0000000000000004
37,1.3841682444812816e-14,5.5282848480356566e-33,1.0000000000000004
38,1.3841682444812816e-14,5.5282848480356566e-33,1.0000000000000004
39,1.3841682444812816e-14,5.5282848480356566e-33,1.0000000000000004
40,1.3841682444812816e-14,5.5282848480356566e-33,1.0000000000000004
