class_a,class_b,weight
sec0_m0,sec0_m1,-0.0034542580901421593
sec0_m0,sec0_m2,-0.003454258090142187
sec0_m0,sec1_m0,-0.11434640770550944
sec0_m0,sec1_m1,-0.05834475295393234
sec0_m0,sec1_m2,0.19972655376407106
sec0_m0,sec2_m0,0.018273987334415234
sec0_m0,sec2_m1,0.09842823367757544
sec0_m0,sec2_m2,-0.08966682790736122
sec0_m0,sec3_m0,0.016060835968300966
sec0_m0,sec3_m1,-0.017158762841634263
sec0_m0,sec3_m2,0.02813331997796274
sec0_m1,sec0_m2,-0.003454258090142215
sec0_m1,sec1_m0,0.14170376010236024
sec0_m1,sec1_m1,-0.10018158329908777
sec0_m1,sec1_m2,-0.06112238210737285
sec0_m1,sec2_m0,-0.05554088843344426
sec0_m1,sec2_m1,-0.029292530150409418
sec0_m1,sec2_m2,0.06523321327975344
sec0_m1,sec3_m0,0.026590405307079082
sec0_m1,sec3_m1,0.022957601129777395
sec0_m1,sec3_m2,-0.0691482117409567
sec0_m2,sec1_m0,-0.021329723937342886
sec0_m2,sec1_m1,0.10733306392635279
sec0_m2,sec1_m2,-0.10038776112759518
sec0_m2,sec2_m0,0.066257388957359
sec0_m2,sec2_m1,-0.07305329700688704
sec0_m2,sec2_m2,-0.00758851308905701
sec0_m2,sec3_m0,-0.025707253283981893
sec0_m2,sec3_m1,0.031455222431597034
sec0_m2,sec3_m2,-0.0201323902862003
sec1_m0,sec1_m1,-0.0143018775090832
sec1_m0,sec1_m2,-0.014301877509083218
sec1_m0,sec2_m0,-0.028831484675984557
sec1_m0,sec2_m1,-0.07538768687908454
sec1_m0,sec2_m2,0.11024680001457728
sec1_m0,sec3_m0,0.009493831343626719
sec1_m0,sec3_m1,0.027425713887658548
sec1_m0,sec3_m2,-0.030891916771777116
sec1_m1,sec1_m2,-0.01430187750908321
sec1_m1,sec2_m0,0.09583876455591145
sec1_m1,sec2_m1,-0.046846340169222164
sec1_m1,sec2_m2,-0.10018569671335648
sec1_m1,sec3_m0,-0.0028831694510737214
sec1_m1,sec3_m1,-0.03214337842747967
sec1_m1,sec3_m2,-0.01616672444811383
sec1_m2,sec2_m0,-0.03801679202159687
sec1_m2,sec2_m1,0.11831643356858562
sec1_m2,sec2_m2,-0.04208323101788568
sec1_m2,sec3_m0,0.01033332609884513
sec1_m2,sec3_m1,0.04197172525956122
sec1_m2,sec3_m2,-0.014088640829303282
sec2_m0,sec2_m1,0.04478574755650859
sec2_m0,sec2_m2,0.04478574755650859
sec2_m0,sec3_m0,0.025845816170337016
sec2_m0,sec3_m1,-0.027727687119779423
sec2_m0,sec3_m2,0.03087235880777236
sec2_m1,sec2_m2,0.04478574755650859
sec2_m1,sec3_m0,-0.0028502357627704124
sec2_m1,sec3_m1,0.05339448013603656
sec2_m1,sec3_m2,-0.05446183785298718
sec2_m2,sec3_m0,-0.006051592416168459
sec2_m2,sec3_m1,0.011587267703483034
sec2_m2,sec3_m2,-0.037557803003979436
sec3_m0,sec3_m1,-0.015458963884261314
sec3_m0,sec3_m2,-0.015458963884261314
sec3_m1,sec3_m2,-0.015458963884261314
