lambda,mu,rmse
0.4,0.75,0.2734693853287546
0.4,1.25,0.4425274957041962
0.4,1.75,0.3625610936689254
0.41,0.75,0.28835219305781173
0.41,1.25,0.355072808422585
0.41,1.75,0.26383121971433554
0.42,0.75,0.3099005954593619
0.42,1.25,0.31133825027401224
0.42,1.75,0.2076645027007965
0.43,0.75,0.29615584259261163
0.43,1.25,0.3103796137477523
0.43,1.75,0.21228555986400197
0.44,0.75,0.24133413468819867
0.44,1.25,0.37374818581156694
0.44,1.75,0.2651980015042772
0.45,0.75,0.21367073293215708
0.45,1.25,0.37596777083140476
0.45,1.75,0.3259060233278779
0.46,0.75,0.23497937581533695
0.46,1.25,0.30476028586472825
0.46,1.75,0.3380835892585194
0.47,0.75,0.28681408364352395
0.47,1.25,0.22872893665324923
0.47,1.75,0.32973276104426713
0.48,0.75,0.3382121714044082
0.48,1.25,0.21771234953411628
0.48,1.75,0.3324679325474151
0.49,0.75,0.36093715124957765
0.49,1.25,0.2454656584767653
0.49,1.75,0.3483550225761777
0.5,0.75,0.329708633146502
0.5,1.25,0.2635002168767776
0.5,1.75,0.3979723223227502
0.51,0.75,0.24599709114013227
0.51,1.25,0.26403719960310085
0.51,1.75,0.31935885332638125
0.52,0.75,0.1328927466702146
0.52,1.25,0.24356779860845365
0.52,1.75,0.21908910463245224
0.53,0.75,0.15892026019903308
0.53,1.25,0.23320356126076885
0.53,1.75,0.1808235231697762
0.54,0.75,0.27546722040756155
0.54,1.25,0.27117995526985167
0.54,1.75,0.19909021187985093
0.55,0.75,0.318228824104544
0.55,1.25,0.35437690552154216
0.55,1.75,0.23570467438653497
0.56,0.75,0.4118174217308555
0.56,1.25,0.3925662073050113
0.56,1.75,0.26844634235742465
