lambda,mu,relative_L2_error_of_3mode_reconstruction
0.4,0.75,0.20848217954323195
0.41,0.75,0.17403776927201067
0.42,0.75,0.14040322025821722
0.43,0.75,0.10950074112419236
0.44,0.75,0.07716028853460391
0.45,0.75,0.05116534138944608
0.46,0.75,0.04791316435603305
0.47,0.75,0.06440784471615603
0.48,0.75,0.0881160700451193
0.49,0.75,0.10756970552780576
0.5,0.75,0.12211475051581558
0.51,0.75,0.13529566669224644
0.52,0.75,0.14639382115898375
0.53,0.75,0.16205701745565138
0.54,0.75,0.17881408190386108
0.55,0.75,0.20008889222494025
0.56,0.75,0.2233008743494191
0.4,1.25,0.14173992610125163
0.41,1.25,0.1115293237888835
0.42,1.25,0.11024343287265283
0.43,1.25,0.12663681841362673
0.44,1.25,0.15488016568541385
0.45,1.25,0.16093054100679
0.46,1.25,0.1475501820838468
0.47,1.25,0.128768422631243
0.48,1.25,0.10946290934066541
0.49,1.25,0.09073461308777271
0.5,1.25,0.07167822314436424
0.51,1.25,0.0548877921643891
0.52,1.25,0.04691124297403275
0.53,1.25,0.05046539447238274
0.54,1.25,0.07175798498711626
0.55,1.25,0.10200404118674981
0.56,1.25,0.1286308411646718
0.4,1.75,0.16313138318395484
0.41,1.75,0.14404820353637812
0.42,1.75,0.12638855478551986
0.43,1.75,0.10680398594815228
0.44,1.75,0.0874848521714885
0.45,1.75,0.09126409429234177
0.46,1.75,0.09719707491119388
0.47,1.75,0.106407543063193
0.48,1.75,0.11623265316107916
0.49,1.75,0.1202962220847271
0.5,1.75,0.12313017963380825
0.51,1.75,0.08676839835309107
0.52,1.75,0.09741062724715537
0.53,1.75,0.15492042981136767
0.54,1.75,0.21286058758235782
0.55,1.75,0.25957674584222
0.56,1.75,0.28309638840905116
