auto_id,order,epsilon0,epsilon12,delta,cycles
0,1,0,0,0,
1,3,0,0,0,(0 4 8) (1 5 6) (2 3 7) (9 13 17) (10 14 15) (11 12 16) (18 22 26) (19 23 24) (20 21 25)
2,3,0,0,0,(0 8 4) (1 6 5) (2 7 3) (9 17 13) (10 15 14) (11 16 12) (18 26 22) (19 24 23) (20 25 21)
3,6,0,1,1,(0 6 8 5 4 1) (2 3 7) (9 15 17 14 13 10) (11 12 16) (18 24 26 23 22 19) (20 21 25)
4,6,0,1,1,(0 1 4 5 8 6) (2 7 3) (9 10 13 14 17 15) (11 16 12) (18 19 22 23 26 24) (20 25 21)
5,2,0,1,1,(0 5) (1 8) (4 6) (9 14) (10 17) (13 15) (18 23) (19 26) (22 24)
6,2,1,0,1,(0 15) (1 17) (2 16) (3 12) (4 14) (5 13) (6 9) (7 11) (8 10) (18 24) (19 26) (20 25) (22 23)
7,2,1,0,1,(0 10) (1 9) (2 11) (3 16) (4 15) (5 17) (6 13) (7 12) (8 14) (18 19) (21 25) (22 24) (23 26)
8,2,1,0,1,(0 14) (1 13) (2 12) (3 11) (4 10) (5 9) (6 17) (7 16) (8 15) (18 23) (19 22) (20 21) (24 26)
9,2,1,1,0,(0 17) (1 14) (2 11) (3 16) (4 13) (5 10) (6 15) (7 12) (8 9) (18 26) (19 23) (21 25)
10,2,1,1,0,(0 9) (1 15) (2 12) (3 11) (4 17) (5 14) (6 10) (7 16) (8 13) (19 24) (20 21) (22 26)
11,2,1,1,0,(0 13) (1 10) (2 16) (3 12) (4 9) (5 15) (6 14) (7 11) (8 17) (18 22) (20 25) (23 24)
