auto_id,line_id_src,line_id_dst,missing_sector_src
3,32,23,2
3,39,20,0
3,22,14,0
3,23,16,2
3,30,22,0
3,28,39,3
3,8,28,0
3,17,8,3
3,6,17,0
3,14,30,0
3,15,3,1
3,3,18,1
3,16,32,2
3,20,6,3
3,18,15,1
4,32,16,2
4,39,28,0
4,22,30,0
4,23,32,2
4,30,14,0
4,28,8,3
4,8,17,0
4,17,6,3
4,6,20,0
4,14,22,0
4,15,18,1
4,3,15,1
4,16,23,2
4,20,39,3
4,18,3,1
5,32,32,2
5,39,17,0
5,22,22,0
5,23,23,2
5,30,30,0
5,28,6,3
5,8,20,0
5,17,39,3
5,6,28,0
5,14,14,0
5,15,15,1
5,3,3,1
5,16,16,2
5,20,8,3
5,18,18,1
6,32,15,2
6,39,20,0
6,22,22,0
6,23,18,2
6,30,14,0
6,28,6,3
6,8,17,0
6,17,8,3
6,6,28,0
6,14,30,0
6,15,32,1
6,3,16,1
6,16,3,2
6,20,39,3
6,18,23,1
7,32,3,2
7,39,28,0
7,22,14,0
7,23,15,2
7,30,30,0
7,28,39,3
7,8,20,0
7,17,6,3
7,6,17,0
7,14,22,0
7,15,23,1
7,3,32,1
7,16,18,2
7,20,8,3
7,18,16,1
8,32,18,2
8,39,17,0
8,22,30,0
8,23,3,2
8,30,22,0
8,28,8,3
8,8,28,0
8,17,39,3
8,6,20,0
8,14,14,0
8,15,16,1
8,3,23,1
8,16,15,2
8,20,6,3
8,18,32,1
