line_id,w33_line_id,tomotope_triangle,full_quartet,missing_sector,completion_class,m_tuple,idx27,m0,m1,m2,m3,mapped_idx27,mapped_quartet,mapped_in_tomotope15,mapped_line_id,mapped_w33_line_id,mapped_missing_sector,mapped_completion_class
13,32,"(1,-1)",sec0_m1 sec1_m2 sec2_m1 sec3_m0,2,sec2_m1,"(1, 2, 1, 0)",12,1,2,1,0,24,sec0_m2 sec1_m1 sec2_m2 sec3_m2,1,8,20,3,sec3_m2
14,39,"(1,-2)",sec0_m2 sec1_m2 sec2_m2 sec3_m1,0,sec0_m2,"(2, 2, 2, 1)",18,2,2,2,1,9,sec0_m1 sec1_m1 sec2_m1 sec3_m1,0,,,,
9,22,"(1,-3)",sec0_m2 sec1_m0 sec2_m2 sec3_m0,0,sec0_m2,"(2, 0, 2, 0)",21,2,0,2,0,15,sec0_m1 sec1_m0 sec2_m1 sec3_m2,0,,,,
10,23,"(1,-4)",sec0_m1 sec1_m0 sec2_m2 sec3_m1,2,sec2_m2,"(1, 0, 2, 1)",16,1,0,2,1,23,sec0_m2 sec1_m0 sec2_m1 sec3_m1,1,6,17,3,sec3_m1
12,30,"(2,-1)",sec0_m2 sec1_m2 sec2_m1 sec3_m2,0,sec0_m2,"(2, 2, 1, 2)",20,2,2,1,2,10,sec0_m1 sec1_m1 sec2_m2 sec3_m0,0,,,,
11,28,"(2,-2)",sec0_m2 sec1_m2 sec2_m0 sec3_m0,3,sec3_m0,"(2, 2, 0, 0)",19,2,2,0,0,11,sec0_m1 sec1_m1 sec2_m0 sec3_m2,1,5,16,2,sec2_m0
2,8,"(2,-3)",sec0_m2 sec1_m0 sec2_m0 sec3_m2,0,sec0_m2,"(2, 0, 0, 2)",22,2,0,0,2,17,sec0_m1 sec1_m0 sec2_m0 sec3_m0,0,,,,
6,17,"(2,-4)",sec0_m2 sec1_m0 sec2_m1 sec3_m1,3,sec3_m1,"(2, 0, 1, 1)",23,2,0,1,1,16,sec0_m1 sec1_m0 sec2_m2 sec3_m1,1,10,23,2,sec2_m2
1,6,"(3,-1)",sec0_m2 sec1_m1 sec2_m1 sec3_m0,0,sec0_m2,"(2, 1, 1, 0)",26,2,1,1,0,13,sec0_m1 sec1_m2 sec2_m2 sec3_m2,0,,,,
3,14,"(3,-2)",sec0_m2 sec1_m1 sec2_m0 sec3_m1,0,sec0_m2,"(2, 1, 0, 1)",25,2,1,0,1,14,sec0_m1 sec1_m2 sec2_m0 sec3_m1,0,,,,
4,15,"(3,-3)",sec0_m0 sec1_m1 sec2_m0 sec3_m0,1,sec1_m1,"(0, 1, 0, 0)",3,0,1,0,0,6,sec0_m0 sec1_m2 sec2_m0 sec3_m2,0,,,,
0,3,"(3,-4)",sec0_m0 sec1_m2 sec2_m1 sec3_m1,1,sec1_m2,"(0, 2, 1, 1)",7,0,2,1,1,5,sec0_m0 sec1_m1 sec2_m2 sec3_m1,0,,,,
5,16,"(4,-1)",sec0_m1 sec1_m1 sec2_m0 sec3_m2,2,sec2_m0,"(1, 1, 0, 2)",11,1,1,0,2,19,sec0_m2 sec1_m2 sec2_m0 sec3_m0,1,11,28,3,sec3_m0
8,20,"(4,-2)",sec0_m2 sec1_m1 sec2_m2 sec3_m2,3,sec3_m2,"(2, 1, 2, 2)",24,2,1,2,2,12,sec0_m1 sec1_m2 sec2_m1 sec3_m0,1,13,32,2,sec2_m1
7,18,"(4,-3)",sec0_m0 sec1_m0 sec2_m2 sec3_m2,1,sec1_m0,"(0, 0, 2, 2)",2,0,0,2,2,1,sec0_m0 sec1_m0 sec2_m1 sec3_m0,0,,,,
