order,generators,max_comm,mean_comm,elements
1,e,0.0,0.0,e
2,e*,69.05070600652827,34.52535300326414,e e*
4,(0 3)(1 2),72.27724399837061,53.40129850081737,(0 3)(1 2) (0 3)(1 2)* e e*
4,(0 2)(1 3),72.49827584156743,53.51181442241578,(0 2)(1 3) (0 2)(1 3)* e e*
6,(0 2 3),75.63068160475615,61.92890540425881,(0 2 3) (0 2 3)* (0 3 2) (0 3 2)* e e*
3,(0 2 3)*,75.63068160475615,50.420454403170766,(0 2 3)* (0 3 2)* e
8,(0 1)(2 3) (0 2)(1 3),76.10519036176179,63.85151580124099,(0 1)(2 3) (0 1)(2 3)* (0 2)(1 3) (0 2)(1 3)* (0 3)(1 2) (0 3)(1 2)* e e*
4,(0 1)(2 3),76.10519036176179,55.31527168251296,(0 1)(2 3) (0 1)(2 3)* e e*
24,(0 1)(2 3) (0 1 2),77.14920608794364,72.33701153824589,(0 1 2) (0 1 2)* (0 1 3) (0 1 3)* (0 1)(2 3) (0 1)(2 3)* (0 2 1) (0 2 1)* (0 2 3) (0 2 3)* (0 2)(1 3) (0 2)(1 3)* (0 3 1) (0 3 1)* (0 3 2) (0 3 2)* (0 3)(1 2) (0 3)(1 2)* (1 2 3) (1 2 3)* (1 3 2) (1 3 2)* e e*
6,(0 1 2),77.14920608794364,62.435080231987975,(0 1 2) (0 1 2)* (0 2 1) (0 2 1)* e e*
6,(0 1 3),77.14920608794364,62.94125505971714,(0 1 3) (0 1 3)* (0 3 1) (0 3 1)* e e*
6,(1 2 3),77.14920608794364,62.94125505971714,(1 2 3) (1 2 3)* (1 3 2) (1 3 2)* e e*
3,(0 1 2)*,77.14920608794364,51.432804058629095,(0 1 2)* (0 2 1)* e
3,(0 1 3)*,77.14920608794364,51.432804058629095,(0 1 3)* (0 3 1)* e
3,(1 2 3)*,77.14920608794364,51.432804058629095,(1 2 3)* (1 3 2)* e
