line_id,line_type,type,w33_cards,proj_list,rainbow_m_tuple_SHDC,equation,special_tag,proj_quartet_str
0,monochrome12,monochrome,2♡ 3♠ 8♡ 9♡,"['sec3_m0', 'sec3_m1', 'sec3_m2']",,"fixed (sector=3, m=0)",,sec3_m0 sec3_m1 sec3_m2
1,other,rainbow,1♡ 3♠ 6♠ 10♠,"['sec0_m1', 'sec1_m0', 'sec2_m0', 'sec3_m0']","1,0,0,0",mS+mH+mD+mC ≡ 1 (mod 3),,sec0_m1 sec1_m0 sec2_m0 sec3_m0
2,rank_spread,rainbow,7♠ 7♡ 7♢ 7♣,"['sec0_m0', 'sec1_m0', 'sec2_m0', 'sec3_m1']","0,0,0,1",mS+mH+mD+mC ≡ 1 (mod 3),,sec0_m0 sec1_m0 sec2_m0 sec3_m1
3,other,rainbow,3♢ 4♣ 8♠ 10♡,"['sec0_m0', 'sec1_m2', 'sec2_m1', 'sec3_m1']","0,2,1,1",mS+mH+mD+mC ≡ 1 (mod 3),,sec0_m0 sec1_m2 sec2_m1 sec3_m1
4,other,rainbow,2♣ 3♢ 6♢ 7♠,"['sec0_m1', 'sec1_m0', 'sec2_m1', 'sec3_m2']","1,0,1,2",mS+mH+mD+mC ≡ 1 (mod 3),,sec0_m1 sec1_m0 sec2_m1 sec3_m2
5,other,rainbow,5♡ 7♣ 8♢ 10♠,"['sec0_m1', 'sec1_m1', 'sec2_m1', 'sec3_m1']","1,1,1,1",mS+mH+mD+mC ≡ 1 (mod 3),pure_phase_sector_mixer,sec0_m1 sec1_m1 sec2_m1 sec3_m1
6,rank_spread,rainbow,3♠ 3♡ 3♢ 3♣,"['sec0_m2', 'sec1_m1', 'sec2_m1', 'sec3_m0']","2,1,1,0",mS+mH+mD+mC ≡ 1 (mod 3),,sec0_m2 sec1_m1 sec2_m1 sec3_m0
7,rank_spread,rainbow,6♠ 6♡ 6♢ 6♣,"['sec0_m0', 'sec1_m2', 'sec2_m0', 'sec3_m2']","0,2,0,2",mS+mH+mD+mC ≡ 1 (mod 3),,sec0_m0 sec1_m2 sec2_m0 sec3_m2
8,other,rainbow,3♡ 4♠ 8♣ 10♣,"['sec0_m2', 'sec1_m0', 'sec2_m0', 'sec3_m2']","2,0,0,2",mS+mH+mD+mC ≡ 1 (mod 3),,sec0_m2 sec1_m0 sec2_m0 sec3_m2
9,monochrome12,monochrome,6♡ 7♢ 8♠ 9♣,"['sec0_m0', 'sec0_m1', 'sec0_m2']",,"fixed (sector=0, m=0)",,sec0_m0 sec0_m1 sec0_m2
