mu,lambda,side,winner_by_stability,stab22,stab8,stab17,mean22,std22,mean8,std8,mean17,std17,mean_flux,mean_defect,mean_Zcenter,winner_quartet
0.75,0.425,L-,22,3.871950323356689,3.871819273105648,3.777022169621615,0.4119865387999848,0.1064028472459387,0.3880371414679153,0.1002208817346643,0.3614126681486382,0.0956871979877324,0.4850818156630535,0.3772972847598289,-0.2630990651667455,sec0_m2 sec1_m0 sec2_m2 sec3_m0
0.75,0.445,L+,8,3.8970998250621927,3.9031311736066026,3.83212330900818,0.4111780864972423,0.105508738537556,0.3858985533877818,0.0988689685853424,0.3581597534336108,0.0934624813851068,0.4847809406118452,0.3772828135657821,-0.2524764472676833,sec0_m2 sec1_m0 sec2_m0 sec3_m2
0.75,0.48,R-,8,3.948033715975508,3.967686607387943,3.955139885131911,0.4101573186349319,0.1038890111234998,0.3827198731883945,0.0964591992915366,0.3533114678716494,0.089329702142726,0.4842550245262856,0.3772609641183143,-0.2343210290475791,sec0_m2 sec1_m0 sec2_m0 sec3_m2
0.75,0.5,R+,17,3.981011303496065,4.009784080128925,4.0399339415157325,0.4098029788724208,0.1029394160505241,0.3812376426695746,0.0950768507857702,0.3510343638365942,0.086891114785132,0.4839580757983646,0.3772513809763602,-0.2242795834723055,sec0_m2 sec1_m0 sec2_m1 sec3_m1
1.25,0.4599999999999999,L-,22,3.9656697722757968,3.96346228969062,3.863697697210123,0.4172312693626047,0.1052107949783136,0.3888722748663701,0.0981142865614913,0.3573928837026894,0.0925002191451866,0.5149327451485268,0.3984890688243694,-0.2154934504454431,sec0_m2 sec1_m0 sec2_m2 sec3_m0
1.25,0.48,L+,8,3.9972552628124576,4.003252579103384,3.937879521424605,0.4166631774585073,0.1042373203770189,0.3870073441936489,0.0966732267191413,0.3545518789013788,0.0900362433569609,0.5145302539034229,0.3984553963956809,-0.2053160331702147,sec0_m2 sec1_m0 sec2_m0 sec3_m2
1.25,0.505,R-,8,4.040690483385459,4.058768335284832,4.046349723940234,0.4162081977786976,0.1030042265028874,0.3850571591043412,0.0948704452424282,0.3515689204430207,0.086885450944332,0.5140346913496017,0.3984217203316191,-0.1929473408499005,sec0_m2 sec1_m0 sec2_m0 sec3_m2
1.25,0.525,R+,17,4.078446707185552,4.107334662461485,4.144172537069891,0.4160459186266838,0.1020108753397903,0.3838034985939609,0.0934434445047025,0.3496330466161197,0.084367396262735,0.5136471051189813,0.3984024811593688,-0.1833875398136948,sec0_m2 sec1_m0 sec2_m1 sec3_m1
1.75,0.485,L-,22,4.06583503101136,4.06284020565235,3.9445391478530976,0.4263349440695205,0.1048579051579157,0.393396694331655,0.0968280007134785,0.3562267805795004,0.0903088465412707,0.5581055101759305,0.4293851469964291,-0.1647242662163059,sec0_m2 sec1_m0 sec2_m2 sec3_m0
1.75,0.505,L+,8,4.103434314290088,4.110939643542286,4.034894654465381,0.425944102159888,0.1038018570631313,0.3917157428863901,0.0952861819564101,0.3536882157360782,0.0876573606065909,0.557578752128605,0.4293340956643169,-0.1553429332515713,sec0_m2 sec1_m0 sec2_m0 sec3_m2
1.75,0.53,R-,8,4.15399903457555,4.176603200640255,4.162233149214138,0.4257420603525271,0.1024896868797729,0.3900525369847446,0.0933898956273728,0.3511695932994283,0.0843704763068671,0.5569350775167521,0.4292859899116389,-0.1440147966161816,sec0_m2 sec1_m0 sec2_m0 sec3_m2
1.75,0.55,R+,17,4.197047089782685,4.232832148140397,4.2724813094814085,0.4258018632334928,0.1014527247669122,0.3890668846827901,0.0919164453175206,0.34966154125244,0.081840391080583,0.5564351758387799,0.4292612209012938,-0.1353149759700331,sec0_m2 sec1_m0 sec2_m1 sec3_m1
