triad_index,triad,center_quad,triad_hol_mod12,cover12
0,0 1 2,4 13 22 31,9,0
1,0 1 3,4 13 22 31,3,0
2,0 2 3,4 13 22 31,9,0
3,0 7 8,4 15 24 33,9,1
4,0 7 9,4 15 24 33,3,1
5,0 8 9,4 15 24 33,9,1
6,0 10 11,4 14 23 32,3,0
7,0 10 12,4 14 23 32,9,1
8,0 11 12,4 14 23 32,3,1
9,0 16 17,5 13 23 33,9,0
10,0 16 18,5 13 23 33,3,1
11,0 17 18,5 13 23 33,9,1
12,0 19 20,6 13 24 32,3,1
13,0 19 21,6 13 24 32,9,0
14,0 20 21,6 13 24 32,3,1
15,0 25 26,5 15 22 32,9,1
16,0 25 27,5 15 22 32,3,1
17,0 26 27,5 15 22 32,9,1
18,0 28 29,6 14 22 33,3,1
19,0 28 30,6 14 22 33,9,0
20,0 29 30,6 14 22 33,3,1
21,0 34 35,5 14 24 31,9,1
22,0 34 36,5 14 24 31,3,1
23,0 35 36,5 14 24 31,9,0
24,0 37 38,6 15 23 31,3,1
25,0 37 39,6 15 23 31,9,1
26,0 38 39,6 15 23 31,3,0
27,1 2 3,4 13 22 31,3,0
28,1 5 8,4 16 25 34,3,0
29,1 5 11,4 16 25 34,9,1
30,1 6 9,4 19 28 37,9,0
31,1 6 12,4 19 28 37,3,1
32,1 8 11,4 16 25 34,3,1
33,1 9 12,4 19 28 37,9,1
34,1 14 17,10 13 28 34,3,1
35,1 14 20,10 13 28 34,9,0
36,1 15 18,7 13 25 37,9,0
37,1 15 21,7 13 25 37,3,1
38,1 17 20,10 13 28 34,3,1
39,1 18 21,7 13 25 37,9,1
40,1 23 26,10 16 22 37,3,1
41,1 23 29,10 16 22 37,9,1
42,1 24 27,7 19 22 34,9,1
43,1 24 30,7 19 22 34,3,1
44,1 26 29,10 16 22 37,3,1
45,1 27 30,7 19 22 34,9,1
46,1 32 35,10 19 25 31,3,0
47,1 32 38,10 19 25 31,9,0
48,1 33 36,7 16 28 31,9,1
49,1 33 39,7 16 28 31,3,1
50,1 35 38,10 19 25 31,3,1
51,1 36 39,7 16 28 31,9,1
52,2 5 9,4 17 26 35,3,1
53,2 5 10,4 17 26 35,9,1
54,2 6 7,4 21 30 39,9,0
55,2 6 11,4 21 30 39,3,1
56,2 7 11,4 21 30 39,9,1
57,2 9 10,4 17 26 35,3,1
58,2 14 18,12 13 30 35,3,1
59,2 14 19,12 13 30 35,9,0
60,2 15 16,8 13 26 39,9,1
61,2 15 20,8 13 26 39,3,1
62,2 16 20,8 13 26 39,9,1
63,2 18 19,12 13 30 35,3,1
64,2 23 27,12 17 22 39,3,1
65,2 23 28,12 17 22 39,9,1
66,2 24 25,8 21 22 35,9,1
67,2 24 29,8 21 22 35,3,1
68,2 25 29,8 21 22 35,9,1
69,2 27 28,12 17 22 39,3,1
70,2 32 36,12 21 26 31,3,0
71,2 32 37,12 21 26 31,9,1
72,2 33 34,8 17 30 31,9,1
73,2 33 38,8 17 30 31,3,1
74,2 34 38,8 17 30 31,9,1
75,2 36 37,12 21 26 31,3,1
76,3 5 7,4 18 27 36,3,1
77,3 5 12,4 18 27 36,9,1
78,3 6 8,4 20 29 38,9,1
79,3 6 10,4 20 29 38,3,0
80,3 7 12,4 18 27 36,3,1
81,3 8 10,4 20 29 38,9,1
82,3 14 16,11 13 29 36,3,1
83,3 14 21,11 13 29 36,9,0
84,3 15 17,9 13 27 38,9,0
85,3 15 19,9 13 27 38,3,1
86,3 16 21,11 13 29 36,3,1
87,3 17 19,9 13 27 38,9,1
88,3 23 25,11 18 22 38,3,1
89,3 23 30,11 18 22 38,9,1
90,3 24 26,9 20 22 36,9,1
91,3 24 28,9 20 22 36,3,1
92,3 25 30,11 18 22 38,3,1
93,3 26 28,9 20 22 36,9,0
94,3 32 34,11 20 27 31,3,1
95,3 32 39,11 20 27 31,9,0
96,3 33 35,9 18 29 31,9,1
97,3 33 37,9 18 29 31,3,1
98,3 34 39,11 20 27 31,3,1
99,3 35 37,9 18 29 31,9,1
100,4 13 22,0 1 2 3,3,1
101,4 13 31,0 1 2 3,9,1
102,4 14 23,0 10 11 12,3,1
103,4 14 32,0 10 11 12,9,1
104,4 15 24,0 7 8 9,3,1
105,4 15 33,0 7 8 9,9,1
106,4 16 25,1 5 8 11,3,0
107,4 16 34,1 5 8 11,9,1
108,4 17 26,2 5 9 10,3,1
109,4 17 35,2 5 9 10,9,1
110,4 18 27,3 5 7 12,3,1
